,avg,max,day,hour,latitude,longitude
0,0.8968019415686154,1,Friday,21,49.28627,-123.1236
1,1.0,1,Tuesday,12,49.28627,-123.1236
2,0.7482009201850857,1,Tuesday,11,49.28627,-123.1236
3,1.0,1,Thursday,15,49.28627,-123.1236
4,1.0,1,Saturday,18,49.28627,-123.1236
5,1.0,1,Friday,15,49.28627,-123.1236
6,1.0,1,Friday,19,49.28627,-123.1236
7,1.0,1,Wednesday,13,49.28627,-123.1236
8,0.6889393057200796,1,Thursday,8,49.28627,-123.1236
9,0.8320340809548717,1,Monday,19,49.28627,-123.1236
10,0.9837988495522743,1,Thursday,14,49.28627,-123.1236
11,0.9734621673851642,1,Sunday,14,49.28627,-123.1236
12,1.0,1,Monday,15,49.28627,-123.1236
13,0.21373041783122343,0,Thursday,7,49.28627,-123.1236
14,0.7417635449529654,0,Monday,9,49.28627,-123.1236
15,0.7884563430291647,1,Thursday,10,49.28627,-123.1236
16,0.9837988495522743,1,Tuesday,18,49.28627,-123.1236
17,0.9639624579084374,1,Monday,18,49.28627,-123.1236
18,0.9190462566730988,1,Saturday,11,49.28627,-123.1236
19,0.9734976648875333,1,Thursday,16,49.28627,-123.1236
20,1.0,1,Friday,11,49.28627,-123.1236
21,0.7464019364124035,1,Sunday,20,49.28627,-123.1236
22,0.31841288096607245,0,Tuesday,7,49.28627,-123.1236
23,0.7725384188591115,1,Sunday,11,49.28627,-123.1236
24,0.8298907283096957,1,Wednesday,20,49.28627,-123.1236
25,0.9702517026241844,1,Sunday,15,49.28627,-123.1236
26,1.0,1,Friday,12,49.28627,-123.1236
27,1.075829833115125,1,Saturday,17,49.28627,-123.1236
28,0.258507736425313,0,Friday,7,49.28627,-123.1236
29,1.0,1,Tuesday,13,49.28627,-123.1236
30,0.10338937773712287,0,Thursday,6,49.28627,-123.1236
31,0.6691577962256021,1,Monday,20,49.28627,-123.1236
32,1.075829833115125,1,Saturday,15,49.28627,-123.1236
33,0.37153781938523,0,Wednesday,22,49.28627,-123.1236
34,0.9164921720922306,1,Sunday,18,49.28627,-123.1236
35,1.0,1,Thursday,13,49.28627,-123.1236
36,0.9451382667203819,1,Tuesday,19,49.28627,-123.1236
37,0.9469813497404346,1,Friday,20,49.28627,-123.1236
38,0.16993098600549555,0,Wednesday,6,49.28627,-123.1236
39,0.963085965499116,1,Sunday,13,49.28627,-123.1236
40,0.211079041897382,0,Sunday,10,49.28627,-123.1236
41,0.9345156477460118,1,Sunday,17,49.28627,-123.1236
42,0.5552737057488017,1,Tuesday,21,49.28627,-123.1236
43,0.5466127571756481,1,Monday,21,49.28627,-123.1236
44,0.0632244208731577,0,Saturday,8,49.28627,-123.1236
45,0.9734621673851642,1,Thursday,19,49.28627,-123.1236
46,0.14731750219876869,0,Tuesday,6,49.28627,-123.1236
47,0.709852779142163,1,Tuesday,10,49.28627,-123.1236
48,0.7420677233429395,0,Monday,11,49.28627,-123.1236
49,0.9837988495522743,1,Tuesday,15,49.28627,-123.1236
50,1.0,1,Saturday,13,49.28627,-123.1236
51,0.9734621673851642,1,Monday,12,49.28627,-123.1236
52,0.04454071505637596,0,Saturday,6,49.28627,-123.1236
53,1.0,1,Saturday,14,49.28627,-123.1236
54,0.4320034666627495,0,Sunday,22,49.28627,-123.1236
55,0.18711473927219935,0,Monday,6,49.28627,-123.1236
56,0.6807145975351758,1,Tuesday,20,49.28627,-123.1236
57,0.9898569217500207,1,Monday,17,49.28627,-123.1236
58,0.05954034133394687,0,Sunday,8,49.28627,-123.1236
59,0.9898569217500207,1,Friday,16,49.28627,-123.1236
60,0.07314732801889577,0,Sunday,6,49.28627,-123.1236
61,0.5290130729159274,1,Sunday,21,49.28627,-123.1236
62,1.075829833115125,1,Saturday,16,49.28627,-123.1236
63,1.0120723990431637,1,Friday,17,49.28627,-123.1236
64,0.34928432157917805,0,Friday,8,49.28627,-123.1236
65,0.9837988495522743,1,Tuesday,14,49.28627,-123.1236
66,1.0,1,Friday,18,49.28627,-123.1236
67,0.8344228637646111,1,Sunday,19,49.28627,-123.1236
68,0.959568958815474,1,Sunday,12,49.28627,-123.1236
69,0.8316472849894425,1,Thursday,21,49.28627,-123.1236
70,1.0539709023352681,1,Thursday,17,49.28627,-123.1236
71,0.892050317408518,1,Wednesday,10,49.28627,-123.1236
72,0.8798293874018669,1,Saturday,21,49.28627,-123.1236
73,1.0,1,Thursday,18,49.28627,-123.1236
74,0.8534871801282612,1,Saturday,22,49.28627,-123.1236
75,0.4945745903995401,0,Saturday,10,49.28627,-123.1236
76,1.0,1,Wednesday,18,49.28627,-123.1236
77,0.3180630261038685,0,Monday,22,49.28627,-123.1236
78,0.6036744137859585,1,Tuesday,8,49.28627,-123.1236
79,0.5671512923351159,1,Wednesday,21,49.28627,-123.1236
80,1.0,1,Friday,14,49.28627,-123.1236
81,0.840939778557926,1,Thursday,20,49.28627,-123.1236
82,1.0,1,Saturday,19,49.28627,-123.1236
83,0.9734621673851642,1,Monday,14,49.28627,-123.1236
84,0.6690103341579987,1,Wednesday,9,49.28627,-123.1236
85,1.0,1,Wednesday,15,49.28627,-123.1236
86,0.9259662327713568,1,Wednesday,16,49.28627,-123.1236
87,0.7712412785980853,1,Friday,10,49.28627,-123.1236
88,0.05954034133394687,0,Sunday,9,49.28627,-123.1236
89,0.6690103341579987,1,Wednesday,8,49.28627,-123.1236
90,0.9469813497404346,1,Saturday,20,49.28627,-123.1236
91,0.9734976648875333,1,Monday,16,49.28627,-123.1236
92,0.8416304478480644,1,Friday,22,49.28627,-123.1236
