index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times
10,Freshco Food Mart,"1458 W Georgia St, Vancouver, BC V6G 3K8",Convenience store,49.28941,-123.12918,,,,,,,0%,0%,0%,0%,32%,16%,,93%,40%,65%,48%,77%,71%,77%,95%,61%,57%,0%,,,,,,,0%,0%,0%,20%,38%,44%,,91%,89%,73%,81%,51%,69%,55%,57%,65%,61%,30%,,,,,,,0%,0%,0%,14%,44%,67%,,38%,100%,67%,75%,79%,42%,73%,34%,57%,44%,44%,,,,,,,0%,0%,0%,8%,32%,48%,,57%,48%,100%,48%,81%,59%,40%,73%,22%,36%,30%,,,,,,,0%,0%,0%,12%,20%,36%,,89%,69%,67%,87%,55%,53%,40%,55%,63%,24%,40%,,,,,,,0%,0%,0%,14%,16%,34%,,34%,85%,77%,75%,67%,79%,36%,53%,55%,53%,10%,,,,,,,0%,0%,0%,42%,20%,28%,,38%,36%,48%,87%,81%,79%,100%,44%,55%,46%,42%,63%,,24%,,,38%,,97%,42%,,32%,,,59%,
12,Safeway Robson,"1766 Robson St, Vancouver, BC V6G 1E2",Grocery store,49.29105,-123.13507,,,,,,,0%,9%,18%,26%,41%,45%,,75%,64%,66%,100%,86%,70%,63%,55%,35%,18%,0%,,,,,,,0%,12%,18%,27%,39%,49%,,61%,82%,70%,75%,93%,78%,57%,47%,40%,23%,0%,,,,,,,0%,8%,20%,30%,34%,52%,,57%,65%,90%,76%,83%,81%,68%,45%,29%,29%,0%,,,,,,,0%,9%,17%,32%,40%,42%,,64%,62%,72%,93%,77%,81%,66%,55%,33%,17%,0%,,,,,,,0%,13%,17%,29%,45%,50%,,78%,68%,67%,79%,90%,71%,66%,50%,43%,20%,0%,,,,,,,0%,8%,22%,27%,43%,58%,,53%,90%,75%,76%,81%,83%,59%,48%,35%,28%,0%,,,,,,,0%,11%,16%,30%,37%,55%,,60%,57%,98%,81%,77%,77%,69%,46%,32%,21%,0%,59%,,52%,,,57%,,65%,48%,,55%,,,67%,
14,Super-save Grocery,"105 E Hastings St, Vancouver, BC V6A 1N5",Convenience store,49.28172,-123.10195,,,,,,,0%,50%,60%,20%,0%,40%,,80%,50%,30%,10%,30%,30%,10%,50%,40%,0%,10%,,,,,,,0%,60%,20%,20%,20%,0%,,30%,100%,40%,10%,20%,20%,20%,30%,30%,90%,20%,,,,,,,0%,60%,30%,40%,0%,60%,,40%,20%,80%,30%,0%,20%,0%,0%,50%,40%,70%,,,,,,,0%,40%,50%,30%,50%,0%,,0%,20%,10%,30%,0%,0%,20%,0%,20%,50%,60%,,,,,,,0%,40%,20%,60%,10%,90%,,30%,10%,10%,0%,20%,20%,10%,40%,0%,20%,60%,,,,,,,0%,0%,10%,10%,30%,10%,,20%,20%,10%,0%,0%,30%,20%,0%,30%,10%,10%,,,,,,,0%,70%,20%,0%,10%,60%,,50%,50%,10%,40%,10%,0%,50%,20%,0%,30%,10%,50%,,40%,,,0%,,40%,10%,,70%,,,30%,
15,Whole Foods Market,"1675 Robson St, Vancouver, BC V6G 1C8",Grocery store,49.29017,-123.13282,,,,,,,0%,0%,19%,22%,48%,54%,,88%,59%,68%,88%,82%,64%,59%,41%,0%,0%,0%,,,,,,,0%,0%,23%,30%,39%,60%,,56%,96%,59%,66%,77%,77%,48%,40%,0%,0%,0%,,,,,,,0%,0%,21%,32%,46%,60%,,60%,57%,100%,62%,66%,62%,62%,32%,0%,0%,0%,,,,,,,0%,0%,15%,33%,42%,58%,,71%,64%,64%,97%,64%,60%,48%,40%,0%,0%,0%,,,,,,,0%,0%,17%,30%,47%,52%,,89%,70%,67%,73%,87%,61%,44%,33%,0%,0%,0%,,,,,,,0%,0%,23%,28%,39%,64%,,67%,94%,72%,73%,77%,76%,51%,30%,0%,0%,0%,,,,,,,0%,0%,10%,35%,42%,50%,,62%,63%,97%,76%,73%,73%,60%,35%,0%,0%,0%,52%,,60%,,,67%,,76%,64%,,62%,,,78%,
16,Safeway Davie Street,"1611 Davie St, Vancouver, BC V6G 1W1",Grocery store,49.28552,-123.13879,,,,,,,0%,13%,18%,32%,46%,45%,,74%,56%,57%,97%,74%,60%,43%,57%,27%,16%,0%,,,,,,,0%,14%,20%,26%,49%,54%,,55%,83%,58%,58%,92%,70%,50%,35%,46%,17%,0%,,,,,,,0%,11%,23%,29%,36%,60%,,44%,55%,86%,60%,59%,79%,62%,41%,27%,34%,0%,,,,,,,0%,7%,20%,32%,36%,42%,,64%,42%,62%,85%,61%,54%,64%,55%,29%,18%,0%,,,,,,,0%,18%,13%,28%,44%,43%,,85%,68%,50%,65%,84%,59%,50%,46%,44%,18%,0%,,,,,,,0%,10%,28%,25%,36%,53%,,52%,94%,71%,60%,64%,79%,48%,40%,31%,37%,0%,,,,,,,0%,10%,19%,39%,35%,45%,,53%,55%,100%,76%,64%,53%,71%,40%,30%,20%,0%,48%,,46%,,,59%,,71%,50%,,50%,,,64%,
17,Brandon & Joanny's NOFRILLS Vancouver,"1030 Denman St #101, Vancouver, BC V6G 2M6",Grocery store,49.2888,-123.13831,,,,,,,0%,0%,16%,37%,34%,41%,,84%,56%,68%,100%,77%,73%,63%,47%,30%,0%,0%,,,,,,,0%,0%,16%,26%,51%,43%,,62%,88%,63%,72%,99%,74%,68%,45%,30%,0%,0%,,,,,,,0%,0%,17%,27%,33%,67%,,52%,70%,87%,72%,77%,91%,64%,52%,28%,0%,0%,,,,,,,0%,0%,19%,28%,33%,44%,,57%,59%,78%,85%,77%,74%,76%,51%,34%,0%,0%,,,,,,,0%,0%,14%,28%,44%,40%,,90%,63%,67%,84%,84%,73%,64%,54%,34%,0%,0%,,,,,,,0%,0%,17%,25%,36%,61%,,58%,95%,72%,70%,86%,74%,63%,47%,32%,0%,0%,,,,,,,0%,0%,22%,26%,33%,44%,,52%,62%,99%,76%,75%,76%,63%,46%,29%,0%,0%,53%,,47%,,,50%,,80%,51%,,46%,,,76%,
18,Al Medina Corner Store,"500 W Pender St, Vancouver, BC V6B 6H6",Convenience store,49.28347,-123.11322,,4%,8%,15%,0%,4%,21%,23%,26%,43%,23%,15%,,8%,19%,17%,52%,15%,56%,17%,21%,13%,21%,13%,,13%,4%,8%,6%,6%,6%,13%,15%,21%,41%,19%,,36%,10%,10%,21%,39%,15%,56%,21%,36%,8%,21%,,17%,6%,2%,2%,13%,15%,4%,21%,6%,23%,30%,,41%,19%,26%,10%,41%,21%,8%,34%,34%,28%,8%,,8%,8%,4%,17%,0%,8%,19%,21%,23%,2%,36%,,13%,47%,8%,52%,4%,43%,6%,6%,26%,45%,15%,,10%,10%,8%,2%,15%,8%,13%,8%,50%,41%,6%,,54%,10%,28%,13%,47%,8%,43%,2%,4%,17%,47%,,4%,6%,15%,19%,4%,23%,19%,17%,8%,100%,21%,,32%,60%,10%,30%,30%,28%,8%,30%,2%,10%,13%,,26%,6%,6%,6%,15%,10%,19%,47%,26%,4%,84%,,15%,26%,58%,23%,36%,28%,21%,15%,39%,4%,10%,71%,17%,26%,10%,15%,23%,15%,45%,41%,8%,15%,28%,4%,15%,
19,Danial Market,"1500 Barclay St, Vancouver, BC V6G 1J7",Grocery store,49.28733,-123.1336,,,,,,,0%,0%,0%,0%,30%,26%,,70%,16%,40%,50%,56%,43%,33%,13%,30%,0%,0%,,,,,,,0%,0%,0%,0%,16%,33%,,40%,60%,26%,33%,53%,50%,33%,36%,6%,0%,0%,,,,,,,0%,0%,0%,0%,10%,50%,,43%,26%,66%,50%,50%,33%,50%,40%,40%,0%,0%,,,,,,,0%,0%,0%,0%,10%,23%,,26%,36%,33%,53%,73%,63%,30%,40%,36%,0%,0%,,,,,,,0%,0%,0%,0%,33%,16%,,100%,43%,43%,26%,46%,56%,60%,26%,16%,0%,0%,,,,,,,0%,0%,0%,0%,20%,56%,,53%,93%,66%,36%,40%,30%,43%,63%,40%,0%,0%,,,,,,,0%,0%,0%,0%,10%,43%,,20%,56%,73%,66%,36%,36%,33%,30%,46%,0%,0%,50%,,23%,,,26%,,76%,40%,,33%,,,60%,
20,Aria Market,"837 Bidwell St, Vancouver, BC V6G 2J7",Grocery store,49.29032,-123.1345,,,,,,,0%,0%,0%,10%,40%,21%,,70%,45%,66%,95%,75%,53%,57%,54%,25%,16%,0%,,,,,,,0%,0%,0%,12%,22%,45%,,60%,76%,61%,67%,84%,73%,45%,47%,41%,9%,0%,,,,,,,0%,0%,0%,10%,31%,33%,,35%,65%,83%,61%,76%,71%,64%,31%,35%,27%,0%,,,,,,,0%,0%,0%,21%,23%,45%,,55%,50%,71%,83%,66%,73%,53%,53%,14%,18%,0%,,,,,,,0%,0%,0%,15%,34%,32%,,75%,63%,62%,72%,78%,59%,64%,34%,40%,5%,0%,,,,,,,0%,0%,0%,14%,32%,51%,,57%,91%,70%,62%,69%,77%,55%,42%,14%,20%,0%,,,,,,,0%,0%,0%,25%,16%,44%,,41%,61%,100%,74%,63%,68%,64%,38%,31%,4%,0%,52%,,26%,,,51%,,51%,52%,,40%,,,60%,
21,T&T Supermarket Chinatown Store,"179 Keefer Pl, Vancouver, BC V6B 2L2",Supermarket,49.28009,-123.10831,,,,,,,0%,0%,0%,25%,40%,39%,,81%,58%,68%,80%,82%,66%,46%,40%,0%,0%,0%,,,,,,,0%,0%,0%,21%,38%,53%,,52%,91%,65%,70%,74%,74%,52%,30%,0%,0%,0%,,,,,,,0%,0%,0%,24%,32%,54%,,46%,56%,99%,73%,71%,61%,60%,34%,0%,0%,0%,,,,,,,0%,0%,0%,30%,34%,44%,,75%,50%,63%,100%,76%,64%,45%,41%,0%,0%,0%,,,,,,,0%,0%,0%,23%,47%,42%,,76%,78%,59%,67%,94%,69%,52%,30%,0%,0%,0%,,,,,,,0%,0%,0%,21%,33%,61%,,59%,81%,79%,67%,68%,81%,53%,33%,0%,0%,0%,,,,,,,0%,0%,0%,28%,30%,41%,,53%,62%,83%,82%,72%,59%,62%,33%,0%,0%,0%,46%,,44%,,,66%,,66%,54%,,49%,,,72%,
23,Mi Tierra Latina Grocery,"1104 Davie St, Vancouver, BC V6E 1X4",Grocery store,49.28051,-123.13172,,,,,,,0%,0%,0%,36%,57%,94%,,57%,89%,42%,63%,73%,47%,36%,10%,0%,0%,0%,,,,,,,0%,0%,0%,36%,68%,52%,,47%,47%,84%,47%,52%,68%,68%,47%,0%,0%,0%,,,,,,,0%,0%,0%,31%,42%,100%,,78%,21%,52%,68%,47%,42%,26%,42%,0%,0%,0%,,,,,,,0%,0%,0%,57%,31%,31%,,52%,73%,10%,84%,42%,63%,47%,15%,0%,0%,0%,,,,,,,0%,0%,0%,84%,57%,42%,,89%,57%,73%,0%,78%,31%,68%,31%,0%,0%,0%,,,,,,,0%,0%,0%,57%,78%,78%,,57%,78%,73%,52%,5%,52%,57%,47%,0%,0%,0%,,,,,,,0%,0%,0%,42%,73%,63%,,84%,57%,57%,89%,36%,15%,21%,57%,0%,0%,0%,52%,,84%,,,57%,,94%,31%,,84%,,,73%,
24,Mexican Stop,"433 Abbott St, Vancouver, BC V6B 1R3",Grocery store,49.28175,-123.10766,,,,,,,0%,0%,0%,0%,11%,72%,,94%,55%,11%,94%,100%,33%,66%,83%,0%,0%,0%,,,,,,,0%,0%,0%,0%,33%,33%,,11%,94%,50%,38%,77%,88%,11%,50%,0%,0%,0%,,,,,,,0%,0%,0%,0%,5%,66%,,38%,16%,83%,55%,72%,44%,77%,5%,0%,0%,0%,,,,,,,0%,0%,0%,0%,22%,16%,,88%,38%,38%,61%,55%,55%,38%,66%,0%,0%,0%,,,,,,,0%,0%,0%,0%,33%,22%,,88%,83%,44%,66%,22%,44%,44%,50%,0%,0%,0%,,,,,,,0%,0%,0%,0%,16%,50%,,16%,94%,72%,50%,61%,27%,33%,33%,0%,0%,0%,,,,,,,0%,0%,0%,0%,38%,27%,,44%,11%,94%,77%,44%,61%,50%,22%,0%,0%,0%,11%,,61%,,,83%,,77%,33%,,33%,,,72%,
25,Vegan Supply Chinatown,"250 E Pender St, Vancouver, BC V6A 1T7",Grocery store,49.28033,-123.09855,,,,,,,0%,0%,0%,0%,52%,40%,,88%,16%,54%,74%,48%,30%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,42%,30%,,44%,98%,36%,52%,40%,46%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,18%,48%,,28%,52%,100%,32%,44%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,60%,16%,,38%,36%,34%,84%,44%,18%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,14%,34%,,64%,46%,40%,40%,70%,26%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,32%,34%,,38%,88%,52%,40%,26%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,20%,32%,,12%,48%,74%,58%,40%,36%,0%,0%,0%,0%,0%,48%,,34%,,,28%,,58%,24%,,14%,,,50%,
26,Sunrise Market,"300 Powell St, Vancouver, BC V6A 2Z2",Grocery store,49.28294,-123.09751,,,,,,,0%,0%,24%,34%,44%,50%,,90%,82%,70%,77%,51%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,20%,40%,52%,51%,,79%,98%,81%,72%,52%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,26%,38%,54%,68%,,59%,78%,100%,66%,58%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,23%,37%,52%,58%,,72%,68%,79%,88%,47%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,27%,39%,53%,63%,,91%,74%,76%,74%,56%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,26%,41%,55%,71%,,60%,94%,75%,80%,55%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,20%,33%,48%,72%,,77%,65%,94%,65%,60%,0%,0%,0%,0%,0%,0%,78%,,53%,,,63%,,86%,60%,,71%,,,83%,
27,Kin's Farm Market,"1160 Davie St Unit 150, Vancouver, BC V6E 1N1",Produce market,49.28133,-123.133,,,,,,,0%,0%,0%,47%,55%,37%,,66%,55%,42%,74%,42%,27%,55%,0%,0%,0%,0%,,,,,,,0%,0%,0%,45%,81%,45%,,77%,79%,44%,40%,77%,44%,23%,0%,0%,0%,0%,,,,,,,0%,0%,0%,52%,61%,94%,,40%,62%,69%,40%,38%,61%,16%,0%,0%,0%,0%,,,,,,,0%,0%,0%,61%,71%,47%,,23%,35%,59%,61%,32%,42%,33%,0%,0%,0%,0%,,,,,,,0%,0%,0%,42%,77%,61%,,100%,37%,27%,67%,30%,38%,38%,0%,0%,0%,0%,,,,,,,0%,0%,0%,33%,67%,76%,,35%,89%,38%,22%,76%,22%,32%,0%,0%,0%,0%,,,,,,,0%,0%,0%,33%,40%,84%,,42%,33%,67%,54%,32%,74%,28%,0%,0%,0%,0%,83%,,45%,,,40%,,100%,44%,,44%,,,61%,
28,Hannam Supermarket,"1323 Robson St #202, Vancouver, BC V6E 1C6",Korean grocery store,49.28755,-123.12891,,,,,,,0%,0%,20%,35%,53%,24%,,88%,57%,42%,90%,88%,45%,59%,47%,27%,0%,0%,,,,,,,0%,0%,8%,32%,47%,66%,,56%,98%,62%,40%,86%,75%,41%,43%,30%,0%,0%,,,,,,,0%,0%,22%,17%,45%,50%,,33%,56%,100%,66%,40%,76%,66%,32%,25%,0%,0%,,,,,,,0%,0%,15%,36%,27%,50%,,77%,35%,57%,92%,65%,36%,65%,62%,16%,0%,0%,,,,,,,0%,0%,17%,30%,54%,37%,,69%,81%,40%,61%,85%,60%,33%,48%,45%,0%,0%,,,,,,,0%,0%,23%,22%,44%,69%,,50%,78%,89%,43%,64%,80%,51%,32%,28%,0%,0%,,,,,,,0%,0%,26%,36%,26%,52%,,55%,45%,87%,92%,44%,67%,71%,39%,26%,0%,0%,55%,,30%,,,73%,,60%,56%,,41%,,,79%,
31,EuroFood Plus - Eastern European Food Store,"818 Bidwell St, Vancouver, BC V6G 2J8",Deli,49.29021,-123.13414,,,,,,,0%,0%,0%,8%,33%,33%,,25%,0%,41%,33%,41%,50%,16%,58%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,8%,,25%,8%,25%,25%,8%,58%,25%,16%,0%,0%,0%,,,,,,,0%,0%,0%,25%,0%,8%,,83%,25%,25%,66%,50%,0%,75%,8%,0%,0%,0%,,,,,,,0%,0%,0%,41%,8%,25%,,41%,41%,25%,66%,100%,75%,0%,66%,0%,0%,0%,,,,,,,0%,0%,0%,16%,41%,0%,,33%,66%,25%,33%,41%,83%,66%,0%,0%,0%,0%,,,,,,,0%,0%,0%,16%,8%,83%,,100%,16%,50%,33%,41%,41%,83%,41%,0%,0%,0%,,,,,,,0%,0%,0%,58%,41%,25%,,0%,91%,25%,58%,33%,16%,41%,58%,0%,0%,0%,41%,,50%,,,16%,,25%,58%,,8%,,,50%,
34,Nesters Market,"990 Seymour St, Vancouver, BC V6B 3L9",Supermarket,49.27874,-123.12171,,,,,,,0%,0%,18%,12%,53%,56%,,81%,59%,73%,90%,89%,79%,62%,55%,42%,0%,0%,,,,,,,0%,0%,19%,27%,30%,72%,,74%,81%,76%,81%,75%,88%,62%,53%,30%,0%,0%,,,,,,,0%,0%,29%,26%,41%,50%,,54%,79%,79%,87%,91%,62%,90%,47%,37%,0%,0%,,,,,,,0%,0%,29%,49%,31%,50%,,87%,54%,73%,78%,100%,90%,55%,83%,25%,0%,0%,,,,,,,0%,0%,33%,30%,58%,42%,,75%,90%,57%,76%,81%,87%,90%,43%,63%,0%,0%,,,,,,,0%,0%,17%,35%,35%,74%,,62%,88%,91%,79%,77%,81%,78%,72%,32%,0%,0%,,,,,,,0%,0%,3%,32%,47%,50%,,59%,64%,93%,93%,80%,73%,68%,52%,50%,0%,0%,61%,,60%,,,82%,,68%,63%,,51%,,,78%,
36,Kin's Farm Market,"1057 Denman St, Vancouver, BC V6G 2M5",Produce market,49.28874,-123.14003,,,,,,,0%,0%,0%,0%,26%,40%,,46%,6%,13%,20%,20%,26%,26%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,13%,,40%,53%,6%,26%,20%,20%,13%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,33%,13%,,40%,26%,73%,13%,53%,40%,13%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,20%,53%,,46%,20%,46%,86%,26%,33%,33%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,13%,26%,,40%,40%,6%,33%,100%,13%,20%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,13%,13%,,13%,26%,46%,6%,53%,73%,13%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,46%,13%,,13%,0%,33%,33%,13%,46%,53%,0%,0%,0%,0%,20%,,46%,,,20%,,26%,26%,,33%,,,33%,
37,Tin Lee Market,"260 E Georgia St, Vancouver, BC V6A 0B1",Store,49.27837,-123.09784,,,,,,,0%,0%,0%,46%,23%,61%,,7%,7%,84%,30%,23%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,30%,15%,23%,0%,,23%,15%,0%,76%,30%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,23%,69%,23%,7%,,15%,7%,7%,15%,30%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,23%,23%,46%,61%,,30%,30%,0%,7%,23%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,30%,23%,23%,46%,,23%,30%,69%,7%,15%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,84%,53%,15%,23%,,76%,7%,30%,76%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,46%,53%,76%,30%,,7%,100%,7%,46%,38%,0%,0%,0%,0%,0%,0%,38%,,38%,,,7%,,7%,53%,,15%,,,7%,
38,Lucky food market,"384 E Hastings St, Vancouver, BC V6A 1P4",Supermarket,49.28119,-123.09596,,,,,,,,,,33%,,,,,,,50%,,,,,,,8%,,,,,,,,,,,16%,,,,,,,33%,,,,,,,,0%,,,,,,,,,,16%,,,,,,,41%,,,,,,,,8%,,,,,,,,,,,,,,,,,16%,,,,,,,,,,,0%,,,,,,,33%,,,,,,,8%,,,,,,,,,,,0%,,,,,,,58%,,,,,,,8%,,,,,,,,,,,0%,,,,,,,41%,,,,,,,16%,,,,,0%,,,,25%,,,,,,,
39,Konbiniya Japan Centre,"1238 Robson St, Vancouver, BC V6E 1C1",Japanese grocery store,49.28632,-123.12801,,,,,,,0%,0%,0%,0%,16%,25%,,72%,43%,42%,87%,64%,56%,48%,95%,35%,16%,0%,,,,,,,0%,0%,0%,0%,11%,25%,,47%,84%,43%,50%,84%,79%,58%,37%,71%,22%,0%,,,,,,,0%,0%,0%,0%,11%,25%,,42%,52%,88%,44%,58%,80%,84%,53%,25%,45%,0%,,,,,,,0%,0%,0%,0%,20%,28%,,50%,39%,52%,88%,48%,59%,78%,77%,43%,14%,22%,,,,,,,0%,0%,0%,0%,14%,34%,,65%,52%,39%,53%,91%,53%,50%,65%,65%,23%,0%,,,,,,,0%,0%,0%,0%,9%,30%,,41%,82%,47%,41%,54%,97%,52%,37%,43%,44%,0%,,,,,,,0%,0%,0%,0%,14%,21%,,51%,37%,90%,52%,49%,53%,100%,45%,24%,24%,24%,37%,,38%,,,42%,,43%,37%,,44%,,,51%,
