index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times,popular_times_Wednesday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.
56,Consumer Commodity Apparel Inc.,"1106 E 3rd St, North Vancouver, BC V7J 1B8",Clothing store,49.30861,-123.04639,,66%,0%,8%,0%,8%,25%,8%,8%,33%,8%,8%,,41%,8%,66%,83%,8%,16%,0%,58%,33%,33%,0%,,50%,25%,0%,0%,0%,0%,50%,0%,8%,33%,25%,,16%,25%,0%,33%,50%,25%,25%,0%,83%,8%,8%,,0%,41%,8%,0%,0%,8%,8%,83%,0%,33%,16%,,41%,33%,33%,0%,41%,16%,16%,33%,8%,50%,0%,,0%,0%,16%,8%,0%,8%,16%,8%,50%,8%,75%,,25%,25%,50%,66%,8%,83%,16%,16%,33%,16%,16%,,16%,8%,8%,50%,0%,8%,25%,8%,25%,66%,16%,,33%,8%,8%,33%,41%,16%,83%,25%,8%,25%,16%,,8%,25%,25%,0%,33%,0%,16%,25%,0%,33%,66%,,58%,58%,8%,8%,16%,50%,50%,83%,8%,0%,25%,,8%,16%,25%,8%,0%,8%,0%,25%,8%,0%,8%,,16%,58%,100%,0%,16%,0%,41%,41%,75%,0%,8%,0%,33%,50%,16%,83%,33%,50%,,0%,41%,16%,0%,8%,0%,16%
59,8th & Main,"2403 Main St, Vancouver, BC V5T 3E1",Boutique,49.26358,-123.10118,,,,,,,0%,0%,0%,0%,11%,5%,,88%,33%,44%,38%,33%,22%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,27%,,50%,100%,33%,44%,44%,50%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,33%,,61%,61%,77%,50%,44%,27%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,27%,,33%,61%,72%,66%,44%,22%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,38%,33%,,27%,33%,50%,50%,50%,22%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,72%,,88%,38%,33%,22%,33%,16%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,44%,,22%,72%,33%,22%,22%,50%,0%,0%,0%,0%,0%,38%,22%,38%,33%,72%,38%,72%,,,,,,,,
60,Mountain Warehouse,"1124 Robson St, Vancouver, BC V6E 1B2",Outdoor clothing and equipment shop,49.28494,-123.12568,,,,,,,0%,0%,0%,0%,21%,28%,,39%,64%,57%,85%,100%,28%,39%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,21%,,14%,46%,82%,35%,71%,96%,14%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,25%,25%,,28%,14%,78%,96%,25%,32%,75%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,21%,42%,,42%,21%,21%,89%,89%,21%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,7%,28%,,64%,39%,28%,35%,71%,96%,21%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,25%,10%,,64%,75%,75%,39%,53%,42%,53%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,17%,25%,,50%,60%,89%,85%,50%,57%,25%,0%,0%,0%,0%,28%,32%,28%,46%,46%,28%,14%,,,,,,,,
62,Dressew Supply,"337 W Hastings St, Vancouver, BC V6B 1H6",Fabric store,49.2833,-123.11025,,,,,,,,0%,0%,16%,,38%,,,100%,41%,32%,,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,14%,27%,,,45%,,92%,32%,0%,,0%,0%,,0%,0%,,,,,,,0%,0%,,26%,19%,40%,,48%,43%,,73%,0%,0%,,0%,0%,,0%,,,,,,,,0%,0%,,44%,28%,,,46%,36%,,0%,0%,0%,,0%,0%,,,,,,,,0%,,0%,11%,,63%,,53%,,40%,29%,,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,13%,22%,,,46%,50%,,31%,0%,,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,26%,34%,,92%,47%,41%,,0%,0%,,0%,0%,0%,,43%,46%,,50%,39%,80%,,,,,,,,,
67,Sport Chek,"788 Robson St, Vancouver, BC V6Z 1A1",Sporting goods store,49.28181,-123.12087,,,,,,,0%,0%,0%,0%,27%,42%,,77%,49%,54%,88%,82%,55%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,44%,,54%,85%,49%,58%,73%,71%,45%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,25%,38%,,53%,58%,95%,53%,58%,47%,53%,32%,0%,0%,0%,,,,,,,0%,0%,0%,0%,19%,43%,,56%,49%,61%,100%,59%,48%,0%,37%,0%,0%,0%,,,,,,,0%,0%,0%,0%,31%,35%,,80%,61%,51%,63%,96%,56%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,25%,48%,,66%,87%,71%,54%,54%,82%,50%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,26%,37%,,50%,62%,94%,81%,58%,37%,60%,35%,0%,0%,0%,49%,51%,51%,59%,62%,48%,64%,,,,,,,,
69,Heavenly Heart Apparel,"1528 Bowser Ave #105, North Vancouver, BC V7P 2Y3",Clothing store,49.32318,-123.11532,,8%,91%,0%,0%,25%,50%,75%,8%,33%,33%,50%,,66%,58%,0%,0%,8%,16%,16%,0%,0%,33%,0%,,0%,0%,100%,41%,0%,0%,50%,33%,25%,41%,8%,,50%,58%,25%,0%,0%,8%,8%,8%,0%,0%,66%,,0%,16%,0%,8%,16%,0%,0%,25%,16%,16%,16%,,58%,16%,58%,8%,0%,8%,0%,0%,0%,8%,0%,,50%,0%,33%,8%,16%,8%,0%,0%,25%,0%,16%,,0%,58%,8%,16%,0%,0%,25%,0%,8%,16%,0%,,33%,16%,0%,8%,33%,8%,8%,0%,8%,33%,8%,,0%,0%,16%,0%,8%,0%,0%,66%,0%,25%,33%,,0%,41%,0%,8%,16%,25%,0%,8%,0%,16%,33%,,25%,0%,8%,8%,0%,0%,0%,0%,41%,0%,25%,,75%,0%,16%,58%,33%,33%,8%,16%,33%,25%,50%,,25%,8%,0%,16%,8%,8%,8%,0%,8%,16%,0%,58%,83%,0%,8%,16%,8%,50%,,75%,8%,0%,0%,16%,0%,33%
74,MUJI Robson Street,"1125 Robson St, Vancouver, BC V6E 1B5",Clothing store,49.2853,-123.12533,,,,,,,0%,0%,0%,0%,19%,19%,,85%,38%,38%,74%,50%,33%,26%,28%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,29%,,47%,98%,43%,38%,60%,45%,27%,16%,0%,0%,0%,,,,,,,0%,0%,0%,0%,16%,40%,,27%,55%,100%,42%,40%,44%,36%,17%,0%,0%,0%,,,,,,,0%,0%,0%,0%,14%,24%,,46%,28%,58%,94%,42%,36%,29%,25%,0%,0%,0%,,,,,,,0%,0%,0%,0%,29%,24%,,78%,53%,30%,56%,81%,36%,29%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,17%,46%,,35%,83%,55%,34%,48%,66%,28%,18%,0%,0%,0%,,,,,,,0%,0%,0%,0%,13%,29%,,37%,38%,80%,55%,36%,36%,49%,20%,0%,0%,0%,41%,25%,38%,63%,33%,32%,68%,,,,,,,,
77,The North Face - Granville Street,"792 Granville St, Vancouver, BC V6Z 1E4",Outdoor clothing and equipment shop,49.2815,-123.11932,,,,,,,0%,0%,0%,0%,23%,43%,,46%,30%,60%,23%,76%,60%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,23%,,33%,50%,56%,53%,26%,70%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,23%,23%,,53%,43%,93%,83%,53%,0%,53%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,23%,33%,,80%,26%,73%,93%,83%,36%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,16%,40%,,46%,100%,13%,80%,86%,80%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,6%,33%,,63%,60%,83%,20%,70%,76%,46%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,30%,13%,,16%,53%,40%,76%,46%,36%,0%,0%,0%,0%,0%,23%,60%,53%,40%,53%,26%,36%,,,,,,,,
79,Doncheechy Apparel YVR,"7545 Cambie St #201, Vancouver, BC V6P 3H6",Clothing store,49.2164,-123.11749,,,,,,,0%,0%,0%,11%,11%,11%,,66%,22%,0%,33%,55%,44%,44%,33%,0%,0%,0%,,,,,,,0%,0%,0%,77%,22%,0%,,33%,55%,11%,0%,11%,33%,44%,33%,0%,0%,0%,,,,,,,0%,0%,0%,44%,33%,11%,,0%,22%,22%,11%,11%,0%,11%,33%,0%,0%,0%,,,,,,,0%,0%,0%,11%,44%,11%,,11%,22%,0%,0%,22%,22%,0%,11%,0%,0%,0%,,,,,,,0%,0%,0%,0%,11%,100%,,33%,33%,44%,0%,0%,11%,44%,0%,0%,0%,0%,,,,,,,0%,0%,0%,11%,0%,55%,,0%,66%,77%,88%,11%,0%,0%,33%,0%,0%,0%,,,,,,,0%,0%,0%,22%,11%,11%,,66%,11%,66%,44%,55%,22%,11%,0%,0%,0%,0%,33%,0%,0%,11%,0%,66%,66%,,,,,,,,
84,Nike Robson,"1119 Robson St, Vancouver, BC V6E 1B5",Sportswear store,49.28509,-123.12504,,,,,,,0%,0%,0%,0%,25%,27%,,58%,43%,27%,68%,37%,23%,16%,18%,0%,0%,0%,,,,,,,0%,0%,0%,0%,20%,38%,,40%,84%,44%,27%,58%,29%,22%,11%,0%,0%,0%,,,,,,,0%,0%,0%,0%,9%,37%,,38%,48%,98%,52%,27%,45%,25%,20%,0%,0%,0%,,,,,,,0%,0%,0%,0%,16%,18%,,33%,40%,51%,100%,50%,29%,20%,22%,0%,0%,0%,,,,,,,0%,0%,0%,0%,31%,30%,,63%,37%,31%,51%,76%,44%,20%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,15%,40%,,27%,72%,44%,29%,47%,43%,27%,11%,0%,0%,0%,,,,,,,0%,0%,0%,0%,23%,29%,,44%,29%,80%,45%,26%,30%,26%,12%,0%,0%,0%,37%,38%,38%,48%,20%,43%,47%,,,,,,,,
