index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times
13,Eastbound Robson St @ Nicola St,"Vancouver, BC V6G 1B9",Bus station,49.28824,-123.13058,,15%,23%,30%,46%,7%,69%,30%,0%,61%,15%,0%,,23%,7%,0%,7%,15%,7%,0%,15%,0%,15%,0%,,23%,38%,7%,30%,30%,15%,53%,69%,7%,38%,30%,,7%,15%,0%,7%,0%,23%,7%,0%,7%,0%,38%,,15%,46%,30%,23%,7%,38%,7%,7%,30%,15%,23%,,23%,0%,7%,15%,23%,0%,46%,15%,15%,7%,0%,,23%,7%,30%,15%,53%,7%,15%,7%,15%,23%,7%,,46%,53%,7%,0%,30%,46%,7%,30%,38%,15%,15%,,15%,15%,15%,100%,30%,61%,0%,7%,0%,30%,15%,,53%,30%,30%,15%,7%,38%,30%,15%,23%,15%,30%,,7%,53%,15%,46%,38%,15%,61%,0%,0%,0%,61%,,0%,53%,30%,7%,7%,23%,15%,7%,7%,7%,7%,,15%,15%,76%,0%,100%,30%,7%,69%,0%,0%,7%,,23%,0%,23%,23%,0%,0%,30%,7%,7%,0%,0%,15%,7%,7%,7%,30%,46%,7%,23%,0%,7%,30%,15%,7%,30%,
14,EB Robson St @ Cardero St,"Vancouver, BC V6G 2G5",Bus station,49.28892,-123.13264,,6%,0%,6%,0%,6%,13%,26%,33%,0%,13%,60%,,0%,6%,26%,26%,13%,33%,6%,26%,0%,20%,0%,,6%,0%,6%,13%,0%,26%,20%,20%,20%,0%,20%,,66%,6%,0%,13%,13%,20%,53%,0%,20%,0%,26%,,6%,0%,0%,33%,26%,20%,26%,33%,26%,20%,6%,,13%,66%,13%,0%,6%,20%,26%,40%,0%,26%,6%,,6%,6%,6%,26%,53%,13%,60%,40%,66%,13%,6%,,26%,0%,86%,6%,0%,0%,6%,40%,40%,0%,46%,,13%,13%,20%,6%,13%,100%,6%,100%,53%,53%,6%,,33%,26%,6%,40%,0%,0%,0%,6%,26%,20%,6%,,20%,6%,13%,13%,13%,20%,60%,6%,100%,53%,33%,,20%,26%,40%,13%,26%,6%,0%,0%,13%,20%,26%,,0%,6%,0%,0%,26%,26%,33%,26%,13%,80%,26%,,0%,20%,33%,20%,33%,13%,13%,0%,6%,6%,13%,33%,13%,33%,0%,13%,40%,6%,20%,6%,33%,0%,0%,13%,6%,
15,EB Robson St @ Broughton St,"Vancouver, BC V6E 1C5",Bus stop,49.28733,-123.1295,,7%,15%,15%,23%,7%,0%,30%,15%,0%,69%,15%,,23%,7%,0%,0%,46%,0%,38%,7%,15%,7%,15%,,30%,0%,15%,61%,61%,15%,0%,53%,23%,0%,53%,,23%,15%,23%,7%,0%,23%,0%,30%,7%,30%,0%,,23%,38%,7%,15%,46%,76%,30%,15%,23%,30%,0%,,23%,0%,23%,7%,15%,0%,7%,0%,23%,15%,30%,,0%,7%,46%,92%,30%,30%,100%,15%,23%,7%,23%,,7%,15%,0%,7%,0%,7%,15%,7%,7%,0%,15%,,30%,15%,7%,15%,69%,15%,38%,100%,23%,38%,0%,,15%,0%,23%,0%,7%,0%,0%,23%,38%,15%,7%,,0%,30%,46%,15%,38%,61%,7%,46%,53%,38%,30%,,0%,7%,15%,7%,7%,23%,0%,7%,46%,69%,38%,,7%,0%,15%,0%,7%,23%,23%,0%,61%,23%,69%,,0%,0%,7%,23%,0%,15%,7%,7%,15%,23%,69%,53%,38%,15%,23%,0%,23%,53%,7%,7%,0%,0%,0%,15%,46%,
16,WB Robson St @ Bute St,"Vancouver, BC V6E 1C2",Bus stop,49.28653,-123.12745,,0%,0%,13%,33%,13%,6%,6%,13%,33%,20%,33%,,66%,46%,66%,46%,40%,93%,26%,40%,26%,0%,53%,,6%,6%,0%,20%,33%,13%,13%,13%,26%,26%,26%,,20%,86%,53%,60%,46%,53%,100%,26%,40%,6%,6%,,13%,0%,13%,6%,13%,53%,13%,26%,26%,13%,33%,,93%,6%,66%,60%,26%,26%,66%,66%,33%,40%,6%,,46%,0%,6%,6%,26%,33%,53%,13%,40%,20%,6%,,40%,60%,6%,26%,40%,6%,40%,53%,20%,13%,46%,,26%,20%,0%,13%,13%,20%,33%,80%,20%,46%,20%,,40%,33%,33%,13%,20%,26%,6%,26%,40%,0%,6%,,20%,33%,13%,6%,0%,6%,20%,33%,93%,40%,40%,,13%,46%,20%,13%,26%,26%,33%,13%,46%,33%,6%,,0%,26%,20%,6%,0%,0%,6%,13%,13%,40%,40%,,20%,33%,46%,26%,40%,40%,53%,33%,6%,40%,20%,26%,26%,40%,40%,20%,53%,13%,46%,0%,26%,13%,0%,0%,40%,
18,EB Robson St @ Bidwell St,"Vancouver, BC V6G 1C7",Bus stop,49.28979,-123.1331,,6%,33%,46%,20%,6%,33%,33%,20%,73%,13%,80%,,33%,73%,26%,6%,40%,0%,26%,53%,13%,13%,53%,,0%,26%,13%,26%,33%,13%,33%,26%,13%,53%,0%,,20%,46%,100%,6%,20%,60%,6%,20%,53%,6%,0%,,40%,6%,33%,0%,26%,60%,33%,26%,20%,13%,53%,,80%,33%,46%,100%,0%,40%,26%,13%,40%,33%,20%,,20%,20%,26%,0%,0%,20%,86%,13%,40%,6%,26%,,20%,40%,46%,73%,86%,6%,33%,13%,6%,46%,33%,,40%,6%,6%,26%,0%,13%,6%,40%,6%,53%,20%,,20%,13%,13%,46%,46%,40%,26%,33%,0%,0%,40%,,13%,46%,0%,53%,20%,0%,40%,13%,33%,6%,40%,,40%,6%,13%,0%,46%,46%,20%,46%,60%,0%,0%,,20%,20%,46%,6%,53%,13%,6%,66%,20%,33%,20%,,73%,46%,0%,40%,0%,40%,33%,13%,40%,60%,0%,20%,0%,66%,33%,6%,6%,26%,26%,26%,13%,26%,26%,0%,53%,
19,WB Robson St @ Cardero St,"Vancouver, BC V6G 2G4",Bus station,49.28972,-123.13243,,41%,0%,5%,5%,0%,11%,17%,17%,52%,41%,23%,,35%,82%,5%,64%,11%,47%,64%,23%,17%,0%,5%,,17%,23%,0%,5%,11%,5%,23%,41%,11%,64%,23%,,5%,35%,35%,5%,64%,11%,100%,29%,23%,5%,0%,,5%,5%,11%,5%,5%,35%,11%,29%,17%,11%,76%,,5%,0%,35%,23%,23%,29%,23%,88%,35%,41%,5%,,11%,0%,0%,29%,11%,17%,47%,5%,52%,5%,23%,,17%,0%,17%,17%,23%,47%,17%,17%,52%,11%,47%,,0%,11%,0%,11%,41%,29%,17%,35%,0%,58%,11%,,100%,29%,5%,47%,5%,41%,52%,5%,17%,29%,5%,,17%,5%,29%,17%,0%,17%,23%,23%,41%,5%,47%,,29%,76%,41%,0%,76%,5%,29%,29%,5%,29%,35%,,0%,0%,17%,0%,23%,5%,11%,35%,58%,41%,0%,,70%,29%,82%,17%,17%,70%,11%,41%,11%,0%,29%,0%,41%,17%,11%,0%,17%,0%,82%,35%,29%,41%,0%,58%,41%,
20,SB Denman St @ Robson St,"Vancouver, BC V6G 2L7",Bus stop,49.29131,-123.13614,,25%,16%,8%,16%,0%,50%,0%,41%,66%,75%,33%,,91%,75%,8%,91%,50%,16%,41%,66%,0%,25%,8%,,0%,25%,16%,8%,58%,8%,66%,0%,66%,41%,100%,,66%,66%,33%,8%,100%,25%,8%,41%,75%,0%,16%,,8%,0%,16%,8%,0%,91%,33%,41%,8%,83%,8%,,66%,50%,58%,33%,0%,58%,16%,0%,16%,41%,0%,,66%,0%,0%,41%,0%,8%,91%,41%,25%,25%,91%,,50%,75%,16%,33%,33%,8%,33%,16%,8%,0%,33%,,25%,41%,0%,0%,75%,16%,8%,50%,75%,33%,25%,,33%,25%,83%,8%,41%,41%,8%,25%,25%,25%,0%,,58%,33%,50%,8%,0%,50%,41%,25%,33%,58%,41%,,41%,66%,25%,66%,8%,41%,16%,16%,33%,8%,25%,,16%,25%,8%,8%,41%,8%,33%,75%,58%,41%,75%,,50%,16%,100%,41%,58%,16%,58%,8%,33%,16%,0%,66%,8%,58%,0%,33%,58%,8%,8%,100%,25%,50%,8%,33%,58%,
22,NB Denman St @ Haro St,"Vancouver, BC V6G 2L8",Bus stop,49.29055,-123.13629,,11%,5%,29%,82%,11%,23%,0%,58%,29%,17%,35%,,41%,35%,47%,5%,58%,76%,11%,11%,0%,0%,23%,,17%,29%,11%,23%,100%,11%,29%,0%,58%,11%,29%,,5%,70%,23%,64%,17%,35%,58%,5%,5%,11%,0%,,11%,17%,70%,5%,11%,70%,11%,47%,0%,41%,5%,,47%,11%,58%,17%,52%,17%,29%,52%,0%,0%,23%,,0%,23%,29%,5%,5%,0%,35%,23%,94%,0%,47%,,58%,41%,23%,35%,17%,41%,29%,23%,47%,11%,0%,,29%,0%,11%,17%,17%,11%,5%,5%,11%,100%,5%,,0%,76%,17%,41%,35%,17%,41%,64%,17%,47%,23%,,5%,11%,0%,29%,5%,35%,17%,17%,11%,11%,76%,,5%,0%,76%,23%,23%,23%,5%,17%,41%,5%,17%,,5%,17%,5%,29%,17%,0%,41%,23%,23%,29%,23%,,29%,17%,0%,82%,41%,29%,23%,0%,5%,47%,0%,17%,5%,29%,17%,0%,47%,35%,0%,23%,0%,23%,23%,5%,41%,
23,NB Granville St @ Smithe St,"Vancouver, BC V6Z 1K3",Bus stop,49.28058,-123.12033,,4%,27%,18%,36%,4%,4%,54%,50%,27%,22%,4%,,4%,45%,31%,63%,13%,36%,31%,100%,18%,45%,50%,,4%,13%,18%,0%,27%,18%,9%,63%,22%,31%,31%,,59%,9%,54%,45%,68%,31%,63%,40%,86%,13%,22%,,22%,9%,22%,13%,0%,45%,45%,18%,31%,18%,9%,,18%,45%,22%,68%,63%,40%,40%,72%,31%,54%,4%,,0%,9%,4%,18%,31%,0%,27%,45%,31%,18%,27%,,18%,31%,50%,45%,45%,95%,50%,54%,86%,40%,40%,,0%,0%,4%,27%,40%,31%,4%,31%,36%,18%,13%,,4%,31%,31%,31%,40%,45%,86%,68%,54%,63%,22%,,13%,0%,4%,13%,40%,54%,31%,9%,27%,45%,22%,,40%,18%,22%,45%,27%,40%,18%,77%,86%,50%,40%,,18%,13%,4%,13%,18%,59%,45%,40%,13%,18%,63%,,27%,50%,40%,18%,40%,18%,68%,18%,59%,72%,22%,50%,9%,9%,59%,13%,18%,0%,4%,27%,22%,13%,18%,18%,9%,
25,NB Smithe St @ Expo Blvd,"Vancouver, BC V6B 1C2",Bus station,49.27646,-123.11491,,7%,61%,38%,46%,46%,38%,38%,30%,30%,23%,23%,,53%,15%,46%,76%,38%,30%,7%,61%,23%,30%,46%,,0%,7%,53%,0%,53%,84%,53%,38%,23%,30%,46%,,15%,61%,23%,46%,92%,30%,38%,15%,23%,61%,23%,,0%,0%,30%,7%,0%,53%,76%,69%,23%,15%,30%,,15%,23%,53%,69%,30%,100%,15%,46%,30%,15%,76%,,69%,0%,0%,38%,30%,7%,46%,46%,30%,23%,46%,,30%,30%,53%,76%,53%,30%,76%,23%,46%,38%,23%,,30%,76%,0%,15%,23%,61%,23%,30%,23%,38%,7%,,69%,30%,23%,23%,61%,76%,15%,69%,15%,30%,23%,,46%,7%,38%,38%,38%,38%,76%,46%,46%,38%,30%,,23%,69%,23%,15%,7%,53%,53%,15%,84%,23%,38%,,30%,38%,0%,38%,38%,69%,69%,46%,30%,61%,23%,,15%,38%,53%,30%,15%,0%,69%,30%,7%,100%,30%,23%,15%,7%,15%,53%,46%,76%,53%,30%,23%,7%,15%,15%,69%,
26,Burrard Station @ Bay 6,"Vancouver, BC V6C 2K2",Bus station,49.28588,-123.11834,,13%,4%,4%,3%,11%,11%,7%,8%,10%,2%,13%,,28%,22%,53%,90%,40%,60%,57%,55%,40%,29%,23%,,11%,7%,3%,5%,8%,16%,11%,4%,14%,19%,4%,,27%,38%,25%,85%,100%,41%,41%,39%,45%,38%,21%,,7%,4%,4%,4%,10%,9%,17%,17%,6%,18%,21%,,15%,42%,51%,29%,100%,81%,40%,19%,32%,34%,29%,,8%,4%,2%,3%,5%,9%,15%,11%,21%,8%,17%,,5%,23%,70%,76%,32%,82%,57%,33%,17%,23%,23%,,4%,4%,4%,1%,6%,11%,7%,16%,9%,31%,14%,,27%,9%,48%,85%,84%,28%,63%,42%,31%,14%,16%,,8%,2%,2%,5%,3%,7%,11%,5%,15%,7%,28%,,10%,36%,21%,65%,95%,77%,29%,45%,38%,32%,14%,,6%,8%,2%,7%,6%,6%,11%,14%,2%,18%,13%,,18%,25%,56%,32%,77%,78%,66%,30%,36%,32%,30%,15%,25%,8%,16%,10%,4%,14%,27%,11%,13%,14%,8%,10%,28%,
27,WB W Pender St @ Granville St,"Vancouver, BC V6B 1W7",Bus stop,49.28434,-123.11428,,10%,1%,10%,6%,22%,50%,37%,98%,72%,44%,51%,,62%,46%,56%,74%,74%,55%,58%,75%,25%,50%,34%,,22%,5%,5%,8%,22%,60%,72%,53%,67%,60%,58%,,50%,70%,53%,81%,72%,67%,55%,48%,65%,20%,24%,,17%,10%,5%,13%,15%,46%,84%,77%,67%,43%,50%,,67%,62%,84%,50%,91%,63%,58%,51%,36%,53%,17%,,5%,17%,12%,13%,20%,24%,63%,100%,63%,67%,34%,,75%,60%,72%,82%,51%,75%,51%,55%,48%,22%,32%,,3%,6%,13%,12%,27%,50%,36%,65%,65%,51%,70%,,62%,77%,50%,86%,81%,56%,60%,50%,58%,24%,10%,,13%,5%,5%,13%,10%,60%,74%,43%,50%,50%,44%,,50%,70%,82%,51%,89%,72%,55%,56%,46%,60%,17%,,0%,6%,12%,8%,29%,20%,87%,86%,50%,41%,48%,,67%,48%,67%,72%,53%,70%,65%,44%,60%,51%,55%,48%,39%,63%,34%,10%,62%,6%,58%,41%,17%,62%,3%,10%,53%,
28,Burrard Station @ Bay 1,"655 Burrard St, Vancouver, BC V6C 0A4",Bus station,49.28535,-123.12068,,7%,3%,3%,4%,20%,46%,17%,81%,51%,35%,34%,,36%,33%,88%,93%,52%,66%,49%,46%,28%,31%,22%,,9%,5%,0%,0%,13%,51%,70%,25%,65%,32%,32%,,43%,53%,32%,100%,87%,52%,47%,44%,40%,22%,23%,,9%,1%,5%,13%,4%,29%,81%,75%,24%,52%,32%,,40%,55%,69%,30%,97%,75%,51%,33%,43%,32%,20%,,6%,5%,0%,10%,30%,13%,51%,81%,64%,21%,35%,,35%,51%,72%,79%,31%,76%,60%,46%,20%,37%,24%,,4%,3%,7%,7%,28%,48%,27%,59%,66%,46%,18%,,45%,38%,63%,89%,84%,36%,53%,49%,38%,19%,25%,,10%,2%,2%,7%,6%,57%,67%,35%,63%,43%,33%,,46%,58%,47%,73%,83%,71%,37%,41%,39%,31%,16%,,5%,6%,5%,4%,23%,9%,76%,64%,41%,47%,35%,,22%,60%,78%,49%,76%,67%,57%,33%,34%,30%,29%,35%,19%,32%,14%,16%,32%,12%,35%,38%,16%,21%,14%,9%,32%,
29,EB W Georgia St @ Bute St,"Vancouver, BC V6E 4A2",Bus stop,49.28674,-123.12532,,4%,4%,0%,18%,13%,22%,4%,27%,45%,22%,31%,,54%,9%,77%,77%,27%,54%,59%,68%,13%,4%,50%,,22%,18%,0%,36%,27%,22%,40%,4%,27%,59%,36%,,27%,59%,4%,90%,100%,9%,45%,36%,50%,9%,0%,,9%,22%,18%,4%,36%,36%,9%,50%,9%,22%,54%,,63%,22%,50%,9%,86%,86%,4%,45%,22%,31%,0%,,13%,0%,27%,22%,18%,18%,27%,9%,36%,27%,45%,,40%,72%,36%,77%,9%,45%,54%,9%,31%,18%,13%,,4%,22%,0%,0%,22%,40%,9%,31%,9%,36%,27%,,54%,45%,95%,54%,95%,13%,45%,22%,9%,40%,18%,,0%,0%,36%,0%,0%,31%,54%,13%,31%,22%,27%,,54%,45%,40%,72%,63%,86%,22%,40%,31%,13%,13%,,9%,0%,0%,4%,4%,0%,36%,50%,22%,40%,22%,,22%,50%,63%,40%,72%,54%,72%,18%,22%,45%,36%,22%,36%,36%,22%,0%,45%,0%,59%,40%,4%,36%,9%,4%,40%,
30,WB W Georgia St @ Burrard St,"Vancouver, BC V6C 3L2",Bus stop,49.28411,-123.12052,,25%,29%,4%,20%,25%,41%,12%,100%,66%,16%,25%,,29%,25%,50%,62%,25%,25%,50%,20%,25%,12%,20%,,16%,20%,20%,8%,37%,37%,62%,4%,83%,33%,12%,,54%,20%,33%,41%,62%,29%,8%,25%,12%,16%,4%,,12%,25%,20%,16%,25%,58%,20%,62%,0%,50%,29%,,25%,79%,20%,29%,29%,66%,25%,8%,4%,25%,4%,,4%,4%,16%,25%,54%,33%,62%,8%,45%,4%,16%,,45%,50%,75%,20%,12%,45%,54%,8%,8%,0%,29%,,16%,8%,4%,16%,29%,79%,45%,54%,0%,58%,20%,,50%,66%,66%,75%,8%,12%,54%,33%,8%,8%,4%,,8%,16%,20%,0%,20%,58%,100%,33%,37%,0%,54%,,25%,58%,45%,87%,66%,12%,20%,37%,29%,12%,25%,,16%,4%,12%,20%,12%,12%,91%,79%,41%,37%,4%,,33%,45%,66%,45%,58%,70%,12%,37%,20%,41%,8%,20%,16%,16%,12%,0%,20%,4%,37%,12%,25%,20%,12%,16%,45%,
32,Burrard Stn Bay 7,"Vancouver, BC V6C 3L1",Bus stop,49.28503,-123.1193,,37%,0%,37%,50%,0%,0%,12%,0%,0%,87%,62%,,50%,12%,12%,12%,37%,0%,25%,37%,25%,0%,0%,,0%,12%,0%,0%,37%,0%,0%,37%,12%,12%,62%,,62%,62%,50%,12%,12%,87%,12%,12%,37%,25%,0%,,12%,0%,12%,0%,0%,50%,12%,0%,37%,0%,25%,,62%,100%,37%,50%,37%,0%,100%,12%,0%,62%,25%,,0%,25%,0%,0%,0%,0%,50%,50%,0%,12%,12%,,62%,25%,50%,50%,37%,75%,12%,50%,0%,0%,87%,,37%,0%,12%,37%,0%,12%,12%,50%,37%,12%,0%,,0%,50%,25%,25%,12%,12%,37%,0%,12%,0%,0%,,75%,37%,0%,12%,12%,0%,37%,37%,25%,50%,25%,,50%,12%,12%,25%,12%,0%,0%,12%,0%,12%,0%,,0%,100%,50%,0%,12%,0%,0%,12%,87%,37%,37%,,0%,25%,25%,12%,25%,12%,12%,12%,0%,0%,25%,37%,12%,75%,0%,0%,75%,50%,12%,25%,62%,0%,0%,12%,75%,
35,Vancouver Bus Terminal,"Vancouver, BC V6A 4C7",Bus station,49.27369,-123.09782,,25%,33%,25%,0%,16%,25%,16%,58%,91%,16%,16%,,33%,16%,25%,33%,16%,25%,0%,0%,0%,8%,16%,,33%,8%,16%,16%,8%,0%,33%,16%,50%,50%,41%,,33%,25%,8%,8%,41%,16%,8%,8%,8%,8%,16%,,0%,66%,0%,16%,0%,16%,16%,16%,33%,83%,33%,,8%,8%,25%,16%,0%,58%,16%,0%,16%,0%,25%,,8%,8%,33%,25%,25%,8%,8%,41%,8%,16%,33%,,16%,8%,0%,41%,41%,8%,25%,16%,0%,33%,0%,,33%,8%,25%,0%,16%,41%,16%,0%,50%,0%,16%,,8%,8%,25%,8%,66%,41%,0%,8%,16%,8%,25%,,0%,16%,8%,16%,8%,16%,83%,16%,0%,41%,8%,,8%,8%,16%,33%,16%,25%,16%,0%,0%,33%,25%,,50%,8%,8%,16%,25%,8%,33%,100%,8%,0%,66%,,16%,33%,16%,41%,50%,8%,8%,8%,0%,8%,25%,66%,25%,25%,8%,8%,16%,25%,25%,16%,0%,25%,33%,16%,16%,
36,EB Davie St @ Nicola St,"Vancouver, BC V6G 2Y6",Bus stop,49.28418,-123.13758,,29%,23%,17%,0%,23%,5%,35%,29%,17%,5%,11%,,23%,5%,35%,11%,17%,11%,29%,17%,17%,0%,5%,,0%,17%,17%,5%,5%,17%,11%,17%,17%,17%,0%,,41%,23%,5%,29%,5%,47%,17%,52%,23%,5%,0%,,5%,0%,5%,0%,11%,17%,17%,29%,17%,0%,11%,,29%,41%,23%,17%,35%,5%,64%,5%,100%,17%,5%,,23%,5%,0%,11%,0%,11%,23%,11%,11%,11%,0%,,11%,29%,23%,11%,47%,35%,11%,58%,5%,70%,17%,,23%,17%,0%,29%,23%,0%,17%,17%,11%,11%,17%,,5%,29%,35%,5%,11%,52%,41%,11%,35%,11%,70%,,35%,17%,17%,11%,35%,23%,0%,35%,5%,11%,5%,,29%,11%,11%,11%,5%,11%,64%,11%,0%,17%,23%,,23%,23%,17%,17%,5%,29%,47%,5%,17%,5%,17%,,5%,47%,23%,11%,5%,11%,29%,47%,11%,0%,5%,41%,0%,23%,0%,5%,5%,11%,5%,11%,35%,17%,35%,23%,5%,
