index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 a.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times
10,Mediterranean Grill Restaurant at Denman LTD..,"1152 Denman St, Vancouver, BC V6G 2M9",Restaurant,49.28775,-123.1409,,37%,15%,62%,0%,0%,0%,0%,0%,0%,33%,56%,,34%,74%,23%,26%,70%,53%,60%,88%,35%,51%,34%,,52%,38%,10%,0%,0%,0%,0%,0%,0%,44%,50%,,51%,51%,79%,28%,23%,66%,60%,55%,97%,20%,34%,,35%,58%,25%,0%,0%,0%,0%,0%,0%,20%,37%,,66%,55%,65%,88%,33%,19%,71%,41%,52%,100%,14%,,25%,32%,38%,0%,0%,0%,0%,0%,0%,15%,30%,,64%,58%,53%,64%,82%,44%,26%,75%,42%,46%,91%,,35%,25%,23%,0%,0%,0%,0%,0%,0%,11%,15%,,17%,80%,55%,50%,74%,83%,57%,38%,79%,32%,33%,,78%,43%,19%,0%,0%,0%,0%,0%,0%,16%,12%,,34%,24%,87%,48%,64%,75%,73%,74%,39%,82%,42%,,14%,69%,29%,0%,0%,0%,0%,0%,0%,37%,29%,,56%,26%,29%,83%,55%,70%,82%,65%,70%,37%,85%,75%,30%,38%,61%,26%,52%,32%,79%,38%,24%,43%,28%,32%,25%,
11,Cardero's Restaurant,"1583 Coal Harbour Quay, Vancouver, BC V6G 3E7",Seafood restaurant,49.29161,-123.12748,,,,,,,0%,0%,0%,0%,0%,19%,,88%,52%,44%,80%,68%,68%,67%,86%,52%,30%,0%,,,,,,,0%,0%,0%,0%,0%,24%,,57%,99%,51%,49%,80%,73%,69%,54%,71%,34%,0%,,,,,,,0%,0%,0%,0%,0%,34%,,44%,56%,100%,57%,62%,74%,77%,59%,36%,54%,0%,,,,,,,0%,0%,0%,0%,0%,30%,,58%,43%,51%,94%,67%,71%,66%,73%,43%,18%,34%,,,,,,,0%,0%,0%,0%,0%,30%,,71%,58%,40%,54%,92%,79%,69%,52%,60%,25%,0%,,,,,,,0%,0%,0%,0%,0%,34%,,55%,76%,59%,44%,61%,92%,76%,62%,37%,43%,0%,,,,,,,0%,0%,0%,0%,0%,28%,,53%,49%,76%,59%,58%,68%,91%,66%,46%,22%,26%,,46%,,35%,,45%,60%,,48%,,,65%,46%,,
12,Burgoo,"101-1100 Burrard St, Vancouver, BC V6Z 1Y7",Bistro,49.27985,-123.12765,,,,,,,0%,0%,0%,0%,0%,35%,,57%,83%,72%,68%,75%,57%,79%,87%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,40%,,40%,53%,72%,44%,74%,87%,37%,72%,55%,0%,0%,,,,,,,0%,0%,0%,0%,0%,37%,,42%,37%,66%,72%,42%,70%,77%,31%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,27%,,53%,22%,31%,77%,87%,40%,59%,64%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,44%,,72%,50%,29%,29%,90%,94%,62%,31%,46%,0%,0%,,,,,,,0%,0%,0%,0%,0%,33%,,68%,59%,53%,38%,48%,100%,90%,42%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,24%,,88%,68%,53%,62%,66%,62%,100%,70%,0%,0%,0%,,33%,,38%,,55%,61%,,53%,,,38%,72%,,
14,MILA,"185 Keefer St, Vancouver, BC V6A 1X3",Restaurant,49.27964,-123.10031,,,,,,,0%,0%,0%,0%,0%,4%,,45%,25%,22%,34%,75%,62%,30%,100%,31%,0%,0%,,,,,,,0%,0%,0%,0%,15%,40%,,9%,36%,16%,21%,51%,96%,68%,22%,74%,0%,0%,,,,,,,0%,0%,0%,0%,0%,34%,,16%,12%,40%,12%,34%,65%,98%,59%,13%,43%,0%,,,,,,,0%,0%,0%,0%,0%,7%,,51%,18%,21%,43%,15%,31%,59%,66%,40%,0%,0%,,,,,,,0%,0%,0%,0%,28%,15%,,40%,37%,34%,45%,46%,15%,37%,34%,30%,0%,0%,,,,,,,0%,0%,0%,0%,0%,27%,,12%,33%,33%,39%,45%,65%,24%,42%,25%,12%,0%,,,,,,,0%,0%,0%,0%,0%,15%,,13%,12%,30%,39%,53%,36%,89%,19%,36%,0%,0%,,18%,,4%,,51%,36%,,15%,,,30%,13%,,
15,Di Beppe Restaurant,"8 W Cordova St, Vancouver, BC V6B 1C9",Italian restaurant,49.28236,-123.10459,,,,,,,0%,0%,14%,10%,32%,38%,,81%,55%,40%,57%,61%,54%,40%,85%,51%,0%,0%,,,,,,,0%,0%,12%,23%,24%,43%,,54%,89%,50%,40%,61%,66%,52%,32%,72%,0%,0%,,,,,,,0%,0%,0%,19%,34%,39%,,46%,53%,100%,52%,48%,60%,66%,40%,22%,50%,0%,,,,,,,0%,0%,4%,18%,26%,46%,,66%,45%,43%,93%,57%,49%,57%,67%,33%,0%,0%,,,,,,,0%,0%,15%,11%,32%,33%,,58%,55%,48%,34%,96%,61%,50%,49%,62%,0%,0%,,,,,,,0%,0%,18%,21%,19%,46%,,48%,54%,49%,50%,33%,91%,59%,38%,33%,51%,0%,,,,,,,0%,0%,0%,23%,27%,30%,,54%,37%,57%,50%,56%,39%,92%,59%,24%,0%,0%,,50%,,48%,,60%,54%,,49%,,,64%,45%,,
16,Hendricks Resto-Lounge,"433 Robson St, Vancouver, BC V6B 6L9",Restaurant,49.27979,-123.11704,,,,,,,0%,25%,22%,61%,27%,77%,,47%,75%,72%,61%,88%,72%,11%,83%,77%,22%,0%,,,,,,,0%,47%,47%,8%,83%,13%,,50%,66%,72%,52%,33%,91%,47%,11%,52%,38%,0%,,,,,,,0%,13%,66%,58%,11%,66%,,61%,50%,75%,100%,52%,33%,69%,16%,16%,36%,0%,,,,,,,0%,50%,27%,66%,55%,13%,,19%,44%,69%,94%,61%,33%,41%,47%,2%,25%,0%,,,,,,,0%,5%,72%,22%,63%,47%,,58%,16%,41%,44%,94%,44%,27%,58%,44%,0%,0%,,,,,,,0%,19%,19%,75%,19%,36%,,33%,61%,30%,41%,50%,100%,50%,30%,27%,27%,0%,,,,,,,0%,22%,44%,16%,69%,19%,,80%,50%,55%,47%,69%,16%,97%,58%,27%,19%,0%,,36%,,63%,,13%,86%,,33%,,,41%,61%,,
17,Curry Hut Indian Bistro,"445 Howe St, Vancouver, BC V6C 2X6",North Indian restaurant,49.28591,-123.1154,,,,,,,0%,0%,0%,0%,0%,31%,,72%,76%,58%,35%,47%,43%,37%,58%,35%,19%,0%,,,,,,,0%,0%,0%,0%,0%,54%,,50%,80%,52%,56%,37%,54%,43%,31%,62%,29%,0%,,,,,,,0%,0%,0%,0%,0%,21%,,60%,35%,76%,47%,45%,37%,49%,33%,17%,50%,0%,,,,,,,0%,0%,0%,0%,0%,35%,,60%,54%,23%,72%,35%,35%,45%,56%,25%,7%,0%,,,,,,,0%,0%,0%,0%,0%,58%,,49%,52%,45%,27%,58%,33%,21%,31%,49%,21%,0%,,,,,,,0%,0%,0%,0%,0%,25%,,74%,45%,33%,37%,37%,49%,27%,29%,19%,21%,0%,,,,,,,0%,0%,0%,0%,0%,39%,,100%,72%,43%,43%,47%,41%,49%,31%,29%,11%,0%,,58%,,52%,,72%,35%,,72%,,,56%,92%,,
18,Joyeaux Café & Restaurant,"551 Howe St, Vancouver, BC V6C 2C2",Vietnamese restaurant,49.28487,-123.11705,,,,,,,0%,0%,10%,23%,33%,47%,,37%,60%,39%,21%,21%,24%,13%,0%,0%,0%,0%,,,,,,,0%,0%,11%,18%,21%,57%,,71%,44%,27%,21%,18%,11%,15%,0%,0%,0%,0%,,,,,,,0%,0%,15%,21%,36%,36%,,75%,57%,42%,20%,11%,7%,10%,0%,0%,0%,0%,,,,,,,0%,0%,7%,26%,39%,72%,,71%,52%,36%,37%,24%,7%,4%,0%,0%,0%,0%,,,,,,,0%,0%,2%,7%,18%,68%,,55%,62%,27%,23%,33%,31%,5%,0%,0%,0%,0%,,,,,,,0%,0%,2%,4%,21%,18%,,91%,44%,42%,14%,18%,23%,21%,0%,0%,0%,0%,,,,,,,0%,0%,10%,10%,17%,49%,,82%,66%,30%,31%,18%,21%,17%,0%,0%,0%,0%,,69%,,75%,,78%,50%,,97%,,,23%,100%,,
20,The Poke Guy,"420 Richards St, Vancouver, BC V6B 2Z3",Hawaiian restaurant,49.28377,-123.11204,,,,,,,0%,0%,0%,0%,0%,45%,,100%,14%,25%,42%,37%,11%,31%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,37%,,31%,82%,22%,37%,22%,37%,2%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,14%,,62%,37%,65%,34%,48%,11%,40%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,20%,,57%,48%,48%,42%,42%,37%,11%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,5%,,37%,37%,37%,51%,48%,37%,37%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,40%,,34%,45%,40%,22%,54%,45%,14%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,22%,,8%,28%,51%,34%,17%,34%,31%,0%,0%,0%,0%,,28%,,54%,,51%,20%,,22%,,,85%,5%,,
23,Carlino Restaurant,"1115 Alberni St, Vancouver, BC V6E 1A5",Italian restaurant,49.28572,-123.12407,,,,,,,0%,10%,28%,16%,47%,50%,,57%,43%,36%,44%,72%,39%,52%,94%,71%,0%,0%,,,,,,,0%,1%,22%,32%,16%,52%,,35%,63%,36%,42%,32%,77%,50%,48%,82%,0%,0%,,,,,,,0%,18%,8%,33%,48%,28%,,34%,33%,70%,40%,54%,39%,96%,54%,31%,64%,0%,,,,,,,0%,16%,19%,16%,35%,50%,,60%,19%,36%,54%,45%,56%,34%,95%,54%,0%,0%,,,,,,,0%,11%,28%,22%,31%,32%,,50%,59%,13%,31%,73%,66%,66%,33%,79%,0%,0%,,,,,,,0%,5%,22%,34%,22%,41%,,52%,48%,71%,19%,29%,77%,77%,49%,33%,59%,0%,,,,,,,0%,16%,12%,36%,43%,24%,,48%,41%,45%,62%,32%,44%,100%,80%,42%,0%,0%,,28%,,45%,,54%,31%,,56%,,,43%,40%,,
24,Brioche Ristorante & Catering,"117 Water St, Vancouver, BC V6B 1A7",Italian restaurant,49.28414,-123.10691,,,,,,,0%,9%,36%,43%,31%,52%,,90%,59%,45%,65%,50%,36%,13%,65%,0%,0%,0%,,,,,,,0%,13%,25%,38%,68%,43%,,70%,90%,47%,54%,47%,61%,29%,9%,63%,0%,0%,,,,,,,0%,13%,22%,36%,52%,84%,,56%,70%,68%,40%,43%,40%,70%,34%,0%,0%,0%,,,,,,,0%,25%,31%,43%,56%,54%,,70%,54%,61%,56%,45%,40%,29%,63%,0%,0%,0%,,,,,,,0%,13%,38%,29%,59%,68%,,100%,63%,52%,47%,47%,45%,25%,34%,29%,0%,0%,,,,,,,0%,11%,20%,47%,36%,65%,,38%,86%,56%,45%,38%,54%,45%,20%,0%,0%,0%,,,,,,,0%,25%,25%,27%,52%,45%,,65%,40%,81%,50%,38%,29%,56%,31%,0%,0%,0%,,54%,,56%,,59%,100%,,45%,,,84%,72%,,
25,Prestons Restaurant + Lounge Vancouver,"1177 W Pender St, Vancouver, BC V6E 2P4",Restaurant,49.28822,-123.12221,,,,,,,0%,9%,,0%,45%,45%,,27%,18%,,45%,9%,72%,,0%,27%,,0%,,,,,,0%,,18%,18%,,9%,36%,,,36%,18%,,45%,9%,27%,,0%,0%,,,,,,,0%,9%,,9%,18%,,27%,,18%,,18%,18%,,63%,27%,9%,,0%,,,,,,,0%,9%,18%,,9%,18%,,,18%,36%,,18%,45%,,36%,9%,0%,,0%,,,,,,,18%,18%,45%,,18%,45%,,9%,18%,45%,,18%,45%,,27%,9%,0%,,,,,,,0%,,18%,18%,45%,,36%,,,9%,18%,72%,,9%,63%,,9%,0%,,,,,,,0%,0%,,9%,18%,45%,,,54%,,27%,18%,54%,,0%,63%,,0%,,,,,45%,,27%,27%,,,,,27%,36%,,
26,Mount Everest Kitchen & Grill,"538 Seymour St, Vancouver, BC V6B 3J5",Nepalese restaurant,49.28352,-123.11435,,,,,,,0%,0%,0%,0%,13%,34%,,49%,39%,34%,40%,63%,50%,34%,95%,47%,0%,0%,,,,,,,0%,0%,0%,0%,0%,31%,,30%,56%,34%,38%,47%,75%,61%,35%,76%,0%,0%,,,,,,,0%,0%,0%,0%,8%,13%,,56%,31%,60%,37%,48%,65%,87%,52%,27%,0%,0%,,,,,,,0%,0%,0%,0%,16%,21%,,49%,43%,26%,74%,47%,58%,66%,85%,37%,0%,0%,,,,,,,0%,0%,0%,0%,12%,33%,,28%,40%,34%,23%,86%,59%,63%,60%,72%,0%,0%,,,,,,,0%,0%,0%,0%,6%,22%,,37%,32%,39%,31%,25%,98%,65%,58%,45%,0%,0%,,,,,,,0%,0%,0%,0%,17%,13%,,47%,34%,33%,47%,42%,32%,100%,61%,41%,0%,0%,,22%,,53%,,44%,21%,,34%,,,40%,47%,,
27,Bacchus Restaurant & Lounge,"845 Hornby St, Vancouver, BC V6Z 1V1",European restaurant,49.28236,-123.12281,,,,,,,,24%,14%,16%,9%,37%,,,65%,33%,22%,48%,55%,60%,,64%,44%,28%,,,,,,,0%,,27%,16%,25%,16%,,44%,,39%,31%,35%,52%,52%,74%,,64%,43%,,,,,,,0%,2%,,28%,19%,42%,,27%,40%,,29%,44%,41%,50%,54%,88%,,36%,,,,,,,0%,36%,2%,,20%,33%,,36%,28%,27%,,29%,49%,47%,51%,54%,100%,,,,,,,,0%,5%,35%,4%,,31%,,44%,47%,22%,20%,,44%,50%,39%,62%,48%,87%,,,,,,,0%,9%,6%,37%,13%,,,29%,34%,40%,35%,28%,,60%,47%,39%,75%,32%,,,,,,,0%,12%,17%,5%,35%,28%,,66%,27%,31%,45%,44%,52%,,68%,50%,36%,73%,47%,39%,,37%,,26%,45%,,39%,60%,,,56%,,
28,Heritage Asian Eatery,"1108 W Pender St, Vancouver, BC V6E 4J6",Asian restaurant,49.28754,-123.12106,,,,,,,0%,0%,0%,0%,0%,52%,,60%,47%,50%,50%,44%,45%,45%,41%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,42%,,58%,63%,36%,47%,42%,45%,39%,29%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,38%,,79%,55%,63%,48%,52%,38%,54%,26%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,66%,,72%,66%,50%,60%,60%,57%,25%,47%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,51%,,64%,66%,48%,48%,61%,75%,47%,11%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,26%,,89%,66%,51%,41%,50%,57%,66%,27%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,41%,,64%,70%,61%,44%,41%,54%,52%,42%,0%,0%,0%,,58%,,80%,,66%,54%,,100%,,,51%,77%,,
29,Thai Basil Restaurant,"1215 Thurlow St, Vancouver, BC V6E 1X4",Thai restaurant,49.2803,-123.13159,,,,,,,0%,0%,0%,0%,0%,48%,,56%,37%,48%,56%,43%,67%,54%,51%,27%,0%,0%,,,,,,,0%,0%,0%,0%,0%,51%,,54%,67%,45%,64%,64%,62%,70%,54%,37%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,,97%,35%,78%,45%,78%,78%,70%,59%,32%,0%,0%,,,,,,,0%,0%,0%,0%,0%,51%,,75%,81%,24%,78%,59%,100%,67%,70%,35%,0%,0%,,,,,,,0%,0%,0%,0%,0%,37%,,64%,70%,64%,37%,78%,59%,86%,56%,51%,0%,0%,,,,,,,0%,0%,0%,0%,0%,8%,,56%,62%,56%,59%,48%,67%,62%,54%,24%,0%,0%,,,,,,,0%,0%,0%,0%,0%,51%,,59%,51%,54%,45%,59%,51%,62%,56%,27%,0%,0%,,62%,,78%,,70%,59%,,64%,,,24%,56%,,
30,Pourhouse Restaurant,"162 Water St, Vancouver, BC V6B 1B2",Restaurant,49.28411,-123.10851,,,,,,,,0%,0%,0%,0%,9%,,,18%,20%,33%,62%,61%,87%,,56%,21%,34%,,,,,,,0%,,0%,0%,0%,4%,,17%,,22%,25%,37%,82%,60%,88%,,42%,27%,,,,,,,0%,0%,,0%,0%,6%,,25%,21%,,32%,40%,48%,83%,56%,100%,,25%,,,,,,,0%,0%,0%,,0%,11%,,11%,21%,43%,,42%,40%,52%,84%,57%,95%,,,,,,,,0%,0%,0%,0%,,17%,,11%,10%,24%,58%,,57%,37%,57%,84%,50%,92%,,,,,,,0%,0%,0%,0%,0%,,,11%,19%,18%,37%,81%,,62%,21%,48%,87%,38%,,,,,,,0%,0%,0%,0%,0%,16%,,19%,15%,27%,44%,55%,88%,,61%,20%,41%,87%,67%,11%,,18%,,9%,11%,,15%,63%,,,21%,,
32,Gurkha Himalayan Kitchen Restaurant,"1141 Davie St, Vancouver, BC V6E 1N2",Nepalese restaurant,49.28111,-123.13212,,,,,,,0%,0%,0%,0%,0%,6%,,44%,18%,8%,53%,56%,46%,42%,100%,45%,0%,0%,,,,,,,0%,0%,0%,0%,0%,2%,,32%,49%,18%,16%,50%,82%,60%,38%,80%,0%,0%,,,,,,,0%,0%,0%,0%,0%,24%,,13%,25%,57%,28%,36%,52%,89%,65%,29%,57%,0%,,,,,,,0%,0%,0%,0%,0%,6%,,24%,18%,22%,50%,28%,46%,52%,86%,44%,0%,0%,,,,,,,0%,0%,0%,0%,0%,6%,,54%,29%,20%,25%,60%,40%,53%,53%,72%,0%,0%,,,,,,,0%,0%,0%,0%,0%,21%,,4%,58%,30%,25%,32%,77%,49%,48%,44%,49%,0%,,,,,,,0%,0%,0%,0%,0%,21%,,14%,2%,60%,38%,33%,29%,93%,56%,36%,0%,0%,,32%,,13%,,10%,40%,,10%,,,29%,14%,,
34,Memphis Blues BBQ House,"430 Robson St, Vancouver, BC V6B 0H3",Barbecue restaurant,49.27959,-123.11738,,,,,,,0%,0%,0%,0%,0%,30%,,82%,38%,53%,67%,92%,46%,38%,65%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,36%,,53%,86%,50%,65%,59%,100%,36%,25%,38%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,,50%,59%,84%,55%,84%,59%,96%,36%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,34%,,44%,44%,50%,78%,65%,94%,57%,73%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,13%,,55%,40%,34%,50%,73%,61%,71%,50%,51%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,,50%,75%,42%,32%,50%,76%,59%,42%,36%,0%,0%,,,,,,,0%,0%,0%,0%,0%,19%,,40%,48%,73%,61%,38%,40%,73%,40%,0%,0%,0%,,42%,,48%,,50%,28%,,46%,,,71%,25%,,
37,Jade Dynasty Restaurant,"137 E Pender St, Vancouver, BC V6A 1T6",Chinese restaurant,49.28053,-123.10098,,,,,,,,0%,0%,18%,28%,29%,,,33%,19%,47%,37%,25%,22%,,0%,0%,0%,,,,,,,0%,,0%,3%,47%,47%,,36%,,28%,18%,32%,35%,31%,20%,,0%,0%,,,,,,,0%,0%,,4%,8%,74%,,38%,34%,,22%,18%,26%,33%,31%,0%,,0%,,,,,,,0%,0%,0%,,11%,13%,,79%,33%,30%,,22%,18%,22%,26%,0%,0%,,,,,,,,0%,0%,0%,7%,,23%,,100%,79%,25%,25%,,25%,14%,18%,0%,0%,0%,,,,,,,0%,0%,0%,7%,14%,,,24%,84%,63%,19%,22%,,29%,9%,0%,0%,0%,,,,,,,0%,0%,0%,18%,17%,22%,,37%,22%,66%,48%,20%,22%,,27%,0%,0%,0%,,29%,,35%,,70%,92%,,22%,,,,30%,,
38,Denny's Restaurant,"1098 Davie St, Vancouver, BC V6E 1M3",Restaurant,49.28018,-123.13118,,8%,11%,32%,8%,10%,10%,21%,24%,30%,64%,39%,,37%,46%,23%,19%,32%,24%,20%,28%,26%,18%,20%,,78%,7%,9%,27%,8%,14%,13%,31%,29%,41%,73%,,39%,30%,35%,22%,19%,30%,23%,17%,34%,28%,19%,,14%,64%,7%,6%,16%,12%,16%,23%,46%,36%,45%,,35%,31%,26%,28%,22%,18%,30%,17%,16%,46%,28%,,16%,11%,47%,9%,7%,12%,15%,20%,35%,65%,37%,,66%,27%,22%,26%,27%,21%,21%,36%,15%,16%,59%,,18%,15%,10%,19%,9%,9%,17%,20%,28%,44%,77%,,33%,56%,21%,18%,27%,25%,19%,20%,58%,14%,17%,,51%,17%,13%,19%,17%,11%,13%,28%,27%,35%,48%,,30%,28%,45%,19%,19%,28%,25%,16%,22%,83%,13%,,13%,42%,16%,8%,12%,18%,18%,19%,45%,33%,40%,,62%,26%,23%,37%,22%,22%,27%,23%,16%,21%,100%,88%,41%,15%,38%,17%,72%,41%,55%,35%,14%,11%,45%,73%,22%,
40,Chef Ron Restaurant & Bar,"1037 Denman St, Vancouver, BC V6G 2M4",Restaurant,49.28906,-123.13946,,,,,,,0%,0%,0%,60%,5%,2%,,43%,7%,17%,32%,26%,25%,14%,40%,7%,0%,0%,,,,,,,0%,0%,0%,0%,92%,10%,,14%,44%,7%,10%,25%,26%,27%,6%,44%,0%,0%,,,,,,,0%,0%,0%,0%,0%,100%,,15%,17%,36%,13%,6%,23%,28%,23%,2%,40%,0%,,,,,,,0%,0%,0%,15%,0%,5%,,19%,13%,18%,30%,19%,2%,19%,38%,22%,0%,0%,,,,,,,0%,0%,0%,0%,23%,3%,,69%,15%,9%,13%,27%,17%,3%,19%,38%,0%,0%,,,,,,,0%,0%,0%,0%,0%,31%,,15%,53%,21%,11%,14%,30%,14%,9%,10%,32%,0%,,,,,,,0%,0%,0%,1%,0%,15%,,6%,18%,43%,22%,15%,14%,31%,13%,5%,9%,0%,,18%,,7%,,18%,88%,,9%,,,39%,9%,,
