index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.
27,RBC Royal Bank,"996 Homer St, Vancouver, BC V6B 2W7",Bank,49.27744,-123.11986,,,,,,,,0%,0%,20%,48%,75%,,,96%,31%,68%,0%,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,10%,41%,62%,,79%,,100%,37%,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,34%,24%,62%,,89%,86%,,86%,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,55%,37%,,79%,93%,62%,,58%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,44%,,72%,,82%,93%,82%,31%,,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,41%,58%,,,48%,96%,82%,58%,0%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,41%,65%,79%,,79%,41%,93%,0%,0%,0%,,0%,0%,0%,0%,82%,82%,75%,65%,41%,65%,,,,,,,,,
28,RBC Royal Bank,"885 W Georgia St #3, Vancouver, BC V6C 3E8",Bank,49.28381,-123.11976,,,,,,,,0%,0%,60%,,89%,,,100%,64%,54%,,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,9%,64%,,,97%,,75%,27%,0%,,0%,0%,,0%,0%,,,,,,,0%,0%,,23%,26%,80%,,83%,73%,,57%,0%,0%,,0%,0%,,0%,,,,,,,,0%,0%,,36%,57%,,,60%,60%,,0%,0%,0%,,0%,0%,,,,,,,,0%,,0%,39%,,63%,,71%,,54%,46%,,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,45%,50%,,,89%,61%,,47%,0%,,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,65%,69%,,93%,90%,54%,,0%,0%,,0%,0%,0%,,87%,91%,,84%,75%,78%,,,,,,,,,
30,RBC Royal Bank ATM,"250 W Pender St, Vancouver, BC V6B 1S9",ATM,49.28162,-123.11095,,20%,25%,20%,50%,20%,8%,0%,45%,20%,16%,0%,,54%,41%,8%,0%,95%,87%,16%,62%,8%,0%,16%,,20%,12%,16%,0%,54%,37%,8%,0%,45%,33%,8%,,12%,54%,83%,8%,0%,45%,54%,29%,50%,4%,8%,,16%,8%,20%,12%,0%,66%,29%,16%,0%,33%,54%,,0%,8%,29%,45%,29%,0%,25%,16%,29%,29%,8%,,4%,16%,4%,0%,25%,4%,41%,41%,8%,0%,29%,,4%,0%,8%,20%,37%,50%,8%,16%,4%,37%,16%,,37%,4%,8%,25%,4%,12%,16%,33%,45%,4%,0%,,58%,0%,16%,20%,4%,29%,100%,20%,41%,8%,41%,,41%,29%,4%,8%,12%,8%,8%,37%,8%,33%,8%,,4%,25%,20%,41%,12%,16%,20%,50%,33%,45%,20%,,54%,25%,33%,25%,8%,4%,20%,12%,37%,4%,33%,,20%,0%,12%,45%,91%,20%,37%,12%,25%,16%,37%,25%,0%,8%,45%,12%,0%,,20%,29%,12%,16%,20%,41%,45%,25%
32,TD Canada Trust Branch and ATM,"1690 Davie St, Vancouver, BC V6G 1V9",Bank,49.2861,-123.14034,,,,,,,,0%,0%,26%,32%,26%,,,62%,86%,73%,0%,15%,0%,,0%,0%,0%,,,,,,,0%,,0%,32%,37%,39%,,100%,,60%,92%,52%,0%,16%,0%,,0%,0%,,,,,,,0%,0%,,20%,47%,43%,,13%,92%,,45%,66%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,37%,54%,,62%,28%,86%,,47%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,7%,,41%,,66%,52%,33%,92%,,37%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,39%,26%,,,77%,71%,30%,41%,81%,,41%,0%,0%,0%,0%,,,,,,,0%,0%,0%,18%,43%,45%,,45%,100%,86%,0%,20%,0%,,0%,0%,0%,0%,86%,22%,66%,52%,64%,41%,,,,,,,,,
33,BMO Bank of Montreal,"601 Main St, Vancouver, BC V6A 2V4",Bank,49.27942,-123.10012,,,,,,,,0%,0%,28%,57%,53%,,,42%,75%,7%,0%,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,35%,32%,39%,,42%,,39%,64%,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,57%,60%,42%,,28%,46%,,32%,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,82%,57%,,25%,50%,39%,,39%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,21%,,60%,,53%,28%,53%,35%,,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,35%,39%,,,82%,39%,46%,75%,0%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,53%,35%,50%,,46%,100%,21%,0%,0%,0%,,0%,0%,0%,0%,50%,32%,28%,64%,75%,42%,,,,,,,,,
35,RBC Royal Bank ATM,"200 Burrard St, Vancouver, BC V6C 3L6",ATM,49.28772,-123.11522,,9%,40%,9%,0%,18%,59%,9%,18%,4%,36%,13%,,45%,68%,27%,0%,0%,4%,36%,40%,22%,9%,9%,,0%,0%,50%,0%,0%,18%,40%,18%,36%,22%,45%,,0%,77%,50%,27%,4%,0%,18%,59%,18%,18%,0%,,27%,0%,4%,0%,4%,18%,45%,45%,27%,63%,54%,,18%,0%,68%,31%,36%,0%,13%,27%,27%,4%,9%,,9%,13%,0%,4%,0%,13%,45%,27%,54%,9%,81%,,36%,13%,4%,100%,13%,81%,4%,27%,54%,18%,4%,,0%,4%,4%,13%,18%,0%,31%,90%,13%,50%,9%,,68%,22%,18%,13%,50%,13%,90%,9%,54%,36%,9%,,4%,0%,0%,27%,4%,18%,0%,18%,68%,0%,72%,,68%,36%,9%,9%,4%,36%,9%,68%,22%,27%,45%,,36%,9%,4%,22%,45%,0%,9%,0%,13%,40%,0%,,50%,50%,13%,9%,4%,18%,31%,13%,27%,9%,13%,0%,13%,77%,81%,59%,18%,,4%,13%,4%,0%,0%,27%,22%,54%
36,Scotiabank,"1108 Homer St, Vancouver, BC V6B 2X6",Bank,49.27619,-123.12181,,,,,,,,0%,0%,33%,30%,22%,,,41%,38%,63%,0%,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,19%,47%,33%,,94%,,52%,25%,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,41%,27%,63%,,41%,97%,,66%,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,50%,50%,,55%,50%,100%,,0%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,63%,,50%,,83%,83%,41%,72%,,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,11%,77%,,,66%,83%,72%,36%,0%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,27%,19%,86%,,30%,61%,72%,0%,0%,0%,,0%,0%,0%,0%,88%,38%,44%,72%,66%,38%,,,,,,,,,
37,RBC Royal Bank ATM,"909 Burrard St #110, Vancouver, BC V6Z 2N2",ATM,49.28229,-123.12504,,,,,,,0%,0%,27%,5%,5%,16%,,22%,61%,33%,44%,11%,0%,27%,61%,100%,0%,0%,,,,,,,0%,0%,22%,50%,22%,0%,,61%,50%,27%,55%,27%,22%,0%,11%,33%,0%,0%,,,,,,,0%,0%,11%,38%,22%,16%,,16%,27%,38%,11%,72%,33%,44%,11%,5%,0%,0%,,,,,,,0%,0%,61%,5%,33%,16%,,5%,33%,27%,44%,5%,33%,27%,22%,27%,0%,0%,,,,,,,0%,0%,0%,61%,0%,22%,,11%,0%,66%,16%,16%,16%,16%,50%,16%,0%,0%,,,,,,,0%,0%,0%,0%,88%,0%,,0%,16%,0%,33%,27%,16%,61%,11%,38%,0%,0%,,,,,,,0%,0%,0%,0%,11%,100%,,38%,5%,22%,0%,16%,22%,27%,72%,11%,0%,0%,66%,5%,0%,11%,0%,38%,,,,,,,,,11%
38,RBC Royal Bank ATM,"610 Granville St, Vancouver, BC V6C 3T3",ATM,49.28345,-123.11669,,42%,14%,52%,42%,33%,38%,9%,61%,9%,19%,4%,,14%,0%,19%,66%,33%,14%,14%,4%,57%,0%,28%,,0%,42%,9%,0%,28%,61%,52%,28%,100%,4%,14%,,9%,19%,0%,28%,33%,19%,33%,42%,9%,71%,0%,,76%,0%,76%,38%,0%,4%,28%,28%,42%,47%,4%,,28%,14%,38%,0%,71%,23%,14%,19%,42%,4%,61%,,4%,52%,0%,71%,28%,4%,0%,19%,14%,38%,23%,,19%,33%,28%,23%,0%,61%,23%,28%,23%,52%,0%,,28%,19%,61%,0%,76%,28%,19%,0%,14%,9%,14%,,47%,9%,47%,19%,23%,14%,85%,57%,19%,38%,38%,,9%,9%,38%,38%,0%,38%,14%,23%,4%,19%,23%,,33%,61%,14%,19%,14%,4%,28%,33%,47%,23%,52%,,33%,23%,4%,28%,28%,0%,38%,9%,38%,14%,28%,,0%,14%,47%,23%,14%,9%,0%,71%,14%,33%,9%,14%,4%,9%,23%,14%,4%,,4%,52%,0%,38%,0%,28%,28%,9%
40,RBC Royal Bank,"945 Denman St, Vancouver, BC V6G 2M3",Bank,49.2901,-123.13817,,,,,,,,0%,0%,18%,34%,87%,,,75%,65%,31%,0%,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,25%,34%,53%,,68%,,90%,28%,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,21%,40%,50%,,100%,56%,,93%,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,28%,46%,,84%,93%,43%,,65%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,43%,,31%,,43%,56%,90%,25%,,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,46%,68%,,,71%,34%,43%,65%,0%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,25%,62%,71%,,56%,75%,28%,0%,0%,0%,,0%,0%,0%,0%,75%,87%,68%,62%,62%,40%,,,,,,,,,
43,RBC Royal Bank ATM,"601 W Cordova St, Vancouver, BC V6B 1G1",ATM,49.28329,-123.1092,,50%,60%,70%,0%,50%,40%,30%,20%,20%,20%,10%,,40%,0%,90%,20%,10%,20%,10%,10%,60%,30%,50%,,80%,40%,60%,10%,10%,30%,30%,10%,20%,50%,0%,,50%,70%,0%,100%,20%,40%,40%,20%,30%,30%,30%,,70%,40%,20%,20%,50%,30%,20%,20%,0%,0%,30%,,50%,30%,50%,0%,50%,40%,50%,30%,10%,10%,10%,,30%,60%,10%,20%,20%,70%,40%,10%,0%,0%,10%,,0%,50%,30%,20%,0%,20%,30%,60%,40%,0%,0%,,0%,30%,20%,10%,10%,50%,100%,10%,30%,0%,0%,,40%,0%,70%,10%,0%,0%,10%,30%,60%,10%,0%,,30%,0%,20%,90%,20%,0%,20%,70%,0%,40%,0%,,20%,70%,0%,30%,0%,10%,10%,30%,20%,40%,10%,,50%,50%,0%,40%,80%,40%,10%,20%,30%,0%,40%,,0%,40%,30%,0%,30%,0%,0%,30%,20%,40%,40%,30%,20%,0%,40%,20%,0%,,70%,70%,20%,0%,10%,10%,20%,10%
44,RBC Royal Bank ATM,"1081 Burrard St, Vancouver, BC V6Z 1Y6",ATM,49.28059,-123.12834,,38%,38%,9%,19%,9%,0%,38%,33%,14%,42%,19%,,9%,28%,4%,38%,28%,4%,38%,57%,0%,38%,38%,,19%,42%,19%,9%,4%,9%,4%,19%,14%,33%,47%,,28%,23%,19%,4%,57%,9%,23%,80%,28%,4%,28%,,0%,9%,42%,38%,14%,0%,19%,14%,4%,14%,61%,,9%,23%,9%,19%,14%,52%,4%,57%,42%,14%,9%,,9%,9%,9%,33%,23%,33%,0%,14%,9%,4%,42%,,42%,23%,9%,4%,23%,28%,28%,4%,76%,33%,4%,,19%,19%,19%,9%,28%,33%,38%,4%,19%,14%,9%,,47%,47%,52%,9%,0%,9%,28%,33%,19%,61%,28%,,0%,14%,19%,4%,23%,38%,38%,52%,9%,38%,4%,,52%,23%,42%,23%,4%,14%,4%,23%,61%,38%,76%,,23%,4%,9%,9%,0%,28%,71%,33%,57%,28%,28%,,14%,23%,19%,23%,9%,19%,28%,4%,33%,80%,38%,38%,9%,52%,100%,76%,9%,,19%,14%,19%,23%,0%,23%,57%,4%
47,BMO Bank of Montreal,"595 Burrard St, Vancouver, BC V7X 1L7",Bank,49.28602,-123.1195,,,,,,,,0%,36%,44%,,73%,,,87%,90%,67%,,0%,0%,,0%,0%,0%,,,,,,,0%,,34%,42%,59%,,,98%,,82%,80%,59%,,0%,0%,,0%,0%,,,,,,,0%,0%,,40%,58%,73%,,90%,97%,,78%,61%,0%,,0%,0%,,0%,,,,,,,,0%,44%,,60%,71%,,,95%,85%,,55%,0%,0%,,0%,0%,,,,,,,,0%,,32%,66%,,73%,,86%,,100%,78%,,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,47%,75%,,,89%,77%,,93%,57%,,0%,0%,0%,,0%,,,,,,,0%,0%,37%,,61%,88%,,82%,91%,73%,,77%,0%,,0%,0%,0%,,94%,82%,,85%,83%,84%,,,,,,,,,
48,Bank of China,"1055 Dunsmuir St Unit 2608, Vancouver, BC V7X 1L3",Bank,49.28656,-123.12154,,,,,,,,0%,0%,23%,,73%,,,16%,45%,0%,,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,53%,28%,,,73%,,33%,0%,0%,,0%,0%,,0%,0%,,,,,,,0%,0%,,28%,65%,53%,,76%,48%,,0%,0%,0%,,0%,0%,,0%,,,,,,,,0%,0%,,41%,66%,,,58%,20%,,0%,0%,0%,,0%,0%,,,,,,,,0%,,0%,26%,,33%,,86%,,35%,0%,,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,53%,45%,,,51%,91%,,0%,0%,,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,73%,61%,,23%,45%,78%,,0%,0%,,0%,0%,0%,,68%,100%,,66%,70%,20%,,,,,,,,,
50,RBC Royal Bank ATM,"1055 W Georgia St, Vancouver, BC V6E 3N9",ATM,49.2853,-123.12189,,0%,9%,36%,9%,18%,45%,0%,63%,72%,9%,9%,,9%,0%,90%,0%,63%,45%,27%,45%,9%,0%,0%,,18%,0%,0%,18%,18%,36%,54%,0%,27%,36%,9%,,9%,9%,9%,54%,9%,36%,45%,54%,27%,9%,9%,,0%,9%,9%,18%,9%,18%,27%,36%,18%,9%,18%,,0%,9%,18%,18%,45%,36%,27%,54%,72%,9%,27%,,36%,0%,9%,9%,9%,9%,0%,27%,18%,45%,0%,,45%,0%,36%,9%,54%,72%,81%,63%,18%,81%,0%,,27%,27%,9%,72%,9%,9%,18%,0%,9%,27%,63%,,27%,45%,9%,36%,0%,36%,63%,90%,54%,9%,27%,,9%,72%,36%,27%,45%,36%,18%,36%,9%,0%,9%,,45%,9%,63%,27%,63%,18%,45%,27%,45%,27%,0%,,18%,27%,72%,9%,36%,18%,72%,45%,27%,27%,9%,,18%,100%,0%,90%,54%,45%,36%,18%,9%,18%,18%,18%,0%,18%,9%,18%,27%,,45%,0%,18%,18%,0%,18%,0%,0%
55,ATM (HSBC),"885 W Georgia St, Vancouver, BC V6C 3G1",ATM,49.28398,-123.1195,,8%,0%,8%,60%,4%,32%,32%,48%,20%,36%,24%,,44%,0%,64%,24%,28%,28%,12%,8%,20%,20%,20%,,68%,16%,0%,40%,52%,8%,64%,12%,20%,20%,16%,,44%,32%,8%,100%,24%,16%,32%,4%,12%,16%,16%,,12%,44%,28%,24%,24%,36%,24%,48%,0%,16%,8%,,16%,56%,32%,20%,68%,44%,24%,28%,24%,12%,20%,,8%,8%,40%,24%,16%,28%,12%,32%,36%,4%,16%,,0%,28%,36%,48%,40%,64%,60%,28%,12%,40%,16%,,12%,8%,8%,36%,48%,24%,20%,4%,52%,40%,12%,,4%,0%,68%,36%,36%,28%,32%,68%,36%,12%,72%,,16%,20%,16%,8%,60%,76%,20%,36%,4%,44%,64%,,8%,8%,8%,44%,48%,28%,24%,28%,48%,16%,16%,,16%,20%,24%,0%,12%,64%,48%,16%,28%,12%,36%,,4%,28%,20%,20%,48%,24%,8%,32%,32%,24%,28%,60%,16%,8%,4%,8%,16%,,40%,28%,20%,12%,28%,40%,24%,72%
56,RBC Royal Bank ATM,"1187 Robson St, Vancouver, BC V6E 1B5",ATM,49.28591,-123.12649,,,,,,,0%,0%,0%,22%,11%,22%,,44%,100%,55%,11%,44%,44%,77%,33%,11%,0%,0%,,,,,,,0%,0%,0%,33%,22%,33%,,22%,22%,88%,44%,33%,33%,66%,33%,55%,0%,0%,,,,,,,0%,0%,0%,11%,11%,0%,,22%,0%,11%,77%,22%,77%,44%,66%,11%,0%,0%,,,,,,,0%,0%,0%,0%,11%,0%,,66%,33%,0%,11%,55%,0%,44%,44%,44%,0%,0%,,,,,,,0%,0%,0%,77%,11%,11%,,11%,44%,11%,0%,22%,55%,11%,44%,33%,0%,0%,,,,,,,0%,0%,0%,33%,77%,33%,,33%,22%,33%,11%,11%,11%,22%,44%,11%,0%,0%,,,,,,,0%,0%,0%,0%,44%,100%,,55%,33%,11%,22%,44%,33%,11%,11%,66%,0%,0%,55%,22%,33%,11%,22%,44%,,,,,,,,,33%
59,TD Canada Trust ATM,"Library Square, 345 Robson St, Vancouver, BC V6B 6B3",ATM,49.28474,-123.12468,,0%,25%,12%,29%,37%,12%,4%,66%,37%,54%,0%,,41%,25%,54%,54%,16%,66%,91%,33%,16%,25%,0%,,45%,8%,20%,12%,20%,50%,16%,8%,54%,66%,29%,,8%,50%,29%,100%,37%,25%,41%,95%,20%,12%,50%,,4%,20%,16%,20%,29%,20%,25%,33%,16%,75%,45%,,0%,20%,33%,37%,75%,37%,12%,45%,79%,8%,20%,,16%,8%,12%,16%,16%,12%,20%,29%,16%,25%,58%,,8%,12%,45%,37%,70%,45%,58%,8%,20%,45%,4%,,25%,12%,8%,66%,33%,20%,8%,41%,25%,8%,37%,,20%,8%,29%,70%,20%,41%,29%,29%,8%,16%,50%,,4%,45%,12%,29%,33%,33%,37%,20%,20%,33%,4%,,37%,29%,16%,62%,62%,29%,41%,12%,12%,16%,8%,,41%,4%,45%,41%,12%,16%,45%,29%,45%,12%,16%,,41%,37%,50%,12%,45%,62%,25%,29%,16%,0%,25%,16%,0%,20%,50%,41%,58%,,37%,4%,25%,25%,12%,29%,0%,20%
61,BMO Bank of Montreal ATM,"1766 Robson St, Vancouver, BC V6G 1E2",ATM,49.29105,-123.13507,,,,,,,0%,50%,20%,50%,0%,10%,,0%,0%,20%,20%,20%,50%,40%,0%,30%,50%,70%,,,,,,,0%,40%,20%,0%,20%,0%,,10%,0%,0%,10%,20%,10%,50%,10%,0%,10%,80%,,,,,,,0%,0%,30%,10%,0%,0%,,30%,0%,0%,10%,0%,40%,0%,80%,20%,0%,10%,,,,,,,0%,0%,10%,30%,0%,0%,,30%,70%,20%,0%,30%,10%,90%,0%,30%,20%,0%,,,,,,,0%,0%,10%,0%,80%,0%,,30%,50%,50%,40%,10%,40%,0%,40%,0%,10%,40%,,,,,,,0%,50%,0%,30%,0%,60%,,0%,60%,40%,30%,50%,20%,20%,0%,30%,10%,0%,,,,,,,0%,30%,100%,0%,30%,10%,,0%,10%,30%,50%,20%,30%,10%,30%,10%,30%,20%,0%,10%,10%,10%,0%,0%,,,,,,,,,20%
66,BMO Bank of Montreal,"1004 Hamilton St, Vancouver, BC V6B 2R9",Bank,49.27689,-123.11972,,,,,,,,0%,0%,19%,19%,54%,,,67%,9%,48%,0%,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,6%,45%,29%,,70%,,64%,6%,45%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,35%,25%,61%,,67%,83%,,38%,6%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,38%,48%,,74%,77%,100%,,35%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,22%,,74%,,58%,74%,64%,83%,,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,22%,41%,,,35%,64%,41%,54%,61%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,16%,45%,45%,,80%,25%,77%,0%,29%,0%,,0%,0%,0%,0%,51%,70%,58%,51%,58%,67%,,,,,,,,,
71,RBC Royal Bank - Meeting Place (Cash at ATM only),"1798 Ontario St, Vancouver, BC V5T 0G2",Bank,49.2695,-123.10456,,,,,,,,0%,0%,13%,,89%,,,68%,58%,48%,,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,34%,10%,,,93%,,75%,41%,0%,,0%,0%,,0%,0%,,,,,,,0%,0%,,51%,41%,13%,,51%,79%,,68%,0%,0%,,0%,0%,,0%,,,,,,,,0%,0%,,65%,31%,,,44%,75%,,58%,0%,0%,,0%,0%,,,,,,,,0%,,0%,34%,,51%,,34%,,37%,55%,,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,44%,79%,,,51%,37%,,24%,0%,,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,68%,93%,,48%,58%,41%,,0%,0%,,0%,0%,0%,,100%,65%,,20%,48%,62%,,,,,,,,,
