index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times
69,Grandview Park,"1657 Charles St, Vancouver, BC V5L 2T4",Park,49.27353,-123.07054,,,,,,,0%,0%,0%,0%,31%,25%,,76%,41%,55%,87%,58%,36%,25%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,29%,42%,,54%,78%,41%,50%,70%,50%,28%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,26%,41%,,33%,60%,77%,42%,44%,53%,47%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,18%,34%,,54%,38%,57%,75%,40%,31%,37%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,29%,26%,,78%,65%,43%,51%,66%,39%,24%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,22%,48%,,45%,93%,71%,44%,43%,54%,32%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,19%,33%,,38%,51%,100%,64%,43%,35%,37%,0%,0%,0%,0%,45%,,28%,,,44%,,59%,37%,,33%,,,64%,
70,Willow Park,"802 W 7th Ave, Vancouver, BC V5Z 4C1",Park,49.26483,-123.12205,,,,,,0%,22%,11%,33%,16%,66%,55%,,55%,61%,16%,72%,22%,33%,33%,5%,0%,0%,,,,,,,0%,22%,16%,27%,27%,44%,61%,,50%,44%,50%,22%,77%,11%,27%,38%,5%,0%,,,,,,,0%,5%,27%,11%,11%,38%,77%,,27%,72%,38%,33%,16%,33%,22%,33%,33%,0%,,,,,,,0%,22%,22%,27%,22%,22%,38%,,88%,22%,66%,27%,22%,27%,16%,11%,11%,0%,,,,,,,0%,16%,5%,38%,33%,11%,38%,,61%,83%,22%,38%,22%,16%,44%,11%,5%,0%,,,,,,,0%,27%,33%,16%,61%,27%,22%,,11%,61%,55%,33%,22%,27%,16%,27%,5%,0%,,,,,,,0%,5%,55%,16%,33%,66%,38%,,61%,5%,55%,38%,27%,33%,22%,5%,22%,0%,,33%,,27%,,,100%,,94%,27%,,61%,,,33%,
71,Seaforth Peace Park,"1620 Chestnut St, Vancouver, BC V6J 3K1",Park,49.27184,-123.14641,,,,,,0%,21%,21%,9%,24%,15%,6%,,24%,9%,6%,3%,12%,42%,3%,12%,12%,0%,,,,,,,0%,21%,9%,15%,6%,12%,15%,,18%,33%,3%,18%,6%,6%,21%,3%,6%,0%,,,,,,,0%,18%,36%,12%,9%,6%,33%,,24%,3%,36%,3%,18%,21%,9%,9%,12%,0%,,,,,,,0%,57%,30%,66%,6%,3%,3%,,6%,42%,3%,51%,9%,12%,42%,18%,6%,0%,,,,,,,0%,60%,36%,27%,48%,3%,3%,,100%,3%,42%,9%,39%,24%,12%,54%,27%,0%,,,,,,,0%,3%,54%,30%,36%,54%,3%,,0%,66%,6%,39%,21%,21%,24%,6%,51%,0%,,,,,,,0%,27%,6%,36%,27%,15%,57%,,3%,3%,30%,6%,51%,9%,12%,21%,3%,0%,,42%,,9%,,,12%,,60%,0%,,0%,,,12%,
72,Guelph Park,"2390 Brunswick St, Vancouver, BC V5T 3L8",City park,49.26411,-123.09641,,,,,,0%,8%,12%,15%,37%,32%,27%,,38%,66%,80%,69%,59%,59%,47%,52%,17%,0%,,,,,,,0%,3%,16%,13%,12%,40%,27%,,97%,65%,63%,67%,72%,48%,43%,32%,39%,0%,,,,,,,0%,7%,10%,17%,20%,22%,52%,,66%,87%,69%,57%,59%,85%,41%,31%,20%,0%,,,,,,,0%,11%,10%,16%,12%,34%,32%,,40%,93%,83%,70%,57%,41%,78%,24%,23%,0%,,,,,,,0%,23%,27%,21%,29%,16%,39%,,69%,62%,100%,83%,60%,49%,31%,70%,16%,0%,,,,,,,0%,12%,31%,34%,21%,42%,21%,,72%,67%,64%,86%,78%,54%,44%,16%,31%,0%,,,,,,,0%,8%,11%,46%,42%,23%,66%,,60%,79%,61%,66%,71%,63%,56%,27%,18%,0%,,86%,,40%,,,25%,,66%,50%,,58%,,,30%,
73,Komagata Maru Memorial,"Vancouver, BC",Memorial park,49.25774,-123.1239,,,,,,,0%,0%,29%,0%,45%,20%,,12%,4%,12%,58%,20%,66%,33%,33%,20%,62%,0%,,,,,,,0%,0%,41%,12%,4%,29%,,0%,4%,12%,16%,45%,8%,37%,16%,37%,8%,0%,,,,,,,0%,0%,0%,41%,4%,12%,,16%,8%,0%,29%,33%,54%,0%,33%,8%,25%,0%,,,,,,,0%,0%,100%,4%,37%,4%,,16%,29%,20%,0%,62%,20%,20%,4%,20%,16%,0%,,,,,,,0%,0%,29%,62%,16%,45%,,16%,16%,54%,58%,12%,37%,25%,8%,12%,33%,0%,,,,,,,0%,0%,20%,20%,50%,33%,,16%,20%,16%,54%,54%,29%,33%,25%,0%,4%,0%,,,,,,,0%,0%,0%,45%,29%,16%,,16%,16%,29%,33%,45%,58%,54%,16%,41%,0%,0%,8%,,20%,,,25%,,12%,12%,,33%,,,29%,
74,Brockton Point Totem Pole,"Brockton Point Trail, Vancouver, BC",Park,49.29788,-123.1284,,0%,10%,40%,10%,50%,80%,20%,40%,20%,0%,40%,,10%,20%,50%,20%,60%,70%,30%,0%,40%,30%,0%,,40%,0%,10%,50%,30%,20%,50%,50%,30%,50%,0%,,20%,0%,20%,20%,30%,20%,30%,10%,10%,20%,60%,,0%,40%,0%,0%,60%,10%,10%,70%,40%,30%,40%,,30%,50%,0%,60%,10%,30%,20%,10%,0%,20%,0%,,40%,10%,40%,10%,10%,70%,20%,0%,50%,20%,50%,,20%,30%,80%,0%,50%,0%,10%,30%,0%,0%,20%,,10%,30%,0%,0%,30%,30%,100%,40%,10%,90%,10%,,20%,20%,40%,50%,0%,40%,0%,10%,60%,0%,0%,,40%,20%,20%,50%,0%,60%,10%,70%,70%,30%,70%,,70%,20%,60%,40%,60%,0%,40%,0%,20%,30%,0%,,20%,30%,20%,20%,50%,10%,60%,10%,30%,50%,10%,,40%,50%,30%,60%,70%,30%,0%,30%,10%,10%,20%,0%,30%,20%,10%,40%,0%,0%,30%,80%,20%,40%,10%,0%,40%,
75,Beaver Lake,"Vancouver, BC",City park,49.25774,-123.1239,,18%,25%,22%,3%,3%,0%,3%,40%,7%,22%,70%,,11%,11%,11%,40%,22%,40%,3%,14%,25%,25%,0%,,7%,11%,11%,29%,0%,14%,0%,0%,29%,18%,37%,,3%,33%,25%,3%,51%,29%,25%,11%,29%,33%,59%,,14%,18%,11%,11%,33%,0%,29%,0%,3%,7%,25%,,14%,0%,44%,11%,7%,48%,18%,22%,11%,18%,33%,,51%,14%,40%,48%,7%,22%,3%,51%,3%,11%,7%,,51%,3%,0%,62%,11%,18%,22%,22%,11%,3%,18%,,25%,29%,25%,18%,100%,7%,18%,7%,40%,7%,22%,,48%,33%,11%,0%,51%,18%,37%,14%,14%,11%,11%,,14%,18%,29%,11%,7%,74%,3%,29%,18%,44%,3%,,11%,29%,29%,11%,0%,37%,37%,18%,7%,11%,14%,,51%,18%,33%,0%,3%,0%,88%,3%,18%,37%,18%,,7%,14%,22%,18%,18%,0%,14%,25%,14%,3%,7%,14%,3%,33%,3%,66%,51%,22%,48%,14%,11%,11%,25%,29%,3%,
76,Seawall Water Walk,"1199 W Cordova St, Vancouver, BC V6E 4T1",Hiking area,49.28976,-123.12131,,11%,10%,14%,5%,3%,24%,21%,8%,16%,17%,47%,,51%,100%,32%,35%,75%,41%,35%,18%,23%,9%,1%,,11%,8%,8%,7%,7%,7%,20%,29%,16%,29%,29%,,18%,41%,92%,38%,37%,67%,31%,21%,10%,8%,15%,,10%,10%,7%,9%,3%,16%,7%,29%,23%,29%,40%,,68%,31%,28%,80%,40%,23%,52%,12%,21%,10%,3%,,7%,14%,14%,1%,8%,1%,16%,11%,28%,36%,49%,,62%,69%,40%,28%,64%,47%,15%,47%,5%,16%,16%,,8%,2%,11%,3%,2%,10%,3%,27%,11%,47%,45%,,35%,74%,69%,54%,30%,68%,30%,5%,23%,2%,8%,,7%,10%,2%,15%,8%,3%,4%,5%,25%,20%,52%,,55%,31%,85%,63%,58%,34%,63%,17%,3%,16%,7%,,4%,9%,3%,4%,22%,15%,9%,7%,7%,38%,18%,,85%,48%,42%,85%,55%,52%,32%,47%,11%,1%,14%,20%,17%,61%,5%,8%,49%,7%,34%,55%,9%,71%,4%,7%,60%,
77,Margaret Pigott Park,"2743 Point Grey Rd, Vancouver, BC V6K 1A6",Park,49.27204,-123.16749,,,,,,0%,5%,5%,17%,22%,37%,48%,,17%,11%,77%,77%,40%,57%,11%,11%,2%,0%,,,,,,,0%,8%,11%,14%,31%,45%,28%,,51%,45%,5%,60%,57%,25%,37%,11%,11%,0%,,,,,,,0%,8%,17%,11%,17%,42%,54%,,71%,65%,54%,8%,51%,42%,17%,25%,5%,0%,,,,,,,0%,0%,11%,11%,11%,31%,45%,,14%,80%,77%,48%,11%,40%,17%,8%,25%,0%,,,,,,,0%,2%,2%,17%,2%,8%,34%,,60%,22%,85%,51%,25%,20%,40%,11%,11%,0%,,,,,,,0%,2%,5%,14%,20%,5%,8%,,74%,71%,37%,100%,42%,11%,17%,25%,20%,0%,,,,,,,0%,2%,11%,11%,31%,40%,14%,,25%,80%,74%,45%,82%,17%,11%,8%,25%,0%,,25%,,74%,,,14%,,45%,65%,,34%,,,8%,
79,Choklit Park,"Vancouver, BC V6H 2P3",City park,49.26561,-123.12864,,,,,,0%,27%,36%,0%,36%,27%,22%,,77%,31%,63%,86%,40%,45%,27%,50%,18%,18%,,,,,,,0%,0%,45%,40%,4%,50%,45%,,18%,86%,40%,81%,90%,22%,31%,22%,36%,31%,,,,,,,0%,13%,4%,45%,27%,13%,50%,,36%,22%,81%,22%,59%,68%,27%,36%,27%,36%,,,,,,,0%,9%,18%,13%,50%,31%,18%,,77%,50%,45%,77%,18%,50%,63%,40%,18%,13%,,,,,,,0%,9%,18%,18%,9%,36%,18%,,13%,100%,40%,59%,63%,9%,22%,31%,36%,13%,,,,,,,0%,18%,18%,22%,31%,18%,59%,,22%,22%,100%,27%,59%,68%,22%,9%,31%,36%,,,,,,,0%,18%,9%,27%,31%,22%,27%,,31%,40%,50%,54%,22%,50%,45%,27%,9%,13%,,27%,,31%,,,40%,,31%,9%,,18%,,,59%,
80,Shakespeare Garden,"Vancouver, BC",Garden,49.25774,-123.1239,,,,,,0%,26%,10%,15%,5%,31%,21%,,31%,15%,15%,57%,31%,100%,5%,21%,10%,0%,,,,,,,0%,26%,36%,26%,26%,15%,21%,,47%,36%,15%,36%,47%,31%,100%,15%,47%,0%,,,,,,,0%,15%,15%,31%,26%,26%,36%,,5%,21%,47%,36%,68%,52%,31%,84%,42%,0%,,,,,,,0%,68%,26%,31%,63%,21%,15%,,0%,10%,15%,42%,42%,100%,31%,15%,78%,0%,,,,,,,0%,0%,42%,31%,63%,89%,21%,,36%,10%,21%,0%,57%,63%,100%,47%,5%,0%,,,,,,,0%,21%,0%,31%,15%,31%,100%,,31%,73%,26%,57%,0%,26%,68%,52%,26%,0%,,,,,,,0%,5%,10%,0%,57%,15%,26%,,26%,15%,47%,52%,63%,0%,21%,31%,36%,0%,,21%,,10%,,,5%,,31%,21%,,47%,,,52%,
82,Hadden Beach,"1000 Chestnut St, Vancouver, BC V6J 3J9",Dog park,49.27638,-123.14235,,,,,,0%,10%,3%,27%,53%,18%,63%,,40%,31%,95%,93%,24%,53%,33%,39%,15%,0%,,,,,,,0%,3%,4%,10%,33%,54%,36%,,62%,54%,22%,100%,71%,18%,21%,19%,50%,0%,,,,,,,0%,7%,9%,7%,25%,39%,39%,,74%,75%,53%,24%,87%,45%,19%,6%,24%,0%,,,,,,,0%,15%,7%,9%,15%,33%,40%,,60%,87%,89%,30%,34%,63%,22%,9%,0%,0%,,,,,,,0%,6%,24%,7%,18%,33%,42%,,43%,46%,92%,95%,21%,37%,37%,19%,4%,0%,,,,,,,0%,3%,18%,21%,18%,33%,24%,,87%,66%,33%,87%,87%,13%,37%,18%,19%,0%,,,,,,,0%,0%,10%,30%,16%,43%,48%,,37%,95%,77%,31%,74%,59%,27%,25%,12%,0%,,65%,,78%,,,50%,,39%,71%,,50%,,,33%,
83,Delamont Park,"2091 W 7th Ave, Vancouver, BC",Park,49.26588,-123.15236,,43%,0%,0%,6%,10%,10%,10%,3%,3%,33%,50%,,10%,46%,46%,80%,56%,20%,16%,36%,13%,13%,33%,,16%,43%,0%,16%,3%,23%,3%,20%,13%,13%,50%,,56%,3%,20%,93%,70%,26%,20%,20%,43%,6%,13%,,6%,16%,16%,16%,6%,6%,63%,13%,23%,33%,30%,,33%,53%,0%,6%,80%,96%,26%,10%,26%,40%,10%,,10%,13%,10%,36%,6%,3%,20%,56%,30%,43%,60%,,63%,63%,46%,3%,16%,63%,63%,36%,10%,43%,40%,,43%,10%,30%,20%,46%,3%,0%,23%,76%,70%,53%,,23%,43%,56%,40%,16%,26%,50%,73%,73%,23%,23%,,10%,46%,26%,0%,16%,40%,10%,3%,43%,40%,46%,,26%,26%,26%,56%,40%,30%,20%,43%,63%,53%,46%,,0%,6%,40%,0%,3%,10%,16%,13%,6%,56%,40%,,100%,30%,33%,40%,26%,36%,46%,23%,20%,73%,36%,50%,33%,40%,13%,10%,93%,26%,53%,53%,26%,83%,10%,60%,36%,
84,Ron Basford Park,"1218 Cartwright St, Vancouver, BC V6H 4B7",Park,49.26896,-123.13212,,36%,18%,27%,36%,0%,9%,18%,36%,72%,45%,18%,,0%,72%,9%,36%,100%,27%,0%,18%,27%,9%,0%,,0%,9%,0%,9%,45%,9%,0%,45%,81%,45%,54%,,81%,0%,54%,18%,36%,72%,18%,0%,9%,36%,0%,,0%,0%,9%,9%,18%,27%,27%,0%,72%,54%,63%,,9%,90%,0%,18%,18%,27%,36%,0%,9%,0%,45%,,0%,9%,9%,9%,18%,9%,36%,27%,0%,63%,54%,,72%,0%,45%,9%,0%,9%,27%,9%,0%,9%,0%,,18%,0%,27%,0%,36%,27%,0%,18%,9%,0%,63%,,18%,54%,0%,27%,27%,9%,9%,9%,0%,0%,18%,,0%,18%,0%,18%,9%,27%,72%,9%,9%,0%,0%,,9%,0%,90%,9%,9%,18%,27%,9%,0%,0%,9%,,36%,9%,9%,0%,18%,0%,27%,72%,45%,9%,9%,,81%,0%,9%,72%,36%,9%,9%,36%,27%,0%,0%,36%,0%,27%,0%,0%,45%,18%,36%,27%,0%,90%,54%,36%,0%,
85,Mount Pleasant Park,"3161 Ontario St, Vancouver, BC V5T 2Z1",Park,49.25713,-123.10625,,,,,,0%,1%,9%,11%,32%,33%,51%,,41%,50%,100%,40%,41%,14%,26%,11%,28%,0%,,,,,,,0%,2%,3%,15%,10%,40%,32%,,51%,48%,48%,92%,47%,36%,4%,27%,4%,0%,,,,,,,0%,14%,3%,11%,25%,17%,41%,,45%,54%,50%,42%,74%,41%,25%,3%,30%,0%,,,,,,,0%,14%,23%,11%,17%,30%,23%,,45%,44%,59%,53%,35%,59%,28%,11%,0%,0%,,,,,,,0%,17%,22%,37%,17%,25%,45%,,38%,46%,51%,64%,40%,37%,39%,12%,7%,0%,,,,,,,0%,8%,18%,35%,39%,33%,28%,,62%,39%,38%,46%,51%,34%,29%,22%,7%,0%,,,,,,,0%,6%,8%,33%,33%,43%,42%,,51%,91%,38%,39%,30%,34%,20%,29%,11%,0%,,51%,,43%,,,46%,,42%,36%,,52%,,,30%,
86,Mosaic Creek Park,"1475 Charles St, Vancouver, BC V5L 2S8",Park,49.27331,-123.07419,,,,,,0%,6%,13%,6%,26%,33%,33%,,6%,20%,93%,66%,66%,20%,46%,26%,6%,0%,,,,,,,0%,6%,13%,0%,13%,40%,13%,,40%,13%,53%,100%,66%,60%,40%,20%,26%,0%,,,,,,,0%,13%,0%,20%,6%,13%,66%,,53%,26%,13%,93%,80%,33%,60%,46%,26%,0%,,,,,,,0%,6%,33%,6%,26%,13%,40%,,26%,26%,53%,13%,66%,66%,26%,53%,46%,0%,,,,,,,0%,13%,26%,13%,13%,46%,33%,,53%,60%,20%,53%,20%,33%,66%,33%,26%,0%,,,,,,,0%,33%,0%,40%,20%,33%,60%,,60%,86%,53%,26%,80%,13%,6%,53%,33%,0%,,,,,,,0%,26%,13%,6%,66%,26%,33%,,13%,60%,60%,73%,13%,53%,6%,0%,46%,0%,,33%,,53%,,,6%,,53%,40%,,26%,,,26%,
87,Robson Park,"599 Kingsway, Vancouver, BC V5T 4L9",Park,49.25809,-123.09208,,18%,0%,3%,11%,5%,26%,0%,29%,40%,100%,23%,,50%,54%,31%,53%,63%,30%,42%,6%,17%,6%,6%,,2%,12%,1%,2%,6%,11%,25%,2%,53%,53%,100%,,9%,30%,70%,19%,43%,56%,19%,21%,3%,15%,6%,,3%,3%,14%,12%,3%,4%,30%,21%,11%,52%,47%,,44%,2%,20%,65%,22%,38%,39%,18%,12%,2%,11%,,9%,7%,4%,18%,6%,4%,12%,42%,22%,26%,53%,,59%,47%,4%,19%,63%,31%,35%,22%,23%,3%,4%,,6%,18%,7%,1%,12%,9%,18%,21%,62%,36%,40%,,45%,55%,54%,13%,18%,44%,29%,43%,11%,23%,1%,,7%,4%,13%,5%,0%,11%,15%,36%,28%,56%,46%,,52%,57%,67%,50%,32%,13%,39%,22%,30%,10%,22%,,0%,10%,3%,2%,12%,0%,14%,32%,78%,27%,40%,,48%,40%,55%,68%,47%,44%,13%,25%,13%,19%,5%,17%,4%,30%,4%,5%,77%,17%,50%,52%,11%,38%,0%,18%,56%,
88,Tatlow Park,"2845 W 3rd Ave, Vancouver, BC V6K 1M8",Park,49.26949,-123.1695,,,,,,0%,28%,10%,30%,48%,58%,20%,,64%,56%,20%,61%,35%,10%,15%,43%,23%,0%,,,,,,,0%,20%,58%,12%,33%,66%,51%,,10%,82%,64%,25%,53%,64%,12%,17%,17%,0%,,,,,,,0%,17%,23%,53%,25%,12%,76%,,12%,25%,82%,76%,46%,41%,61%,12%,43%,0%,,,,,,,0%,23%,15%,15%,41%,25%,5%,,25%,25%,38%,100%,69%,43%,30%,41%,10%,0%,,,,,,,0%,7%,30%,30%,17%,46%,38%,,87%,41%,30%,48%,79%,48%,35%,12%,33%,0%,,,,,,,0%,12%,5%,38%,46%,30%,58%,,10%,64%,30%,28%,46%,71%,53%,12%,12%,0%,,,,,,,0%,5%,23%,20%,46%,41%,15%,,38%,20%,66%,33%,15%,20%,41%,30%,2%,0%,,10%,,15%,,,30%,,69%,5%,,38%,,,66%,
89,Bewicke Park,"18 Bewicke Ave, North Vancouver, BC V7M 3B5",Park,49.31523,-123.09145,,,,,,,0%,0%,33%,7%,5%,2%,,41%,2%,10%,5%,89%,25%,10%,5%,28%,7%,0%,,,,,,,0%,0%,28%,15%,2%,2%,,25%,58%,0%,25%,0%,51%,12%,2%,2%,15%,0%,,,,,,,0%,0%,28%,15%,7%,0%,,20%,41%,79%,5%,25%,0%,38%,10%,5%,2%,0%,,,,,,,0%,0%,56%,30%,17%,7%,,0%,28%,58%,100%,12%,23%,2%,12%,23%,12%,0%,,,,,,,0%,0%,5%,33%,46%,10%,,5%,5%,41%,64%,71%,35%,17%,5%,10%,33%,0%,,,,,,,0%,0%,5%,2%,30%,51%,,0%,15%,28%,28%,48%,38%,30%,17%,20%,10%,0%,,,,,,,0%,0%,7%,5%,5%,12%,,5%,2%,10%,58%,30%,28%,20%,41%,10%,30%,0%,12%,,5%,,,0%,,2%,2%,,12%,,,35%,
90,East Park,"Ontario St, Vancouver, BC",Park,49.23849,-123.10547,,22%,33%,0%,0%,11%,11%,22%,33%,0%,33%,0%,,0%,22%,33%,44%,0%,77%,11%,33%,0%,33%,11%,,11%,11%,22%,11%,0%,22%,0%,22%,55%,11%,11%,,55%,11%,22%,11%,22%,0%,44%,0%,11%,0%,55%,,33%,44%,0%,22%,0%,0%,11%,0%,11%,44%,33%,,0%,66%,22%,55%,0%,11%,0%,66%,11%,22%,11%,,44%,11%,33%,11%,11%,0%,0%,0%,0%,0%,22%,,11%,0%,44%,11%,22%,0%,0%,11%,22%,22%,44%,,44%,44%,11%,55%,33%,11%,0%,0%,0%,0%,0%,,11%,11%,0%,22%,0%,11%,0%,0%,0%,33%,44%,,55%,66%,11%,22%,22%,66%,0%,0%,0%,11%,0%,,0%,11%,0%,22%,11%,0%,0%,11%,11%,0%,22%,,33%,22%,44%,11%,22%,11%,44%,0%,11%,0%,11%,,22%,11%,22%,0%,44%,0%,22%,0%,11%,22%,0%,44%,0%,0%,11%,66%,0%,44%,44%,0%,100%,11%,33%,44%,0%,
91,Point Grey Park Site at Trafalgar Street,"2601 Point Grey Rd, Vancouver, BC V6K 1A1",Park,49.27347,-123.16467,,,,,,0%,13%,24%,2%,8%,29%,43%,,51%,32%,51%,29%,21%,37%,56%,40%,10%,0%,,,,,,,0%,2%,16%,18%,10%,21%,18%,,56%,48%,37%,72%,35%,27%,51%,54%,21%,0%,,,,,,,0%,0%,0%,16%,18%,27%,35%,,43%,70%,51%,54%,78%,29%,24%,45%,51%,0%,,,,,,,0%,18%,0%,0%,24%,32%,48%,,13%,27%,83%,59%,56%,86%,32%,13%,27%,0%,,,,,,,0%,24%,29%,2%,2%,40%,43%,,27%,24%,16%,100%,67%,48%,70%,32%,5%,0%,,,,,,,0%,24%,10%,21%,10%,13%,45%,,45%,32%,21%,18%,94%,59%,37%,43%,40%,0%,,,,,,,0%,10%,10%,2%,35%,29%,32%,,40%,45%,32%,29%,37%,75%,54%,18%,21%,0%,,56%,,43%,,,18%,,37%,48%,,51%,,,51%,
