index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times
33,Aisle 24 Market,"1450 Robson St, Vancouver, BC V6B 5J3",Grocery store,49.2883496,-123.1490513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Nesters Market,"990 Seymour St, Vancouver, BC V6B 3L9",Supermarket,49.2786382,-123.1395893,None,None,None,None,None,None,0%,0%,18%,12%,53%,56%,None,81%,59%,73%,90%,89%,79%,62%,55%,42%,0%,0%,None,None,None,None,None,None,0%,0%,19%,27%,30%,72%,None,74%,81%,76%,81%,75%,88%,62%,53%,30%,0%,0%,None,None,None,None,None,None,0%,0%,29%,26%,41%,50%,None,54%,79%,79%,87%,91%,62%,90%,47%,37%,0%,0%,None,None,None,None,None,None,0%,0%,29%,49%,31%,50%,None,87%,54%,73%,78%,100%,90%,55%,83%,25%,0%,0%,None,None,None,None,None,None,0%,0%,33%,30%,58%,42%,None,75%,90%,57%,76%,81%,87%,90%,43%,63%,0%,0%,None,None,None,None,None,None,0%,0%,17%,35%,35%,74%,None,62%,88%,91%,79%,77%,81%,78%,72%,32%,0%,0%,None,None,None,None,None,None,0%,0%,3%,32%,47%,50%,None,59%,64%,93%,93%,80%,73%,68%,52%,50%,0%,0%,61%,,60%,,,82%,,68%,63%,,51%,,,78%,
35,San Lee Enterprises Co,"267 Keefer St, Vancouver, BC V6A 1X6",Asian grocery store,49.2796956,-123.1157257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Kin's Farm Market,"1057 Denman St, Vancouver, BC V6G 2M5",Produce market,49.2886642,-123.1579546,None,None,None,None,None,None,0%,0%,0%,0%,26%,40%,None,46%,6%,13%,20%,20%,26%,26%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,13%,None,40%,53%,6%,26%,20%,20%,13%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,33%,13%,None,40%,26%,73%,13%,53%,40%,13%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,20%,53%,None,46%,20%,46%,86%,26%,33%,33%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,13%,26%,None,40%,40%,6%,33%,100%,13%,20%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,13%,13%,None,13%,26%,46%,6%,53%,73%,13%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,46%,13%,None,13%,0%,33%,33%,13%,46%,53%,0%,0%,0%,0%,20%,,46%,,,20%,,26%,26%,,33%,,,33%,
37,Tin Lee Market,"260 E Georgia St, Vancouver, BC V6A 0B1",Store,49.2784341,-123.1158407,None,None,None,None,None,None,0%,0%,0%,46%,23%,61%,None,7%,7%,84%,30%,23%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,30%,15%,23%,0%,None,23%,15%,0%,76%,30%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,23%,69%,23%,7%,None,15%,7%,7%,15%,30%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,23%,23%,46%,61%,None,30%,30%,0%,7%,23%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,30%,23%,23%,46%,None,23%,30%,69%,7%,15%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,84%,53%,15%,23%,None,76%,7%,30%,76%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,46%,53%,76%,30%,None,7%,100%,7%,46%,38%,0%,0%,0%,0%,0%,0%,38%,,38%,,,7%,,7%,53%,,15%,,,7%,
38,Lucky food market,"384 E Hastings St, Vancouver, BC V6A 1P4",Supermarket,49.2784341,-123.1158407,None,None,None,None,None,None,None,None,None,33%,None,None,None,None,None,None,50%,None,None,None,None,None,None,8%,None,None,None,None,None,None,None,None,None,None,16%,None,None,None,None,None,None,33%,None,None,None,None,None,None,None,0%,None,None,None,None,None,None,None,None,None,16%,None,None,None,None,None,None,41%,None,None,None,None,None,None,None,8%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16%,None,None,None,None,None,None,None,None,None,None,0%,None,None,None,None,None,None,33%,None,None,None,None,None,None,8%,None,None,None,None,None,None,None,None,None,None,0%,None,None,None,None,None,None,58%,None,None,None,None,None,None,8%,None,None,None,None,None,None,None,None,None,None,0%,None,None,None,None,None,None,41%,None,None,None,None,None,None,16%,None,,,,0%,,,,25%,,,,,,,
39,Konbiniya Japan Centre,"1238 Robson St, Vancouver, BC V6E 1C1",Japanese grocery store,49.2862837,-123.1459202,None,None,None,None,None,None,0%,0%,0%,0%,16%,25%,None,72%,43%,42%,87%,64%,56%,48%,95%,35%,16%,0%,None,None,None,None,None,None,0%,0%,0%,0%,11%,25%,None,47%,84%,43%,50%,84%,79%,58%,37%,71%,22%,0%,None,None,None,None,None,None,0%,0%,0%,0%,11%,25%,None,42%,52%,88%,44%,58%,80%,84%,53%,25%,45%,0%,None,None,None,None,None,None,0%,0%,0%,0%,20%,28%,None,50%,39%,52%,88%,48%,59%,78%,77%,43%,14%,22%,None,None,None,None,None,None,0%,0%,0%,0%,14%,34%,None,65%,52%,39%,53%,91%,53%,50%,65%,65%,23%,0%,None,None,None,None,None,None,0%,0%,0%,0%,9%,30%,None,41%,82%,47%,41%,54%,97%,52%,37%,43%,44%,0%,None,None,None,None,None,None,0%,0%,0%,0%,14%,21%,None,51%,37%,90%,52%,49%,53%,100%,45%,24%,24%,24%,37%,,38%,,,42%,,43%,37%,,44%,,,51%,
40,Tasty Market and Cafe,"293 E Georgia St, Vancouver, BC V6A 1Z6",Grocery store,49.2786551,-123.1153133,None,None,None,None,None,None,0%,0%,17%,41%,11%,58%,None,70%,41%,52%,58%,58%,11%,11%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,41%,47%,41%,23%,None,64%,52%,47%,47%,29%,70%,17%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,5%,29%,100%,58%,None,58%,52%,58%,41%,52%,29%,41%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,29%,52%,100%,None,64%,52%,47%,64%,47%,35%,5%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,23%,17%,41%,47%,None,76%,64%,35%,52%,52%,17%,11%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,29%,52%,47%,None,58%,76%,47%,23%,47%,52%,11%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,17%,5%,58%,82%,None,47%,41%,58%,41%,23%,23%,17%,0%,0%,0%,0%,70%,,70%,,,41%,,58%,88%,,58%,,,52%,
41,De Xing Long Trading Co. LTD,"217 Keefer St, Vancouver, BC V6A 1X6",Asian grocery store,49.2786551,-123.1153133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Fujiya Foods - Take Out,"1050 W Pender St #112, Vancouver, BC V6E 3T4",Japanese grocery store,49.2870918,-123.1377638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Lion & Sun Market,"927 Seymour St, Vancouver, BC V6B 3M1",Supermarket,49.2870918,-123.1377638,None,None,None,None,None,None,0%,0%,0%,0%,27%,11%,None,27%,44%,33%,27%,100%,16%,38%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,38%,16%,None,16%,16%,50%,44%,27%,100%,5%,22%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,27%,38%,None,27%,16%,38%,44%,66%,16%,83%,5%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,11%,38%,None,16%,11%,5%,61%,33%,38%,22%,44%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,55%,16%,None,55%,16%,11%,5%,55%,38%,16%,5%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,27%,55%,None,16%,50%,38%,16%,16%,22%,27%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,27%,None,50%,11%,33%,77%,11%,38%,5%,27%,0%,0%,0%,22%,,22%,,,22%,,38%,22%,,33%,,,55%,
44,Choices Markets,"1202 Richards St, Vancouver, BC V6B 3G2",Grocery store,49.2757323,-123.1422527,None,None,None,None,None,None,0%,0%,16%,33%,34%,52%,None,82%,64%,73%,93%,93%,69%,62%,55%,25%,0%,0%,None,None,None,None,None,None,0%,0%,15%,26%,48%,45%,None,59%,82%,68%,73%,100%,89%,59%,49%,42%,0%,0%,None,None,None,None,None,None,0%,0%,28%,23%,40%,58%,None,58%,59%,78%,73%,79%,89%,81%,42%,34%,0%,0%,None,None,None,None,None,None,0%,0%,30%,37%,39%,51%,None,59%,60%,62%,83%,79%,74%,65%,59%,37%,0%,0%,None,None,None,None,None,None,0%,0%,18%,40%,52%,56%,None,81%,65%,65%,64%,86%,77%,65%,46%,41%,0%,0%,None,None,None,None,None,None,0%,0%,15%,28%,40%,69%,None,71%,83%,71%,75%,63%,80%,63%,43%,32%,0%,0%,None,None,None,None,None,None,0%,0%,24%,21%,41%,45%,None,65%,71%,86%,81%,81%,65%,71%,44%,34%,0%,0%,53%,,62%,,,56%,,71%,64%,,63%,,,81%,
45,Shun Hing Grocery Store,"582 Powell St, Vancouver, BC V6A 1G9",Grocery store,49.2829121,-123.1096562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Fresh St. Market - Vancouver House,"1423 Continental St, Vancouver, BC V6Z 0G3",Grocery store,49.2752536,-123.1485456,None,None,None,None,None,None,0%,0%,20%,35%,37%,35%,None,83%,63%,49%,80%,72%,57%,48%,37%,17%,0%,0%,None,None,None,None,None,None,0%,0%,18%,28%,49%,49%,None,60%,90%,65%,51%,73%,65%,48%,39%,20%,0%,0%,None,None,None,None,None,None,0%,0%,19%,29%,38%,62%,None,51%,67%,100%,64%,56%,65%,51%,34%,25%,0%,0%,None,None,None,None,None,None,0%,0%,15%,36%,39%,45%,None,56%,55%,70%,96%,62%,59%,54%,33%,18%,0%,0%,None,None,None,None,None,None,0%,0%,13%,23%,50%,51%,None,76%,57%,59%,71%,85%,55%,57%,38%,19%,0%,0%,None,None,None,None,None,None,0%,0%,19%,19%,31%,68%,None,50%,80%,66%,58%,71%,70%,39%,46%,22%,0%,0%,None,None,None,None,None,None,0%,0%,20%,29%,30%,39%,None,64%,48%,83%,73%,61%,62%,55%,29%,28%,0%,0%,51%,,47%,,,55%,,68%,53%,,60%,,,74%,
47,Princess Market,"577 E Hastings St, Vancouver, BC V6A 1P9",Supermarket,49.2813475,-123.1097132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Urban Fare,"177 Davie St, Vancouver, BC V6Z 2Y1",Gourmet grocery store,49.2736284,-123.1384364,None,None,None,None,None,0%,7%,12%,23%,41%,41%,49%,None,60%,57%,98%,82%,68%,63%,60%,35%,15%,0%,None,None,None,None,None,None,0%,6%,14%,22%,37%,48%,49%,None,88%,60%,63%,100%,83%,61%,48%,44%,20%,0%,None,None,None,None,None,None,0%,10%,13%,25%,33%,54%,51%,None,61%,93%,66%,68%,91%,76%,45%,32%,28%,0%,None,None,None,None,None,None,0%,6%,14%,25%,35%,42%,67%,None,59%,64%,96%,70%,68%,74%,65%,28%,17%,0%,None,None,None,None,None,None,0%,9%,13%,22%,42%,45%,50%,None,58%,60%,67%,97%,71%,58%,56%,50%,15%,0%,None,None,None,None,None,None,0%,5%,18%,23%,29%,60%,54%,None,87%,64%,64%,70%,90%,66%,43%,39%,31%,0%,None,None,None,None,None,None,0%,4%,12%,30%,34%,40%,74%,None,55%,94%,73%,68%,69%,76%,51%,28%,22%,0%,None,83%,,59%,,,56%,,54%,82%,,54%,,,59%,
49,Farm to Table Market,"1312 Richards St, Vancouver, BC V6B 3G6",Gourmet grocery store,49.2736284,-123.1384364,None,None,None,None,None,None,0%,13%,44%,63%,58%,83%,None,76%,50%,52%,75%,100%,86%,70%,80%,38%,56%,0%,None,None,None,None,None,None,0%,6%,36%,46%,89%,63%,None,49%,75%,60%,87%,81%,98%,72%,43%,60%,38%,0%,None,None,None,None,None,None,0%,12%,20%,58%,49%,100%,None,66%,53%,63%,76%,90%,63%,92%,44%,33%,35%,0%,None,None,None,None,None,None,0%,50%,32%,30%,61%,46%,None,64%,60%,69%,55%,95%,78%,50%,80%,35%,29%,0%,None,None,None,None,None,None,0%,18%,60%,56%,49%,55%,None,56%,75%,58%,92%,78%,96%,55%,56%,63%,27%,0%,None,None,None,None,None,None,0%,20%,21%,66%,64%,60%,None,32%,44%,70%,70%,92%,95%,73%,56%,49%,58%,0%,None,None,None,None,None,None,0%,44%,33%,40%,67%,66%,None,50%,35%,60%,83%,87%,87%,84%,55%,61%,27%,0%,53%,,81%,,,70%,,78%,30%,,55%,,,66%,
50,China Cereals & Oils Corporation Ltd.,"126 Gore Ave, Vancouver, BC V6A 2Z1",Asian grocery store,49.2834854,-123.1156433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Express News Convenience,"70 Smithe St, Vancouver, BC V6B 0P5",Grocery store,49.2752978,-123.1322289,None,None,None,None,None,None,0%,0%,0%,40%,60%,10%,None,20%,10%,0%,60%,60%,0%,0%,80%,100%,30%,0%,None,None,None,None,None,None,0%,0%,0%,40%,30%,20%,None,30%,40%,0%,20%,40%,30%,0%,10%,100%,50%,0%,None,None,None,None,None,None,0%,0%,0%,30%,20%,40%,None,0%,10%,20%,0%,60%,30%,30%,0%,40%,90%,0%,None,None,None,None,None,None,0%,0%,0%,0%,30%,10%,None,10%,0%,0%,10%,10%,70%,20%,20%,10%,40%,0%,None,None,None,None,None,None,0%,0%,0%,20%,0%,40%,None,50%,20%,0%,0%,30%,10%,30%,10%,20%,20%,0%,None,None,None,None,None,None,0%,0%,0%,10%,40%,10%,None,0%,30%,50%,0%,10%,40%,40%,20%,10%,60%,0%,None,None,None,None,None,None,0%,0%,0%,60%,20%,40%,None,20%,0%,30%,40%,0%,0%,90%,100%,30%,50%,0%,70%,,10%,,,20%,,30%,0%,,50%,,,10%,
