index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 a.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times
10,Mediterranean Grill Restaurant at Denman LTD..,"1152 Denman St, Vancouver, BC V6G 2M9",Restaurant,49.2877464,-123.1589253,None,37%,15%,62%,0%,0%,0%,0%,0%,0%,33%,56%,None,34%,74%,23%,26%,70%,53%,60%,88%,35%,51%,34%,None,52%,38%,10%,0%,0%,0%,0%,0%,0%,44%,50%,None,51%,51%,79%,28%,23%,66%,60%,55%,97%,20%,34%,None,35%,58%,25%,0%,0%,0%,0%,0%,0%,20%,37%,None,66%,55%,65%,88%,33%,19%,71%,41%,52%,100%,14%,None,25%,32%,38%,0%,0%,0%,0%,0%,0%,15%,30%,None,64%,58%,53%,64%,82%,44%,26%,75%,42%,46%,91%,None,35%,25%,23%,0%,0%,0%,0%,0%,0%,11%,15%,None,17%,80%,55%,50%,74%,83%,57%,38%,79%,32%,33%,None,78%,43%,19%,0%,0%,0%,0%,0%,0%,16%,12%,None,34%,24%,87%,48%,64%,75%,73%,74%,39%,82%,42%,None,14%,69%,29%,0%,0%,0%,0%,0%,0%,37%,29%,None,56%,26%,29%,83%,55%,70%,82%,65%,70%,37%,85%,75%,30%,38%,61%,26%,52%,32%,79%,38%,24%,43%,28%,32%,25%,
11,Cardero's Restaurant,"1583 Coal Harbour Quay, Vancouver, BC V6G 3E7",Seafood restaurant,49.2916101,-123.145506,None,None,None,None,None,None,0%,0%,0%,0%,0%,19%,None,88%,52%,44%,80%,68%,68%,67%,86%,52%,30%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,24%,None,57%,99%,51%,49%,80%,73%,69%,54%,71%,34%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,34%,None,44%,56%,100%,57%,62%,74%,77%,59%,36%,54%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,30%,None,58%,43%,51%,94%,67%,71%,66%,73%,43%,18%,34%,None,None,None,None,None,None,0%,0%,0%,0%,0%,30%,None,71%,58%,40%,54%,92%,79%,69%,52%,60%,25%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,34%,None,55%,76%,59%,44%,61%,92%,76%,62%,37%,43%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,28%,None,53%,49%,76%,59%,58%,68%,91%,66%,46%,22%,26%,,46%,,35%,,45%,60%,,48%,,,65%,46%,,
12,Burgoo,"101-1100 Burrard St, Vancouver, BC V6Z 1Y7",Bistro,49.2799184,-123.1455668,None,None,None,None,None,None,0%,0%,0%,0%,0%,35%,None,57%,83%,72%,68%,75%,57%,79%,87%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,40%,None,40%,53%,72%,44%,74%,87%,37%,72%,55%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,37%,None,42%,37%,66%,72%,42%,70%,77%,31%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,27%,None,53%,22%,31%,77%,87%,40%,59%,64%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,44%,None,72%,50%,29%,29%,90%,94%,62%,31%,46%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,33%,None,68%,59%,53%,38%,48%,100%,90%,42%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,24%,None,88%,68%,53%,62%,66%,62%,100%,70%,0%,0%,0%,,33%,,38%,,55%,61%,,53%,,,38%,72%,,
13,Homa Mediterranean Restaurant (Baghdad Cafe),"548 Seymour St, Vancouver, BC V6B 3J5",Mediterranean restaurant,49.2834678,-123.1323473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MILA,"185 Keefer St, Vancouver, BC V6A 1X3",Restaurant,49.279695,-123.1183263,None,None,None,None,None,None,0%,0%,0%,0%,0%,4%,None,45%,25%,22%,34%,75%,62%,30%,100%,31%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,15%,40%,None,9%,36%,16%,21%,51%,96%,68%,22%,74%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,34%,None,16%,12%,40%,12%,34%,65%,98%,59%,13%,43%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,7%,None,51%,18%,21%,43%,15%,31%,59%,66%,40%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,28%,15%,None,40%,37%,34%,45%,46%,15%,37%,34%,30%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,27%,None,12%,33%,33%,39%,45%,65%,24%,42%,25%,12%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,15%,None,13%,12%,30%,39%,53%,36%,89%,19%,36%,0%,0%,,18%,,4%,,51%,36%,,15%,,,30%,13%,,
15,Di Beppe Restaurant,"8 W Cordova St, Vancouver, BC V6B 1C9",Italian restaurant,49.279695,-123.1183263,None,None,None,None,None,None,0%,0%,14%,10%,32%,38%,None,81%,55%,40%,57%,61%,54%,40%,85%,51%,0%,0%,None,None,None,None,None,None,0%,0%,12%,23%,24%,43%,None,54%,89%,50%,40%,61%,66%,52%,32%,72%,0%,0%,None,None,None,None,None,None,0%,0%,0%,19%,34%,39%,None,46%,53%,100%,52%,48%,60%,66%,40%,22%,50%,0%,None,None,None,None,None,None,0%,0%,4%,18%,26%,46%,None,66%,45%,43%,93%,57%,49%,57%,67%,33%,0%,0%,None,None,None,None,None,None,0%,0%,15%,11%,32%,33%,None,58%,55%,48%,34%,96%,61%,50%,49%,62%,0%,0%,None,None,None,None,None,None,0%,0%,18%,21%,19%,46%,None,48%,54%,49%,50%,33%,91%,59%,38%,33%,51%,0%,None,None,None,None,None,None,0%,0%,0%,23%,27%,30%,None,54%,37%,57%,50%,56%,39%,92%,59%,24%,0%,0%,,50%,,48%,,60%,54%,,49%,,,64%,45%,,
16,Hendricks Resto-Lounge,"433 Robson St, Vancouver, BC V6B 6L9",Restaurant,49.2798145,-123.1350059,None,None,None,None,None,None,0%,25%,22%,61%,27%,77%,None,47%,75%,72%,61%,88%,72%,11%,83%,77%,22%,0%,None,None,None,None,None,None,0%,47%,47%,8%,83%,13%,None,50%,66%,72%,52%,33%,91%,47%,11%,52%,38%,0%,None,None,None,None,None,None,0%,13%,66%,58%,11%,66%,None,61%,50%,75%,100%,52%,33%,69%,16%,16%,36%,0%,None,None,None,None,None,None,0%,50%,27%,66%,55%,13%,None,19%,44%,69%,94%,61%,33%,41%,47%,2%,25%,0%,None,None,None,None,None,None,0%,5%,72%,22%,63%,47%,None,58%,16%,41%,44%,94%,44%,27%,58%,44%,0%,0%,None,None,None,None,None,None,0%,19%,19%,75%,19%,36%,None,33%,61%,30%,41%,50%,100%,50%,30%,27%,27%,0%,None,None,None,None,None,None,0%,22%,44%,16%,69%,19%,None,80%,50%,55%,47%,69%,16%,97%,58%,27%,19%,0%,,36%,,63%,,13%,86%,,33%,,,41%,61%,,
17,Curry Hut Indian Bistro,"445 Howe St, Vancouver, BC V6C 2X6",North Indian restaurant,49.2798145,-123.1350059,None,None,None,None,None,None,0%,0%,0%,0%,0%,31%,None,72%,76%,58%,35%,47%,43%,37%,58%,35%,19%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,54%,None,50%,80%,52%,56%,37%,54%,43%,31%,62%,29%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,21%,None,60%,35%,76%,47%,45%,37%,49%,33%,17%,50%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,35%,None,60%,54%,23%,72%,35%,35%,45%,56%,25%,7%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,58%,None,49%,52%,45%,27%,58%,33%,21%,31%,49%,21%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,25%,None,74%,45%,33%,37%,37%,49%,27%,29%,19%,21%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,39%,None,100%,72%,43%,43%,47%,41%,49%,31%,29%,11%,0%,,58%,,52%,,72%,35%,,72%,,,56%,92%,,
18,Joyeaux Café & Restaurant,"551 Howe St, Vancouver, BC V6C 2C2",Vietnamese restaurant,49.2798145,-123.1350059,None,None,None,None,None,None,0%,0%,10%,23%,33%,47%,None,37%,60%,39%,21%,21%,24%,13%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,11%,18%,21%,57%,None,71%,44%,27%,21%,18%,11%,15%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,15%,21%,36%,36%,None,75%,57%,42%,20%,11%,7%,10%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,7%,26%,39%,72%,None,71%,52%,36%,37%,24%,7%,4%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,2%,7%,18%,68%,None,55%,62%,27%,23%,33%,31%,5%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,2%,4%,21%,18%,None,91%,44%,42%,14%,18%,23%,21%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,10%,10%,17%,49%,None,82%,66%,30%,31%,18%,21%,17%,0%,0%,0%,0%,,69%,,75%,,78%,50%,,97%,,,23%,100%,,
19,Five Sails Restaurant,"999 Canada Pl Suite 410, Vancouver, BC V6C 3E1",Fine dining restaurant,49.2798145,-123.1350059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,The Poke Guy,"420 Richards St, Vancouver, BC V6B 2Z3",Hawaiian restaurant,49.2798145,-123.1350059,None,None,None,None,None,None,0%,0%,0%,0%,0%,45%,None,100%,14%,25%,42%,37%,11%,31%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,37%,None,31%,82%,22%,37%,22%,37%,2%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,14%,None,62%,37%,65%,34%,48%,11%,40%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,20%,None,57%,48%,48%,42%,42%,37%,11%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,5%,None,37%,37%,37%,51%,48%,37%,37%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,40%,None,34%,45%,40%,22%,54%,45%,14%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,22%,None,8%,28%,51%,34%,17%,34%,31%,0%,0%,0%,0%,,28%,,54%,,51%,20%,,22%,,,85%,5%,,
21,Top Of Vancouver Revolving Restaurant,"555 W Hastings St, Vancouver, BC V6B 4N6",Continental restaurant,49.2798145,-123.1350059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Basil Box,"810 Burrard St, Vancouver, BC V6Z 2G7",Southeast Asian restaurant,49.2798145,-123.1350059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Carlino Restaurant,"1115 Alberni St, Vancouver, BC V6E 1A5",Italian restaurant,49.2798145,-123.1350059,None,None,None,None,None,None,0%,10%,28%,16%,47%,50%,None,57%,43%,36%,44%,72%,39%,52%,94%,71%,0%,0%,None,None,None,None,None,None,0%,1%,22%,32%,16%,52%,None,35%,63%,36%,42%,32%,77%,50%,48%,82%,0%,0%,None,None,None,None,None,None,0%,18%,8%,33%,48%,28%,None,34%,33%,70%,40%,54%,39%,96%,54%,31%,64%,0%,None,None,None,None,None,None,0%,16%,19%,16%,35%,50%,None,60%,19%,36%,54%,45%,56%,34%,95%,54%,0%,0%,None,None,None,None,None,None,0%,11%,28%,22%,31%,32%,None,50%,59%,13%,31%,73%,66%,66%,33%,79%,0%,0%,None,None,None,None,None,None,0%,5%,22%,34%,22%,41%,None,52%,48%,71%,19%,29%,77%,77%,49%,33%,59%,0%,None,None,None,None,None,None,0%,16%,12%,36%,43%,24%,None,48%,41%,45%,62%,32%,44%,100%,80%,42%,0%,0%,,28%,,45%,,54%,31%,,56%,,,43%,40%,,
24,Brioche Ristorante & Catering,"117 Water St, Vancouver, BC V6B 1A7",Italian restaurant,49.2841362,-123.1249337,None,None,None,None,None,None,0%,9%,36%,43%,31%,52%,None,90%,59%,45%,65%,50%,36%,13%,65%,0%,0%,0%,None,None,None,None,None,None,0%,13%,25%,38%,68%,43%,None,70%,90%,47%,54%,47%,61%,29%,9%,63%,0%,0%,None,None,None,None,None,None,0%,13%,22%,36%,52%,84%,None,56%,70%,68%,40%,43%,40%,70%,34%,0%,0%,0%,None,None,None,None,None,None,0%,25%,31%,43%,56%,54%,None,70%,54%,61%,56%,45%,40%,29%,63%,0%,0%,0%,None,None,None,None,None,None,0%,13%,38%,29%,59%,68%,None,100%,63%,52%,47%,47%,45%,25%,34%,29%,0%,0%,None,None,None,None,None,None,0%,11%,20%,47%,36%,65%,None,38%,86%,56%,45%,38%,54%,45%,20%,0%,0%,0%,None,None,None,None,None,None,0%,25%,25%,27%,52%,45%,None,65%,40%,81%,50%,38%,29%,56%,31%,0%,0%,0%,,54%,,56%,,59%,100%,,45%,,,84%,72%,,
25,Prestons Restaurant + Lounge Vancouver,"1177 W Pender St, Vancouver, BC V6E 2P4",Restaurant,49.288219,-123.1402495,None,None,None,None,None,None,0%,9%,None,0%,45%,45%,None,27%,18%,None,45%,9%,72%,None,0%,27%,None,0%,None,None,None,None,None,0%,None,18%,18%,None,9%,36%,None,None,36%,18%,None,45%,9%,27%,None,0%,0%,None,None,None,None,None,None,0%,9%,None,9%,18%,None,27%,None,18%,None,18%,18%,None,63%,27%,9%,None,0%,None,None,None,None,None,None,0%,9%,18%,None,9%,18%,None,None,18%,36%,None,18%,45%,None,36%,9%,0%,None,0%,None,None,None,None,None,None,18%,18%,45%,None,18%,45%,None,9%,18%,45%,None,18%,45%,None,27%,9%,0%,None,None,None,None,None,None,0%,None,18%,18%,45%,None,36%,None,None,9%,18%,72%,None,9%,63%,None,9%,0%,None,None,None,None,None,None,0%,0%,None,9%,18%,45%,None,None,54%,None,27%,18%,54%,None,0%,63%,None,0%,None,,,,45%,,27%,27%,,,,,27%,36%,,
26,Mount Everest Kitchen & Grill,"538 Seymour St, Vancouver, BC V6B 3J5",Nepalese restaurant,49.288219,-123.1402495,None,None,None,None,None,None,0%,0%,0%,0%,13%,34%,None,49%,39%,34%,40%,63%,50%,34%,95%,47%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,31%,None,30%,56%,34%,38%,47%,75%,61%,35%,76%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,8%,13%,None,56%,31%,60%,37%,48%,65%,87%,52%,27%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,16%,21%,None,49%,43%,26%,74%,47%,58%,66%,85%,37%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,12%,33%,None,28%,40%,34%,23%,86%,59%,63%,60%,72%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,6%,22%,None,37%,32%,39%,31%,25%,98%,65%,58%,45%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,17%,13%,None,47%,34%,33%,47%,42%,32%,100%,61%,41%,0%,0%,,22%,,53%,,44%,21%,,34%,,,40%,47%,,
27,Bacchus Restaurant & Lounge,"845 Hornby St, Vancouver, BC V6Z 1V1",European restaurant,49.288219,-123.1402495,None,None,None,None,None,None,None,24%,14%,16%,9%,37%,None,None,65%,33%,22%,48%,55%,60%,None,64%,44%,28%,None,None,None,None,None,None,0%,None,27%,16%,25%,16%,None,44%,None,39%,31%,35%,52%,52%,74%,None,64%,43%,None,None,None,None,None,None,0%,2%,None,28%,19%,42%,None,27%,40%,None,29%,44%,41%,50%,54%,88%,None,36%,None,None,None,None,None,None,0%,36%,2%,None,20%,33%,None,36%,28%,27%,None,29%,49%,47%,51%,54%,100%,None,None,None,None,None,None,None,0%,5%,35%,4%,None,31%,None,44%,47%,22%,20%,None,44%,50%,39%,62%,48%,87%,None,None,None,None,None,None,0%,9%,6%,37%,13%,None,None,29%,34%,40%,35%,28%,None,60%,47%,39%,75%,32%,None,None,None,None,None,None,0%,12%,17%,5%,35%,28%,None,66%,27%,31%,45%,44%,52%,None,68%,50%,36%,73%,47%,39%,,37%,,26%,45%,,39%,60%,,,56%,,
28,Heritage Asian Eatery,"1108 W Pender St, Vancouver, BC V6E 4J6",Asian restaurant,49.288219,-123.1402495,None,None,None,None,None,None,0%,0%,0%,0%,0%,52%,None,60%,47%,50%,50%,44%,45%,45%,41%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,42%,None,58%,63%,36%,47%,42%,45%,39%,29%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,38%,None,79%,55%,63%,48%,52%,38%,54%,26%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,66%,None,72%,66%,50%,60%,60%,57%,25%,47%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,51%,None,64%,66%,48%,48%,61%,75%,47%,11%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,26%,None,89%,66%,51%,41%,50%,57%,66%,27%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,41%,None,64%,70%,61%,44%,41%,54%,52%,42%,0%,0%,0%,,58%,,80%,,66%,54%,,100%,,,51%,77%,,
29,Thai Basil Restaurant,"1215 Thurlow St, Vancouver, BC V6E 1X4",Thai restaurant,49.2802973,-123.149615,None,None,None,None,None,None,0%,0%,0%,0%,0%,48%,None,56%,37%,48%,56%,43%,67%,54%,51%,27%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,51%,None,54%,67%,45%,64%,64%,62%,70%,54%,37%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,97%,35%,78%,45%,78%,78%,70%,59%,32%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,51%,None,75%,81%,24%,78%,59%,100%,67%,70%,35%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,37%,None,64%,70%,64%,37%,78%,59%,86%,56%,51%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,8%,None,56%,62%,56%,59%,48%,67%,62%,54%,24%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,51%,None,59%,51%,54%,45%,59%,51%,62%,56%,27%,0%,0%,,62%,,78%,,70%,59%,,64%,,,24%,56%,,
30,Pourhouse Restaurant,"162 Water St, Vancouver, BC V6B 1B2",Restaurant,49.2840775,-123.1264062,None,None,None,None,None,None,None,0%,0%,0%,0%,9%,None,None,18%,20%,33%,62%,61%,87%,None,56%,21%,34%,None,None,None,None,None,None,0%,None,0%,0%,0%,4%,None,17%,None,22%,25%,37%,82%,60%,88%,None,42%,27%,None,None,None,None,None,None,0%,0%,None,0%,0%,6%,None,25%,21%,None,32%,40%,48%,83%,56%,100%,None,25%,None,None,None,None,None,None,0%,0%,0%,None,0%,11%,None,11%,21%,43%,None,42%,40%,52%,84%,57%,95%,None,None,None,None,None,None,None,0%,0%,0%,0%,None,17%,None,11%,10%,24%,58%,None,57%,37%,57%,84%,50%,92%,None,None,None,None,None,None,0%,0%,0%,0%,0%,None,None,11%,19%,18%,37%,81%,None,62%,21%,48%,87%,38%,None,None,None,None,None,None,0%,0%,0%,0%,0%,16%,None,19%,15%,27%,44%,55%,88%,None,61%,20%,41%,87%,67%,11%,,18%,,9%,11%,,15%,63%,,,21%,,
31,Thai Express Restaurant Vancouver,"CF Pacific Centre, 701 W Georgia St, Vancouver, BC V7Y 1G5",Thai restaurant,49.283333,-123.1357604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
