index,name,address,category,latitude,longitude,popular_times,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times_Monday 12 a.m.
0,Cycle City Bike Shop & Repairs,"648 Hornby St, Vancouver, BC V6C 2G2",Bicycle Shop,49.2841622,-123.1373239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Spokes Bicycle Rentals,"870 W Cordova St, Vancouver, BC V6C 1Z7",Bicycle rental service,49.2841622,-123.1373239,,None,None,None,None,None,None,0%,0%,0%,16%,8%,8%,None,25%,16%,25%,8%,16%,50%,91%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,25%,50%,0%,None,16%,8%,8%,33%,25%,8%,16%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,16%,25%,50%,None,0%,0%,25%,8%,33%,50%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,16%,8%,8%,None,16%,0%,0%,50%,16%,16%,41%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,8%,25%,0%,None,50%,41%,16%,16%,100%,33%,16%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,16%,16%,25%,None,16%,33%,33%,25%,50%,58%,25%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,25%,16%,41%,None,8%,33%,8%,33%,58%,91%,66%,0%,0%,0%,0%,16%,0%,8%,66%,8%,0%,16%,
2,Spokes Bicycle Rentals,"1798 W Georgia St, Vancouver, BC V6G 2V7",Bicycle rental service,49.2923427,-123.1518348,,None,None,None,None,None,None,0%,0%,0%,17%,33%,26%,None,90%,43%,33%,83%,43%,17%,10%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,20%,37%,47%,None,58%,100%,44%,27%,62%,29%,13%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,25%,20%,56%,None,34%,58%,88%,33%,24%,37%,20%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,22%,30%,24%,None,60%,36%,50%,73%,24%,18%,18%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,24%,37%,37%,None,87%,64%,38%,41%,50%,16%,15%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,20%,32%,58%,None,35%,96%,66%,33%,28%,37%,9%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,29%,21%,44%,None,41%,34%,95%,59%,25%,19%,29%,0%,0%,0%,0%,52%,28%,54%,72%,30%,35%,76%,
3,Urban Waves Bike Rentals,"510 Nicola St #120, Vancouver, BC V6G 3J7",Bicycle rental service,49.2923427,-123.1518348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cycle City Tours And Bike Rentals,"648 Hornby St, Vancouver, BC V6C 2G2",Bicycle rental service,49.2841459,-123.137337,,None,None,None,None,None,None,0%,0%,0%,5%,35%,100%,None,76%,47%,35%,17%,5%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,64%,0%,52%,None,52%,58%,17%,35%,11%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,5%,64%,0%,None,70%,29%,23%,11%,17%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,35%,17%,70%,None,52%,52%,29%,11%,11%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,35%,23%,47%,None,29%,23%,41%,17%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,64%,29%,35%,None,70%,35%,11%,52%,23%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,11%,82%,41%,None,76%,41%,11%,0%,35%,0%,0%,0%,0%,0%,0%,41%,94%,41%,17%,76%,58%,58%,
5,Coal Harbour Bike Rental,"1570 Coal Harbour Quay, Vancouver, BC V6G 3G1",Bicycle rental service,49.2916079,-123.1463667,,None,None,None,None,None,None,None,6%,0%,75%,87%,25%,None,None,43%,31%,37%,50%,31%,12%,None,0%,0%,0%,None,62%,None,None,None,None,0%,None,0%,18%,43%,100%,None,25%,None,50%,50%,12%,31%,62%,0%,None,0%,0%,None,None,37%,None,None,None,0%,0%,None,62%,31%,50%,None,18%,37%,None,62%,43%,12%,25%,0%,0%,None,0%,None,None,None,43%,None,None,0%,0%,0%,None,25%,31%,None,43%,25%,37%,None,62%,18%,18%,6%,0%,0%,None,None,None,None,None,50%,None,0%,0%,0%,12%,None,18%,None,43%,31%,12%,25%,None,50%,6%,0%,6%,0%,0%,None,None,None,None,None,25%,0%,0%,0%,6%,12%,None,None,0%,43%,62%,18%,18%,None,43%,0%,0%,18%,0%,None,None,None,None,None,None,12%,0%,0%,75%,18%,25%,None,37%,12%,37%,56%,18%,25%,None,0%,0%,0%,56%,18%,18%,75%,37%,18%,12%,,43%
6,Bee's Knees eBike Tours and Rentals,"1315 Burrard St, Vancouver, BC V6Z 1Z7",Bicycle rental service,49.2780072,-123.1492595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Puzzle E-Ride @ Paradox Hotel,"1161 W Georgia St, Vancouver, BC V6E 0C6",Bicycle rental service,49.2780072,-123.1492595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,English Bay Bike Rentals,"1754 Davie St, Vancouver, BC V6G 1W2",Bicycle rental service,49.2867086,-123.1592316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bikes and Blades Rentals Stanley Park,"710 Denman St, Vancouver, BC V6G 2L5",Bicycle rental service,49.2867086,-123.1592316,,None,None,None,None,None,None,0%,0%,0%,25%,9%,0%,None,29%,9%,29%,70%,9%,9%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,12%,32%,9%,None,48%,41%,3%,22%,25%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,3%,16%,29%,None,9%,45%,41%,0%,22%,6%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,12%,0%,6%,None,48%,22%,25%,25%,0%,19%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,32%,25%,3%,None,64%,54%,29%,6%,19%,3%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,6%,45%,25%,None,12%,100%,41%,35%,6%,22%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,3%,3%,29%,None,22%,19%,87%,19%,16%,9%,0%,0%,0%,0%,0%,38%,3%,19%,51%,9%,9%,29%,
