index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.
10,CCRN,"56 E Cordova St, Vancouver, BC V6A 4G8",Community center,49.2822074,-123.1209806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Barclay Manor,"1447 Barclay St, Vancouver, BC V6G 1J6",Community center,49.2872131,-123.1506382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DCTRL,"436 W Pender St, Vancouver, BC V6B 1T5",Community center,49.2830789,-123.1307235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,False Creek Community Centre,"1318 Cartwright St, Vancouver, BC V6H 3R8",Community center,49.2696545,-123.1522481,None,None,None,None,None,None,0%,0%,0%,73%,44%,49%,None,82%,43%,41%,0%,43%,76%,53%,0%,30%,0%,0%,None,None,None,None,None,None,0%,0%,0%,45%,100%,46%,None,25%,72%,48%,54%,0%,38%,81%,28%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,43%,32%,96%,None,43%,25%,61%,56%,64%,0%,32%,64%,10%,0%,0%,None,None,None,None,None,None,0%,0%,0%,63%,42%,38%,None,35%,39%,34%,0%,64%,69%,0%,28%,42%,0%,0%,None,None,None,None,None,None,0%,0%,0%,43%,81%,45%,None,71%,41%,43%,52%,0%,61%,67%,0%,23%,0%,0%,None,None,None,None,None,None,0%,0%,0%,33%,47%,86%,None,39%,66%,43%,46%,69%,0%,56%,53%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,30%,47%,48%,None,38%,37%,55%,51%,64%,66%,0%,41%,37%,0%,0%,37%,50%,41%,83%,33%,39%,84%,,,,,,,,
14,Roundhouse Community Arts & Recreation Centre,"181 Roundhouse Mews, Vancouver, BC V6Z 2W3",Recreation center,49.2734378,-123.1397404,None,None,None,None,None,None,0%,0%,0%,46%,35%,39%,None,100%,35%,38%,48%,62%,56%,33%,0%,28%,0%,0%,None,None,None,None,None,None,0%,0%,0%,26%,68%,43%,None,36%,88%,40%,41%,0%,70%,53%,26%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,24%,36%,70%,None,33%,43%,67%,45%,44%,0%,66%,40%,17%,0%,0%,None,None,None,None,None,None,0%,0%,0%,47%,30%,39%,None,43%,35%,48%,47%,51%,45%,0%,61%,26%,0%,0%,None,None,None,None,None,None,0%,0%,0%,18%,73%,31%,None,66%,46%,33%,48%,0%,50%,40%,0%,48%,0%,0%,None,None,None,None,None,None,0%,0%,0%,22%,29%,92%,None,38%,66%,51%,41%,43%,0%,46%,31%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,25%,32%,34%,None,31%,38%,58%,56%,50%,41%,0%,40%,20%,0%,0%,37%,39%,41%,73%,37%,31%,99%,,,,,,,,
15,Waterfront Community Policing Centre,"601 W Cordova St Unit #20, Vancouver, BC V6B 1G1",Community center,49.2859473,-123.1303106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Mount Pleasant Community Centre,"1 Kingsway, Vancouver, BC V5T 3H7",Community center,49.2642056,-123.1181929,None,None,None,None,None,None,0%,31%,None,44%,58%,57%,None,82%,67%,None,63%,76%,73%,None,0%,37%,None,0%,None,None,None,None,None,0%,None,0%,42%,None,56%,63%,None,None,78%,70%,None,67%,70%,69%,None,0%,0%,None,None,None,None,None,None,0%,17%,None,34%,53%,None,66%,None,62%,None,77%,73%,None,60%,60%,54%,None,0%,None,None,None,None,None,None,0%,17%,23%,None,67%,66%,None,None,59%,64%,None,69%,76%,None,50%,47%,37%,None,0%,None,None,None,None,None,None,23%,23%,31%,None,92%,73%,None,58%,60%,70%,None,50%,71%,None,39%,33%,0%,None,None,None,None,None,None,0%,None,32%,34%,40%,None,100%,None,None,55%,64%,74%,None,0%,63%,None,32%,0%,None,None,None,None,None,None,0%,20%,None,35%,45%,50%,None,None,69%,None,60%,73%,75%,None,0%,52%,None,0%,None,,57%,63%,63%,,73%,88%,,,,,,,,
17,RayCam Co-operative Centre,"920 E Hastings St, Vancouver, BC V6A 3T1",Community center,49.2808201,-123.1019926,None,None,None,None,None,None,None,0%,0%,19%,22%,50%,None,None,36%,74%,76%,0%,77%,47%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,39%,28%,22%,None,76%,None,44%,82%,74%,0%,55%,39%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,20%,38%,33%,None,63%,63%,None,58%,73%,66%,0%,41%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,33%,30%,None,14%,68%,66%,None,61%,58%,44%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,55%,None,41%,None,41%,26%,87%,69%,None,53%,33%,23%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,30%,73%,None,None,46%,55%,30%,100%,73%,None,42%,23%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,23%,39%,85%,None,44%,66%,60%,33%,100%,57%,None,38%,0%,0%,0%,82%,53%,15%,42%,36%,49%,,,,,,,,,
18,Ajyal Islamic Centre,"181 Keefer Pl #202, Vancouver, BC V6B 6C1",Community center,49.2800746,-123.1266034,None,None,0%,2%,4%,3%,7%,8%,6%,11%,12%,12%,None,19%,76%,19%,20%,18%,14%,15%,26%,18%,16%,10%,None,None,0%,0%,1%,8%,5%,7%,10%,8%,11%,16%,None,17%,22%,48%,17%,18%,17%,16%,19%,26%,16%,10%,None,None,0%,2%,5%,3%,6%,8%,7%,14%,11%,14%,None,14%,18%,20%,28%,12%,14%,18%,13%,23%,18%,13%,None,None,0%,2%,6%,8%,4%,6%,11%,5%,24%,12%,None,20%,18%,16%,20%,22%,15%,14%,17%,14%,20%,12%,None,None,0%,1%,4%,9%,9%,4%,6%,12%,8%,51%,None,18%,19%,20%,13%,18%,20%,16%,17%,15%,10%,15%,None,None,0%,1%,2%,7%,10%,10%,6%,10%,15%,10%,None,17%,18%,20%,19%,11%,21%,21%,21%,18%,8%,6%,None,None,0%,5%,3%,4%,9%,7%,10%,10%,12%,15%,None,100%,19%,21%,20%,18%,11%,25%,21%,19%,17%,5%,16%,14%,18%,15%,16%,85%,16%,,,,,,,,
19,Gordon Neighbourhood House,"1019 Broughton St, Vancouver, BC V6G 2A7",Community center,49.2855712,-123.1517404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Bseen.Collective,"1110 Howe St, Vancouver, BC V6Z 1R2",Community center,49.2855712,-123.1517404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Alexander Street Community,"111 Princess Ave, Vancouver, BC V6A 1G8",Community center,49.2837866,-123.109777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Britannia Community Centre,"1661 Napier St, Vancouver, BC V5L 3X1",Community center,49.2741381,-123.0883683,None,None,None,None,None,None,0%,19%,None,27%,44%,40%,None,97%,46%,None,47%,67%,67%,None,0%,0%,None,0%,None,None,None,None,None,0%,None,0%,37%,None,26%,38%,None,None,82%,58%,None,39%,59%,65%,None,0%,0%,None,None,None,None,None,None,0%,30%,None,0%,52%,None,20%,None,45%,None,75%,72%,None,45%,60%,44%,None,0%,None,None,None,None,None,None,0%,6%,17%,None,0%,69%,None,None,26%,40%,None,69%,86%,None,56%,60%,0%,None,0%,None,None,None,None,None,None,5%,10%,19%,None,50%,76%,None,31%,34%,44%,None,65%,76%,None,68%,0%,0%,None,None,None,None,None,None,0%,None,12%,23%,16%,None,87%,None,None,44%,59%,46%,None,60%,65%,None,0%,0%,None,None,None,None,None,None,0%,17%,None,30%,38%,31%,None,None,59%,None,50%,59%,62%,None,0%,36%,None,0%,None,,48%,20%,18%,,68%,100%,,,,,,,,
23,Kitsilano Community Centre,"2690 Larch St, Vancouver, BC V6K 4K9",Community center,49.2617695,-123.1799769,None,None,None,None,None,None,0%,29%,45%,63%,56%,56%,None,97%,47%,76%,82%,79%,88%,82%,0%,52%,0%,0%,None,None,None,None,None,None,0%,0%,37%,48%,80%,56%,None,46%,98%,52%,84%,79%,76%,83%,69%,0%,0%,0%,None,None,None,None,None,None,0%,39%,47%,47%,55%,85%,None,60%,44%,100%,63%,89%,67%,76%,70%,44%,0%,0%,None,None,None,None,None,None,0%,32%,47%,66%,59%,55%,None,55%,66%,55%,95%,68%,87%,52%,69%,56%,0%,0%,None,None,None,None,None,None,0%,32%,39%,49%,80%,62%,None,83%,58%,74%,65%,83%,71%,84%,0%,55%,0%,0%,None,None,None,None,None,None,0%,0%,42%,47%,51%,90%,None,61%,84%,69%,84%,76%,73%,71%,75%,0%,0%,0%,None,None,None,None,None,None,0%,37%,43%,49%,53%,50%,None,48%,66%,82%,77%,89%,87%,53%,61%,57%,0%,0%,47%,58%,54%,86%,57%,59%,94%,,,,,,,,
24,John Braithwaite Community Centre,"145 W 1st St, North Vancouver, BC V7M 1B1",Community center,49.3124814,-123.0986876,None,None,None,None,None,None,0%,31%,46%,56%,94%,59%,None,89%,90%,84%,0%,71%,85%,80%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,44%,62%,86%,96%,None,63%,80%,92%,88%,0%,63%,72%,52%,0%,0%,0%,None,None,None,None,None,None,0%,30%,44%,59%,76%,89%,None,50%,60%,72%,89%,94%,0%,47%,53%,0%,0%,0%,None,None,None,None,None,None,0%,25%,50%,75%,73%,76%,None,68%,55%,71%,51%,80%,85%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,29%,38%,75%,92%,80%,None,65%,62%,69%,86%,0%,63%,74%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,46%,48%,93%,99%,None,78%,63%,65%,88%,98%,0%,59%,53%,0%,0%,0%,None,None,None,None,None,None,0%,31%,31%,71%,55%,88%,None,88%,80%,61%,72%,100%,93%,0%,52%,0%,0%,0%,75%,56%,82%,79%,79%,84%,92%,,,,,,,,
25,CanMar Events,"134 Abbott St #602, Vancouver, BC V6B 2K4",Event venue,49.2841762,-123.1240615,None,None,0%,7%,30%,None,0%,0%,15%,30%,15%,None,None,30%,38%,0%,30%,23%,None,0%,15%,7%,15%,0%,None,23%,None,15%,7%,None,0%,0%,7%,7%,46%,15%,None,0%,53%,38%,7%,15%,46%,None,7%,23%,0%,7%,None,23%,7%,None,0%,None,None,23%,7%,30%,0%,100%,None,None,0%,38%,38%,7%,0%,53%,None,23%,23%,0%,None,15%,23%,0%,None,None,0%,None,15%,0%,30%,0%,None,0%,None,0%,46%,53%,0%,0%,38%,None,46%,30%,None,7%,30%,7%,15%,None,0%,38%,None,0%,7%,30%,None,53%,0%,None,7%,15%,23%,0%,0%,38%,None,53%,None,30%,0%,15%,7%,None,0%,7%,23%,None,0%,15%,None,0%,53%,0%,None,0%,15%,23%,0%,0%,15%,None,None,15%,15%,7%,0%,None,0%,38%,15%,30%,None,0%,None,15%,0%,61%,7%,None,0%,23%,23%,7%,7%,15%,0%,,7%,69%,0%,15%,46%,,23%,7%,7%,0%,23%,38%,
26,WePress Community Arts Space,"9 W Hastings St, Vancouver, BC V6B 1G4",Learning center,49.2841762,-123.1240615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Britannia Information Centre,"1661 Napier St, Vancouver, BC V5L 4X4",Community center,49.275066,-123.0884476,None,None,None,None,None,None,0%,0%,38%,0%,17%,39%,None,66%,50%,61%,0%,39%,42%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,5%,50%,35%,13%,None,36%,63%,50%,69%,0%,38%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,16%,54%,60%,None,55%,48%,50%,69%,67%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,29%,33%,25%,47%,None,22%,51%,42%,29%,73%,47%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,30%,45%,76%,41%,None,54%,29%,39%,61%,0%,75%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,16%,32%,30%,80%,None,29%,58%,42%,32%,92%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,22%,36%,22%,None,61%,50%,57%,42%,38%,100%,0%,0%,0%,0%,0%,27%,41%,17%,58%,27%,60%,79%,,,,,,,,
28,The Chinese Freemasons,"116 E Pender St, Vancouver, BC V6A 1T3",Community center,49.2803115,-123.1198146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,YMCA Community Services & Int'l Dev,"955 Burrard Street, Vancouver, BC V6Z 1Y2",Social services organization,49.2819158,-123.1433912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Downtown Eastside Women's Centre,"302 Columbia St, Vancouver, BC V6A 4J1",Women's shelter,49.2821744,-123.1199946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Douglas Park Community Centre,"801 W 22nd Ave, Vancouver, BC V5Z 1Z8",Community center,49.251974,-123.140492,None,None,None,None,None,None,0%,12%,24%,32%,32%,36%,None,81%,43%,47%,0%,40%,38%,27%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,22%,37%,46%,40%,None,47%,69%,53%,56%,0%,26%,28%,15%,0%,0%,0%,None,None,None,None,None,None,0%,7%,0%,33%,40%,58%,None,35%,57%,55%,65%,55%,0%,15%,20%,0%,0%,0%,None,None,None,None,None,None,0%,9%,15%,65%,39%,38%,None,37%,34%,58%,0%,60%,46%,0%,10%,0%,0%,0%,None,None,None,None,None,None,0%,5%,19%,17%,90%,39%,None,57%,40%,35%,61%,0%,46%,37%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,13%,26%,26%,100%,None,34%,58%,41%,42%,51%,0%,28%,22%,0%,0%,0%,None,None,None,None,None,None,0%,11%,0%,22%,31%,30%,None,34%,41%,59%,46%,43%,39%,0%,23%,0%,0%,0%,44%,37%,45%,60%,36%,34%,95%,,,,,,,,
32,Robert Lee YMCA,"955 Burrard St, Vancouver, BC V6Z 1Y2",Fitness center,49.2819066,-123.1434666,None,None,None,None,None,15%,0%,None,40%,40%,47%,None,None,74%,None,54%,69%,87%,None,83%,0%,None,None,0%,None,None,None,None,0%,None,28%,23%,None,43%,39%,52%,None,46%,64%,None,62%,86%,86%,None,58%,0%,None,None,None,None,None,None,0%,14%,None,37%,41%,None,49%,41%,None,None,47%,56%,None,73%,93%,75%,None,34%,0%,None,None,None,None,None,0%,15%,26%,None,39%,60%,None,55%,None,55%,None,58%,51%,None,75%,82%,53%,None,None,0%,None,None,None,None,None,12%,29%,35%,None,42%,76%,None,None,43%,55%,None,77%,44%,None,62%,60%,30%,None,None,None,None,None,None,0%,None,24%,37%,40%,None,48%,84%,None,58%,45%,63%,None,97%,34%,None,44%,37%,None,None,None,None,None,None,0%,20%,None,35%,40%,44%,None,50%,None,None,54%,54%,75%,None,100%,0%,None,26%,0%,None,50%,,55%,42%,60%,,83%,,,,,,,,
33,Trout Lake Community Centre,"3360 Victoria Dr, Vancouver, BC V5N 4M4",Community center,49.2553604,-123.0833694,None,None,None,None,None,None,0%,0%,0%,59%,45%,55%,None,97%,55%,69%,74%,62%,71%,73%,0%,46%,0%,0%,None,None,None,None,None,None,0%,0%,0%,34%,88%,55%,None,80%,91%,57%,77%,0%,58%,67%,57%,0%,0%,0%,None,None,None,None,None,None,0%,0%,33%,29%,46%,100%,None,55%,75%,79%,57%,86%,0%,47%,56%,38%,0%,0%,None,None,None,None,None,None,0%,0%,0%,57%,40%,55%,None,62%,57%,76%,66%,59%,83%,0%,36%,39%,0%,0%,None,None,None,None,None,None,0%,0%,0%,41%,79%,50%,None,93%,60%,65%,77%,0%,62%,73%,0%,29%,0%,0%,None,None,None,None,None,None,0%,0%,0%,34%,60%,93%,None,60%,90%,60%,69%,81%,0%,64%,56%,0%,0%,0%,None,None,None,None,None,None,0%,0%,33%,34%,47%,76%,None,56%,62%,89%,63%,72%,79%,0%,60%,39%,0%,0%,81%,55%,60%,98%,57%,54%,97%,,,,,,,,
34,Manitoba Corner Community,"2859 Manitoba St, Vancouver, BC V5Y 3B3",Community center,49.2597012,-123.1251969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Mount Pleasant Community Fridge,"273 E 4th Ave, Vancouver, BC V5T 1G6",Community center,49.2597012,-123.1251969,None,20%,70%,10%,10%,20%,50%,20%,30%,0%,10%,80%,None,60%,10%,0%,0%,20%,10%,0%,40%,30%,80%,20%,None,40%,20%,70%,10%,10%,20%,40%,20%,30%,20%,0%,None,0%,40%,20%,0%,10%,20%,30%,0%,30%,10%,60%,None,0%,60%,20%,30%,0%,20%,30%,50%,10%,40%,30%,None,10%,0%,10%,50%,0%,30%,0%,40%,10%,30%,10%,None,30%,0%,20%,20%,60%,0%,50%,40%,30%,30%,40%,None,50%,0%,10%,0%,40%,10%,20%,10%,10%,20%,40%,None,40%,40%,10%,10%,20%,30%,10%,30%,30%,60%,60%,None,10%,100%,0%,0%,0%,50%,30%,30%,0%,0%,70%,None,40%,40%,20%,10%,20%,10%,10%,10%,40%,10%,60%,None,10%,0%,70%,0%,0%,10%,60%,80%,70%,30%,0%,None,100%,30%,10%,50%,30%,40%,10%,0%,20%,70%,10%,None,10%,0%,0%,60%,0%,0%,20%,30%,70%,30%,40%,0%,40%,20%,30%,30%,30%,100%,,60%,0%,50%,10%,40%,80%,10%
