index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.
11,cafeclub.ca (cafeclub.),"1018 W Georgia St, Vancouver, BC V6E 2Y2",Coffee shop,49.2846815,-123.139865,None,None,None,None,None,None,0%,0%,43%,31%,28%,46%,None,40%,46%,28%,0%,15%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,9%,56%,31%,18%,None,34%,56%,46%,6%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,37%,18%,25%,81%,37%,None,78%,18%,50%,50%,6%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,18%,71%,9%,37%,68%,None,15%,100%,12%,0%,28%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,21%,25%,68%,0%,15%,None,25%,28%,75%,18%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,46%,46%,43%,6%,None,81%,31%,40%,46%,9%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,18%,40%,50%,37%,40%,None,18%,62%,21%,18%,18%,0%,0%,0%,0%,0%,0%,43%,71%,9%,37%,75%,12%,18%,,,,,,,,
12,Giovane Caffè,"1049 W Cordova St, Vancouver, BC V6C 0B9",Cafe,49.2846815,-123.139865,None,None,None,None,None,None,0%,41%,19%,35%,6%,16%,None,29%,38%,67%,3%,41%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,9%,58%,12%,12%,6%,None,19%,45%,51%,64%,16%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,25%,35%,61%,12%,9%,None,41%,45%,70%,29%,41%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,38%,9%,74%,32%,22%,None,35%,54%,32%,77%,22%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,16%,54%,0%,100%,22%,None,6%,41%,38%,38%,48%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,51%,25%,64%,0%,87%,None,32%,3%,67%,45%,25%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,16%,45%,12%,32%,0%,None,41%,51%,0%,58%,61%,0%,0%,0%,0%,0%,0%,9%,19%,12%,12%,19%,29%,41%,,,,,,,,
13,Caffè Super Veloce,"1067 W Cordova St #150, Vancouver, BC V6C 1C7",Coffee shop,49.2846815,-123.139865,None,None,None,None,None,None,0%,0%,21%,33%,27%,11%,None,74%,3%,35%,0%,15%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,27%,80%,23%,None,52%,66%,1%,27%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,21%,0%,0%,25%,100%,None,13%,43%,0%,0%,27%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,35%,9%,35%,0%,27%,None,7%,27%,15%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,33%,25%,3%,39%,1%,None,62%,1%,37%,15%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,39%,21%,13%,56%,None,35%,49%,0%,37%,15%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,17%,0%,25%,9%,33%,None,9%,43%,0%,3%,37%,0%,0%,0%,0%,0%,0%,64%,7%,21%,94%,27%,3%,70%,,,,,,,,
14,Aiyaohno Cafe,"425 Carrall St, Vancouver, BC V6B 6E3",Cafe,49.2811762,-123.1226705,None,None,None,None,None,None,None,None,4%,3%,None,22%,None,None,None,16%,8%,None,0%,0%,None,None,0%,0%,None,None,None,None,None,None,0%,None,None,3%,10%,None,None,30%,None,None,16%,0%,None,0%,0%,None,None,0%,None,None,None,None,None,None,0%,3%,None,None,5%,16%,None,33%,32%,None,None,0%,0%,None,0%,0%,None,None,None,None,None,None,None,None,None,1%,1%,None,None,13%,None,None,29%,30%,None,None,0%,0%,None,0%,0%,None,None,None,None,None,None,None,0%,None,6%,1%,None,None,None,25%,None,20%,17%,None,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,2%,None,13%,5%,None,None,26%,23%,None,12%,0%,None,None,0%,0%,None,0%,None,None,None,None,None,None,None,2%,1%,None,18%,11%,None,None,24%,13%,None,0%,0%,None,None,0%,0%,None,19%,30%,,26%,25%,,,,,,,,,,
15,Monaco Cafe,"356 Water St, Vancouver, BC V6B 1B6",Coffee shop,49.2811762,-123.1226705,None,59%,None,None,None,None,None,0%,6%,13%,26%,37%,None,None,36%,24%,36%,16%,32%,26%,None,16%,12%,0%,None,11%,None,None,None,None,0%,None,2%,11%,11%,27%,None,17%,None,35%,27%,39%,26%,46%,25%,None,8%,0%,None,None,None,None,None,None,0%,8%,None,7%,11%,13%,None,41%,16%,None,36%,27%,36%,36%,64%,17%,None,0%,None,None,None,None,None,None,0%,6%,8%,None,17%,15%,None,25%,44%,25%,None,24%,21%,26%,34%,81%,11%,None,None,None,None,None,None,None,0%,1%,16%,15%,None,16%,None,24%,22%,48%,30%,None,24%,18%,21%,34%,96%,0%,None,None,None,None,None,None,0%,12%,8%,21%,16%,None,None,26%,30%,17%,41%,30%,None,18%,10%,8%,26%,100%,None,None,None,None,None,None,0%,5%,8%,16%,29%,21%,None,20%,25%,36%,15%,35%,29%,None,17%,8%,5%,24%,21%,41%,22%,17%,22%,18%,,,13%,,,,,,77%
16,Railtown Café,"968 Howe St, Vancouver, BC V6Z 1N9",Cafe,49.2802559,-123.1412676,None,None,None,None,None,None,None,18%,6%,39%,None,60%,None,None,42%,42%,0%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,30%,12%,45%,None,None,45%,None,36%,21%,0%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,9%,None,21%,27%,78%,None,78%,24%,None,24%,0%,0%,None,0%,0%,None,0%,None,None,None,None,None,None,None,3%,9%,None,33%,57%,None,None,72%,9%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,None,0%,None,15%,12%,None,54%,None,60%,None,57%,6%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,15%,None,24%,27%,None,None,90%,27%,None,45%,0%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,3%,27%,None,39%,60%,None,60%,72%,9%,None,0%,0%,None,0%,0%,0%,None,63%,78%,,75%,100%,63%,,,,,,,,,
17,Ovaltine Cafe,"251 E Hastings St, Vancouver, BC V6A 1P2",Restaurant,49.2814962,-123.1164142,None,None,None,None,None,None,0%,0%,20%,20%,85%,46%,None,97%,53%,14%,46%,24%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,28%,36%,28%,97%,None,51%,85%,38%,16%,20%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,20%,48%,48%,44%,None,61%,38%,57%,34%,18%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,22%,36%,59%,65%,None,93%,51%,20%,38%,24%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,12%,34%,48%,77%,None,69%,79%,38%,18%,16%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,38%,14%,48%,65%,None,42%,75%,63%,26%,16%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,12%,59%,24%,57%,None,65%,22%,59%,38%,16%,0%,0%,0%,0%,0%,0%,65%,61%,100%,61%,57%,77%,89%,,,,,,,,
18,Waves Coffee House - Hastings,"492 W Hastings St, Vancouver, BC V6B 1L1",Coffee shop,49.2838472,-123.1299652,None,None,None,None,None,None,0%,2%,13%,9%,12%,8%,None,100%,9%,20%,0%,15%,4%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,5%,13%,10%,10%,None,6%,96%,13%,15%,0%,5%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,13%,25%,11%,6%,15%,None,9%,8%,85%,11%,13%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,6%,10%,35%,12%,7%,None,31%,11%,11%,63%,18%,10%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,11%,9%,6%,59%,12%,None,19%,28%,10%,11%,0%,8%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,17%,7%,4%,85%,None,17%,17%,29%,13%,7%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,9%,4%,14%,5%,4%,None,14%,19%,12%,20%,7%,3%,0%,0%,0%,0%,0%,3%,10%,15%,17%,10%,11%,95%,,,,,,,,
19,Nemesis Coffee Gastown,"302 W Hastings St, Vancouver, BC V6B 2N4",Cafe,49.2838472,-123.1299652,None,None,None,None,None,None,0%,0%,24%,60%,54%,40%,None,78%,40%,29%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,27%,32%,84%,54%,None,50%,64%,28%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,42%,39%,35%,95%,None,46%,43%,46%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,20%,62%,48%,37%,None,55%,43%,28%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,18%,34%,78%,51%,None,89%,53%,35%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,27%,26%,46%,84%,None,43%,70%,43%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,34%,43%,34%,54%,None,48%,40%,53%,0%,0%,0%,0%,0%,0%,0%,0%,53%,43%,53%,100%,40%,52%,84%,,,,,,,,
20,Honolulu Coffee,"888 Nelson St g1, Vancouver, BC V6Z 2H1",Coffee shop,49.2799401,-123.1430373,None,None,None,None,None,None,0%,12%,19%,30%,18%,31%,None,76%,38%,34%,63%,45%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,9%,28%,25%,40%,30%,None,29%,92%,36%,30%,50%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,9%,12%,37%,33%,48%,None,27%,32%,100%,34%,27%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,5%,17%,23%,45%,39%,None,40%,25%,30%,89%,28%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,11%,24%,35%,41%,None,53%,43%,22%,30%,61%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,10%,2%,17%,30%,45%,None,36%,60%,44%,18%,29%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,18%,22%,8%,29%,29%,None,39%,35%,68%,47%,14%,0%,0%,0%,0%,0%,0%,31%,31%,38%,48%,37%,43%,57%,,,,,,,,
21,Little Cafe on Robson,"1258 Robson St, Vancouver, BC V6E 1C2",Coffee shop,49.2799401,-123.1430373,None,None,None,None,None,None,0%,0%,9%,30%,31%,30%,None,92%,42%,43%,95%,55%,41%,0%,65%,0%,0%,0%,None,None,None,None,None,None,0%,0%,3%,15%,48%,40%,None,64%,100%,38%,47%,83%,61%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,15%,7%,22%,55%,None,45%,58%,97%,41%,51%,60%,61%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,12%,30%,19%,32%,None,50%,41%,47%,88%,46%,43%,0%,45%,0%,0%,0%,None,None,None,None,None,None,0%,0%,7%,23%,47%,33%,None,76%,49%,41%,42%,91%,41%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,11%,11%,34%,66%,None,40%,88%,46%,44%,38%,91%,30%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,15%,22%,19%,44%,None,49%,39%,91%,47%,46%,36%,86%,18%,0%,0%,0%,60%,43%,50%,66%,38%,47%,84%,,,,,,,,
22,Artigiano Pender,"1101 W Pender St, Vancouver, BC V6E 2V2",Cafe,49.2799401,-123.1430373,None,None,None,None,None,None,0%,3%,None,37%,15%,25%,None,15%,28%,None,6%,3%,0%,None,0%,0%,None,0%,None,None,None,None,None,0%,None,84%,6%,None,12%,43%,None,None,18%,25%,None,12%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,65%,None,46%,6%,None,3%,None,6%,None,21%,9%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,46%,31%,None,37%,6%,None,None,100%,9%,None,25%,3%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,37%,43%,18%,None,12%,21%,None,0%,50%,21%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,53%,25%,6%,None,12%,None,None,3%,21%,43%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,53%,9%,12%,None,None,34%,None,0%,3%,31%,None,0%,0%,None,0%,None,,12%,93%,0%,,25%,18%,,,,,,,,
23,Cafe Villaggio,"1506 Coal Harbour Quay, Vancouver, BC V6G 3G1",Cafe,49.2912358,-123.1459025,None,None,None,None,None,None,0%,18%,44%,59%,85%,53%,None,82%,33%,34%,76%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,26%,34%,50%,95%,78%,None,42%,79%,37%,17%,52%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,31%,46%,49%,44%,100%,None,42%,36%,78%,24%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,26%,50%,62%,52%,43%,None,55%,33%,17%,50%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,26%,43%,60%,81%,43%,None,92%,43%,26%,17%,31%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,13%,46%,59%,60%,85%,None,52%,98%,34%,24%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,31%,27%,65%,62%,60%,None,27%,47%,92%,23%,0%,0%,0%,0%,0%,0%,0%,59%,57%,72%,98%,47%,36%,78%,,,,,,,,
24,Trees Organic Coffee,"450 Granville St, Vancouver, BC V6C 1V4",Cafe,49.2848419,-123.1323565,None,None,None,None,None,None,0%,28%,33%,14%,34%,65%,None,52%,65%,85%,64%,73%,40%,49%,38%,61%,0%,0%,None,None,None,None,None,None,0%,0%,36%,41%,17%,42%,None,60%,62%,69%,81%,52%,81%,42%,48%,26%,0%,0%,None,None,None,None,None,None,0%,14%,4%,41%,41%,30%,None,64%,53%,68%,72%,85%,34%,97%,44%,36%,0%,0%,None,None,None,None,None,None,0%,18%,21%,6%,48%,60%,None,42%,49%,52%,70%,89%,80%,30%,100%,24%,0%,0%,None,None,None,None,None,None,0%,4%,41%,42%,14%,44%,None,56%,48%,52%,54%,58%,100%,66%,22%,93%,0%,0%,None,None,None,None,None,None,0%,0%,12%,60%,48%,29%,None,68%,60%,60%,42%,56%,54%,100%,41%,21%,0%,0%,None,None,None,None,None,None,0%,28%,4%,28%,54%,57%,None,66%,74%,66%,70%,48%,49%,42%,82%,25%,0%,0%,65%,58%,46%,37%,62%,52%,34%,,,,,,,,
25,JJ Bean Coffee Roasters,"1188 Alberni St, Vancouver, BC V6E 1A5",Cafe,49.2863914,-123.1437684,None,None,None,None,None,None,0%,47%,None,54%,81%,54%,None,90%,56%,None,45%,4%,0%,None,0%,0%,None,0%,None,None,None,None,None,0%,None,25%,65%,None,54%,68%,None,None,100%,38%,None,31%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,31%,None,36%,81%,None,59%,None,36%,None,84%,25%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,47%,56%,None,63%,70%,None,None,20%,25%,None,61%,34%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,34%,61%,75%,None,79%,65%,None,84%,11%,15%,None,25%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,56%,70%,77%,None,65%,None,None,75%,6%,11%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,18%,None,70%,77%,63%,None,None,65%,None,50%,9%,11%,None,0%,0%,None,0%,None,,45%,43%,77%,,59%,81%,,,,,,,,
26,Deville Coffee,"333 Seymour St, Vancouver, BC V6B 5A6",Cafe,49.2853211,-123.1302483,None,None,None,None,None,None,0%,42%,33%,33%,31%,50%,None,87%,40%,33%,46%,30%,28%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,46%,36%,37%,33%,None,43%,100%,50%,28%,19%,16%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,6%,16%,37%,36%,51%,None,37%,34%,89%,56%,33%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,21%,16%,25%,40%,40%,None,57%,48%,27%,74%,46%,28%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,45%,37%,27%,36%,39%,None,68%,59%,56%,36%,53%,21%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,59%,57%,36%,48%,None,45%,65%,57%,59%,31%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,30%,18%,50%,59%,46%,None,45%,37%,59%,46%,37%,19%,0%,0%,0%,0%,0%,53%,42%,40%,57%,48%,51%,69%,,,,,,,,
27,Railtown Café,"429 Granville St, Vancouver, BC V6C 1T2",Cafe,49.2853211,-123.1302483,None,None,None,None,None,None,0%,2%,23%,0%,44%,69%,None,41%,55%,18%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,11%,30%,9%,58%,None,53%,34%,30%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,16%,0%,16%,27%,13%,None,88%,53%,27%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,6%,11%,0%,32%,39%,None,86%,65%,34%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,25%,16%,4%,76%,48%,None,34%,55%,30%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,46%,25%,6%,83%,None,69%,25%,48%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,20%,0%,53%,37%,18%,None,69%,48%,20%,0%,0%,0%,0%,0%,0%,0%,0%,44%,100%,97%,30%,67%,74%,60%,,,,,,,,
28,Melriches Coffeehouse,"1244 Davie St, Vancouver, BC V6E 1N3",Coffee shop,49.2822647,-123.1524237,None,None,None,None,None,None,0%,20%,None,36%,35%,46%,None,93%,40%,None,48%,11%,5%,None,0%,0%,None,0%,None,None,None,None,None,0%,None,35%,26%,None,40%,35%,None,None,100%,25%,None,38%,6%,0%,None,0%,0%,None,None,None,None,None,None,0%,15%,None,45%,30%,None,38%,None,35%,None,90%,25%,None,21%,0%,0%,None,0%,None,None,None,None,None,None,0%,11%,35%,None,48%,38%,None,None,36%,41%,None,75%,31%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,6%,15%,50%,None,60%,38%,None,21%,36%,48%,None,56%,23%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,18%,31%,51%,None,61%,None,None,26%,35%,36%,None,40%,0%,None,0%,0%,None,None,None,None,None,None,0%,20%,None,31%,33%,48%,None,None,46%,None,38%,25%,18%,None,0%,0%,None,0%,None,,33%,33%,30%,,50%,80%,,,,,,,,
29,Beyond Coffee,"1015 Burrard St, Vancouver, BC V6Z 1Y5",Coffee shop,49.2822647,-123.1524237,None,None,None,None,None,None,0%,22%,7%,18%,0%,0%,None,51%,22%,55%,40%,51%,7%,25%,0%,0%,0%,0%,None,None,None,None,None,None,0%,3%,40%,14%,11%,0%,None,18%,48%,37%,40%,44%,37%,7%,0%,0%,0%,0%,None,None,None,None,None,None,0%,29%,0%,33%,11%,14%,None,11%,51%,40%,29%,51%,25%,22%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,29%,0%,33%,14%,None,3%,25%,59%,14%,22%,22%,14%,0%,0%,0%,0%,None,None,None,None,None,None,0%,14%,3%,14%,7%,11%,None,33%,18%,22%,100%,7%,33%,11%,0%,0%,0%,0%,None,None,None,None,None,None,0%,18%,7%,11%,14%,25%,None,25%,22%,40%,14%,74%,7%,14%,0%,0%,0%,0%,None,None,None,None,None,None,0%,3%,40%,0%,3%,22%,None,14%,25%,37%,59%,14%,48%,7%,0%,0%,0%,0%,18%,3%,0%,33%,11%,7%,44%,,,,,,,,
30,Pistachio Sweetery Cafe,"686 Seymour St, Vancouver, BC V6B 3K3",Coffee shop,49.2820402,-123.1346462,None,None,None,None,None,None,0%,0%,0%,0%,0%,28%,None,55%,50%,40%,37%,61%,55%,28%,59%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,40%,None,47%,59%,31%,34%,29%,82%,44%,0%,37%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,10%,None,64%,37%,59%,38%,50%,0%,85%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,40%,None,82%,58%,23%,79%,44%,41%,0%,76%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,53%,None,34%,74%,56%,25%,88%,47%,40%,0%,49%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,28%,None,56%,41%,55%,55%,29%,100%,31%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,32%,None,68%,44%,32%,52%,56%,34%,80%,0%,0%,0%,0%,47%,56%,68%,29%,59%,74%,44%,,,,,,,,
31,Time Out Cafe,"1150 Melville St, Vancouver, BC V6E 4S3",Cafe,49.2820402,-123.1346462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
