index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times
32,Burrard Stn Bay 7,"Vancouver, BC V6C 3L1",Bus stop,49.2807793,-123.1386113,None,37%,0%,37%,50%,0%,0%,12%,0%,0%,87%,62%,None,50%,12%,12%,12%,37%,0%,25%,37%,25%,0%,0%,None,0%,12%,0%,0%,37%,0%,0%,37%,12%,12%,62%,None,62%,62%,50%,12%,12%,87%,12%,12%,37%,25%,0%,None,12%,0%,12%,0%,0%,50%,12%,0%,37%,0%,25%,None,62%,100%,37%,50%,37%,0%,100%,12%,0%,62%,25%,None,0%,25%,0%,0%,0%,0%,50%,50%,0%,12%,12%,None,62%,25%,50%,50%,37%,75%,12%,50%,0%,0%,87%,None,37%,0%,12%,37%,0%,12%,12%,50%,37%,12%,0%,None,0%,50%,25%,25%,12%,12%,37%,0%,12%,0%,0%,None,75%,37%,0%,12%,12%,0%,37%,37%,25%,50%,25%,None,50%,12%,12%,25%,12%,0%,0%,12%,0%,12%,0%,None,0%,100%,50%,0%,12%,0%,0%,12%,87%,37%,37%,None,0%,25%,25%,12%,25%,12%,12%,12%,0%,0%,25%,37%,12%,75%,0%,0%,75%,50%,12%,25%,62%,0%,0%,12%,75%,
33,Rosedale on Robson Suite Hotel - Lot #971,"838 Hamilton St, Vancouver, BC V6B 5W4",Parking garage,49.2807793,-123.1386113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7-Eleven,"310 Robson St & Hamilton, Vancouver, BC V6B 2B2",Convenience store,49.2807793,-123.1386113,None,25%,0%,6%,43%,0%,18%,56%,6%,18%,6%,25%,None,50%,18%,0%,31%,12%,18%,12%,68%,37%,43%,43%,None,18%,37%,0%,0%,37%,6%,12%,43%,0%,25%,6%,None,18%,75%,12%,0%,6%,12%,31%,12%,68%,37%,68%,None,56%,12%,31%,12%,6%,50%,12%,18%,43%,0%,25%,None,18%,25%,75%,25%,0%,6%,18%,18%,18%,37%,56%,None,37%,37%,6%,18%,18%,6%,75%,31%,43%,50%,6%,None,0%,12%,18%,100%,18%,6%,18%,31%,18%,6%,25%,None,18%,31%,25%,43%,6%,31%,0%,62%,31%,56%,62%,None,12%,0%,12%,31%,75%,25%,25%,43%,68%,12%,0%,None,12%,18%,37%,12%,37%,6%,50%,0%,43%,43%,62%,None,6%,37%,0%,25%,18%,43%,18%,18%,18%,43%,18%,None,0%,6%,25%,0%,12%,56%,12%,31%,0%,31%,37%,None,50%,0%,31%,6%,18%,31%,56%,25%,31%,25%,50%,25%,31%,43%,75%,75%,0%,25%,18%,18%,25%,43%,0%,37%,43%,
35,Vancouver Bus Terminal,"Vancouver, BC V6A 4C7",Bus station,49.2736106,-123.1160432,None,25%,33%,25%,0%,16%,25%,16%,58%,91%,16%,16%,None,33%,16%,25%,33%,16%,25%,0%,0%,0%,8%,16%,None,33%,8%,16%,16%,8%,0%,33%,16%,50%,50%,41%,None,33%,25%,8%,8%,41%,16%,8%,8%,8%,8%,16%,None,0%,66%,0%,16%,0%,16%,16%,16%,33%,83%,33%,None,8%,8%,25%,16%,0%,58%,16%,0%,16%,0%,25%,None,8%,8%,33%,25%,25%,8%,8%,41%,8%,16%,33%,None,16%,8%,0%,41%,41%,8%,25%,16%,0%,33%,0%,None,33%,8%,25%,0%,16%,41%,16%,0%,50%,0%,16%,None,8%,8%,25%,8%,66%,41%,0%,8%,16%,8%,25%,None,0%,16%,8%,16%,8%,16%,83%,16%,0%,41%,8%,None,8%,8%,16%,33%,16%,25%,16%,0%,0%,33%,25%,None,50%,8%,8%,16%,25%,8%,33%,100%,8%,0%,66%,None,16%,33%,16%,41%,50%,8%,8%,8%,0%,8%,25%,66%,25%,25%,8%,8%,16%,25%,25%,16%,0%,25%,33%,16%,16%,
36,EB Davie St @ Nicola St,"Vancouver, BC V6G 2Y6",Bus stop,49.284219,-123.1552844,None,29%,23%,17%,0%,23%,5%,35%,29%,17%,5%,11%,None,23%,5%,35%,11%,17%,11%,29%,17%,17%,0%,5%,None,0%,17%,17%,5%,5%,17%,11%,17%,17%,17%,0%,None,41%,23%,5%,29%,5%,47%,17%,52%,23%,5%,0%,None,5%,0%,5%,0%,11%,17%,17%,29%,17%,0%,11%,None,29%,41%,23%,17%,35%,5%,64%,5%,100%,17%,5%,None,23%,5%,0%,11%,0%,11%,23%,11%,11%,11%,0%,None,11%,29%,23%,11%,47%,35%,11%,58%,5%,70%,17%,None,23%,17%,0%,29%,23%,0%,17%,17%,11%,11%,17%,None,5%,29%,35%,5%,11%,52%,41%,11%,35%,11%,70%,None,35%,17%,17%,11%,35%,23%,0%,35%,5%,11%,5%,None,29%,11%,11%,11%,5%,11%,64%,11%,0%,17%,23%,None,23%,23%,17%,17%,5%,29%,47%,5%,17%,5%,17%,None,5%,47%,23%,11%,5%,11%,29%,47%,11%,0%,5%,41%,0%,23%,0%,5%,5%,11%,5%,11%,35%,17%,35%,23%,5%,
37,UBC Extended Learning Downtown,"800 Robson St #1.800, Vancouver, BC V6Z 3B7",Academic department,49.2829261,-123.1384139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Tim Hortons,"463 Robson St, Vancouver, BC V6B 6L9",Coffee shop,49.2829261,-123.1384139,None,None,None,None,None,None,0%,35%,None,37%,37%,33%,None,80%,91%,None,48%,44%,31%,None,0%,0%,None,0%,None,None,None,None,None,0%,None,33%,48%,None,44%,37%,None,None,86%,93%,None,48%,20%,42%,None,0%,0%,None,None,None,None,None,None,0%,8%,None,48%,71%,None,55%,None,40%,None,88%,100%,None,51%,11%,0%,None,0%,None,None,None,None,None,None,0%,44%,8%,None,42%,68%,None,None,73%,57%,None,84%,86%,None,44%,0%,0%,None,0%,None,None,None,None,None,None,0%,42%,20%,None,51%,66%,None,60%,57%,84%,None,86%,53%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,24%,37%,37%,None,46%,None,None,46%,73%,66%,None,80%,26%,None,0%,0%,None,None,None,None,None,None,0%,20%,None,40%,35%,35%,None,None,86%,None,40%,46%,48%,None,64%,0%,None,0%,None,,,31%,,,60%,,75%,,,80%,,,80%,
39,L'Hermitage - Lot #2263,"788 Richards St, Vancouver, BC V6B 3A4",Parking garage,49.2829261,-123.1384139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Waterfront station,"Vancouver, BC V6C 2R6",Transport interchange,49.2829261,-123.1384139,None,29%,37%,4%,12%,66%,50%,20%,58%,33%,16%,8%,None,70%,0%,4%,16%,37%,25%,12%,37%,0%,33%,0%,None,33%,20%,29%,29%,25%,29%,29%,12%,50%,29%,25%,None,41%,54%,0%,8%,16%,29%,16%,12%,29%,16%,12%,None,12%,33%,16%,54%,33%,25%,12%,29%,16%,20%,37%,None,29%,50%,66%,0%,4%,4%,8%,12%,20%,37%,37%,None,0%,29%,33%,0%,62%,33%,41%,0%,37%,8%,4%,None,58%,54%,29%,54%,0%,12%,0%,8%,4%,29%,37%,None,37%,0%,70%,12%,0%,25%,29%,20%,8%,62%,4%,None,25%,87%,41%,33%,37%,0%,37%,0%,8%,12%,54%,None,8%,16%,0%,20%,25%,8%,20%,16%,8%,20%,62%,None,12%,12%,50%,25%,29%,29%,0%,66%,0%,4%,25%,None,79%,4%,4%,37%,29%,16%,25%,16%,12%,4%,45%,None,0%,4%,4%,58%,16%,25%,45%,0%,66%,0%,4%,33%,16%,29%,0%,0%,66%,75%,54%,8%,29%,0%,100%,50%,75%,
41,EB Johnson St @ Robson Dr,"Coquitlam, BC V3E 2T1",Bus stop,49.300889,-122.8131744,None,15%,5%,0%,10%,15%,100%,5%,10%,5%,20%,35%,None,0%,20%,20%,25%,30%,10%,0%,5%,35%,10%,25%,None,10%,5%,0%,15%,15%,25%,90%,5%,10%,0%,5%,None,30%,5%,20%,15%,10%,20%,5%,5%,15%,25%,20%,None,40%,5%,0%,0%,5%,35%,35%,65%,10%,15%,10%,None,50%,60%,10%,10%,20%,0%,10%,0%,0%,20%,30%,None,15%,20%,5%,5%,5%,10%,30%,20%,65%,25%,20%,None,0%,25%,35%,5%,15%,15%,0%,0%,10%,0%,20%,None,15%,25%,10%,0%,0%,10%,25%,20%,20%,35%,20%,None,50%,5%,25%,15%,0%,25%,20%,5%,0%,35%,0%,None,20%,5%,10%,20%,5%,0%,25%,45%,15%,30%,15%,None,5%,45%,10%,5%,0%,0%,50%,10%,15%,5%,45%,None,0%,10%,0%,0%,50%,15%,5%,10%,40%,10%,15%,None,15%,10%,40%,25%,5%,5%,0%,30%,15%,30%,15%,20%,25%,40%,25%,15%,0%,15%,20%,5%,25%,25%,0%,40%,0%,
42,WB Johnson St @ Robson Dr,"Coquitlam, BC V3E 2T1",Bus stop,49.301041,-122.8121314,None,28%,0%,28%,28%,21%,42%,21%,21%,0%,28%,14%,None,0%,0%,35%,0%,14%,14%,0%,28%,0%,14%,28%,None,14%,42%,0%,0%,14%,42%,21%,7%,14%,0%,21%,None,7%,0%,0%,14%,0%,7%,7%,0%,21%,7%,14%,None,50%,7%,42%,21%,0%,14%,57%,0%,0%,21%,14%,None,14%,21%,0%,0%,21%,14%,0%,7%,14%,21%,21%,None,28%,28%,0%,7%,50%,0%,35%,42%,0%,0%,57%,None,28%,14%,21%,0%,0%,14%,14%,0%,14%,28%,35%,None,28%,14%,21%,14%,21%,42%,7%,14%,42%,0%,0%,None,64%,14%,7%,7%,0%,0%,14%,28%,7%,21%,57%,None,7%,14%,0%,28%,28%,28%,28%,14%,7%,42%,0%,None,100%,50%,7%,14%,0%,7%,0%,35%,14%,14%,35%,None,14%,7%,7%,7%,50%,35%,35%,14%,35%,14%,21%,None,0%,64%,21%,14%,14%,0%,14%,0%,14%,21%,7%,14%,7%,35%,35%,35%,14%,21%,28%,85%,14%,0%,28%,42%,0%,
43,EB Plateau Blvd @ Robson Dr,"Coquitlam, BC V3E 2T1",Bus stop,49.301041,-122.8121314,None,46%,23%,7%,7%,23%,0%,53%,0%,30%,7%,38%,None,7%,53%,0%,7%,7%,15%,61%,7%,46%,0%,15%,None,46%,7%,53%,15%,0%,30%,0%,23%,0%,23%,0%,None,15%,7%,46%,7%,30%,0%,15%,53%,23%,30%,0%,None,38%,30%,0%,38%,7%,7%,15%,15%,7%,0%,7%,None,23%,7%,23%,15%,0%,30%,0%,38%,23%,7%,61%,None,0%,38%,38%,0%,23%,7%,15%,7%,38%,0%,0%,None,7%,7%,7%,46%,15%,7%,7%,7%,38%,7%,7%,None,53%,0%,30%,30%,0%,30%,0%,15%,0%,61%,0%,None,0%,15%,0%,15%,23%,30%,23%,0%,23%,53%,0%,None,53%,23%,0%,0%,38%,0%,7%,7%,7%,0%,61%,None,0%,0%,30%,0%,53%,7%,61%,15%,7%,53%,100%,None,7%,23%,38%,38%,0%,30%,7%,7%,15%,30%,0%,None,23%,7%,0%,15%,0%,53%,7%,38%,0%,15%,46%,7%,30%,46%,15%,0%,0%,46%,0%,0%,23%,7%,0%,53%,30%,
44,BCLIQUOR Harbour Centre,"HARBOUR CENTRE, 555 W Hastings St L1, Vancouver, BC V6B 4N6",Liquor store,49.2849831,-123.1296188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,NB Pinetree Way @ Robson Dr,"Coquitlam, BC V3E 2T6",Bus stop,49.298883,-122.8047854,None,0%,0%,0%,0%,33%,44%,33%,33%,0%,11%,66%,None,22%,0%,11%,22%,44%,0%,11%,22%,66%,66%,11%,None,11%,0%,0%,22%,22%,55%,44%,22%,22%,11%,0%,None,0%,44%,0%,22%,33%,33%,0%,0%,55%,33%,44%,None,55%,0%,0%,33%,22%,44%,77%,44%,0%,22%,22%,None,11%,0%,33%,0%,22%,66%,33%,11%,11%,88%,22%,None,0%,22%,11%,11%,44%,33%,55%,55%,33%,11%,55%,None,11%,0%,0%,44%,11%,0%,44%,66%,0%,11%,100%,None,44%,11%,22%,33%,0%,11%,66%,33%,33%,44%,44%,None,11%,22%,0%,0%,44%,22%,0%,55%,55%,0%,33%,None,33%,33%,0%,11%,55%,0%,0%,44%,33%,0%,22%,None,11%,33%,22%,0%,11%,33%,33%,11%,44%,77%,0%,None,11%,0%,44%,11%,22%,33%,22%,0%,33%,55%,0%,None,11%,0%,44%,22%,0%,22%,33%,77%,22%,11%,66%,0%,33%,44%,22%,22%,11%,22%,11%,22%,44%,44%,33%,0%,22%,
46,SB Pinetree Way @ Robson Dr,"Coquitlam, BC V3E 2X6",Bus stop,49.298883,-122.8047854,None,0%,5%,23%,11%,47%,70%,0%,70%,5%,11%,0%,None,11%,76%,35%,17%,47%,35%,100%,11%,17%,5%,41%,None,0%,5%,23%,29%,23%,23%,58%,5%,47%,0%,5%,None,17%,11%,94%,11%,5%,41%,35%,52%,5%,5%,11%,None,17%,5%,0%,5%,11%,52%,17%,58%,11%,17%,0%,None,17%,11%,11%,52%,5%,0%,29%,29%,23%,11%,5%,None,5%,5%,11%,23%,17%,5%,41%,17%,29%,11%,0%,None,11%,41%,11%,5%,35%,17%,0%,17%,11%,17%,11%,None,64%,23%,5%,35%,23%,5%,0%,41%,41%,23%,35%,None,11%,23%,35%,17%,0%,5%,29%,0%,11%,11%,5%,None,23%,70%,35%,23%,17%,35%,5%,0%,17%,41%,29%,None,23%,17%,23%,47%,47%,0%,11%,29%,5%,5%,17%,None,0%,23%,64%,29%,29%,0%,58%,17%,5%,5%,35%,None,58%,41%,35%,52%,23%,100%,11%,17%,11%,17%,0%,47%,0%,11%,29%,5%,0%,23%,0%,5%,29%,29%,0%,5%,29%,
47,Hudson's Bay,"674 Granville St, Vancouver, BC V6C 1Z6",Department store,49.2825186,-123.1357714,None,None,None,None,None,None,0%,0%,0%,0%,0%,41%,None,81%,77%,66%,78%,86%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,44%,None,61%,92%,75%,63%,61%,66%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,41%,None,66%,62%,100%,70%,56%,46%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,40%,None,74%,69%,61%,97%,60%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,45%,None,76%,80%,70%,63%,82%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,46%,None,62%,86%,87%,69%,57%,62%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,40%,None,74%,67%,85%,92%,59%,0%,0%,0%,0%,0%,0%,55%,,57%,,,62%,,61%,57%,,65%,,,66%,
48,WB Robson Dr @ Madrona Place,"Coquitlam, BC V3E 2T1",Bus stop,49.300339,-122.8098144,None,6%,37%,18%,43%,50%,0%,0%,6%,0%,18%,18%,None,6%,12%,12%,0%,25%,6%,6%,12%,6%,12%,6%,None,0%,12%,18%,0%,62%,100%,0%,0%,0%,6%,6%,None,25%,12%,12%,6%,6%,12%,25%,0%,25%,6%,12%,None,6%,0%,18%,18%,0%,43%,56%,0%,12%,0%,12%,None,0%,37%,25%,12%,6%,18%,12%,18%,6%,37%,12%,None,31%,0%,6%,6%,25%,12%,18%,37%,0%,25%,0%,None,25%,0%,25%,18%,18%,12%,37%,0%,6%,0%,56%,None,6%,12%,6%,6%,12%,12%,37%,6%,31%,0%,25%,None,25%,18%,0%,18%,6%,6%,31%,18%,0%,0%,0%,None,18%,12%,12%,18%,0%,25%,6%,56%,0%,31%,6%,None,0%,12%,12%,0%,6%,0%,6%,25%,12%,6%,0%,None,18%,12%,6%,31%,6%,0%,12%,0%,50%,6%,31%,None,18%,6%,0%,12%,0%,6%,6%,12%,31%,12%,18%,31%,6%,6%,0%,12%,6%,6%,31%,0%,25%,37%,6%,0%,0%,
49,WB Robson Dr @ Kenney St,"Coquitlam, BC V3E 2R4",Bus stop,49.299226,-122.7970634,None,16%,22%,22%,44%,0%,11%,16%,0%,16%,11%,5%,None,0%,66%,22%,5%,16%,0%,27%,11%,44%,0%,5%,None,16%,22%,11%,0%,61%,0%,0%,11%,0%,27%,5%,None,38%,0%,38%,16%,0%,11%,0%,22%,11%,11%,0%,None,5%,5%,61%,0%,0%,22%,0%,5%,16%,5%,22%,None,11%,66%,0%,22%,22%,5%,22%,11%,11%,5%,5%,None,27%,0%,0%,22%,0%,5%,11%,0%,16%,22%,0%,None,22%,5%,100%,5%,27%,16%,11%,16%,27%,11%,0%,None,11%,61%,0%,27%,5%,5%,11%,11%,11%,5%,5%,None,0%,33%,5%,94%,22%,27%,22%,5%,5%,44%,16%,None,27%,11%,44%,33%,27%,0%,16%,27%,11%,33%,5%,None,5%,5%,27%,0%,72%,22%,55%,16%,0%,0%,33%,None,33%,33%,11%,0%,27%,38%,0%,11%,22%,5%,61%,None,27%,11%,16%,11%,0%,50%,5%,50%,5%,0%,0%,50%,5%,5%,16%,11%,5%,5%,11%,5%,16%,11%,27%,22%,5%,
50,EB Robson Dr @ Pinetree Way,"Coquitlam, BC V3E 2Z4",Bus stop,49.299226,-122.7970634,None,16%,0%,66%,8%,0%,41%,0%,33%,33%,0%,0%,None,16%,75%,0%,16%,50%,0%,41%,8%,8%,25%,16%,None,25%,8%,8%,25%,16%,0%,41%,0%,66%,16%,0%,None,0%,16%,41%,8%,8%,41%,0%,33%,0%,8%,33%,None,8%,66%,8%,41%,16%,41%,8%,41%,0%,83%,8%,None,0%,0%,25%,41%,16%,0%,16%,0%,8%,0%,25%,None,16%,0%,50%,33%,91%,8%,16%,16%,41%,8%,66%,None,0%,0%,8%,16%,33%,8%,0%,0%,8%,0%,0%,None,75%,25%,8%,25%,33%,100%,0%,8%,8%,75%,25%,None,0%,8%,0%,16%,16%,50%,16%,0%,0%,25%,8%,None,8%,58%,58%,58%,8%,8%,50%,0%,0%,0%,50%,None,33%,8%,25%,0%,33%,33%,58%,33%,0%,8%,50%,None,0%,33%,58%,0%,58%,0%,8%,33%,0%,0%,0%,None,58%,8%,8%,25%,0%,25%,16%,25%,41%,8%,25%,0%,25%,0%,8%,16%,0%,58%,0%,66%,0%,75%,0%,33%,58%,
51,Historic Stanley Park Bus Loop,"Stanley Park, Vancouver, BC V6G 3B3",Historical landmark,49.2942927,-123.1548602,None,50%,0%,6%,18%,6%,0%,25%,12%,0%,6%,18%,None,0%,25%,12%,31%,31%,31%,12%,31%,12%,6%,31%,None,37%,18%,6%,68%,50%,0%,0%,12%,0%,6%,6%,None,18%,0%,50%,50%,18%,18%,18%,31%,50%,25%,0%,None,6%,68%,12%,18%,56%,56%,0%,6%,6%,0%,18%,None,25%,18%,6%,37%,68%,12%,6%,12%,25%,37%,12%,None,0%,0%,75%,18%,25%,25%,56%,6%,0%,12%,0%,None,6%,25%,6%,0%,31%,100%,31%,0%,18%,12%,12%,None,0%,0%,6%,18%,18%,6%,12%,18%,0%,0%,25%,None,68%,6%,25%,0%,0%,6%,68%,18%,0%,12%,12%,None,18%,0%,6%,0%,12%,12%,0%,18%,12%,6%,0%,None,0%,81%,18%,43%,0%,0%,0%,43%,18%,0%,25%,None,6%,18%,6%,18%,0%,25%,12%,0%,18%,25%,6%,None,25%,6%,75%,43%,37%,6%,12%,6%,18%,25%,0%,6%,12%,31%,12%,0%,12%,6%,43%,0%,12%,31%,12%,37%,0%,
52,EB Robson Dr @ Waterford Place,"Coquitlam, BC V3E 2S5",Bus stop,49.300037,-122.8078644,None,31%,18%,0%,37%,12%,6%,12%,6%,6%,0%,25%,None,18%,12%,6%,6%,81%,6%,31%,12%,18%,12%,62%,None,18%,18%,12%,37%,37%,12%,12%,25%,0%,12%,6%,None,31%,37%,25%,6%,0%,81%,12%,50%,31%,6%,0%,None,37%,31%,37%,0%,37%,31%,12%,31%,43%,0%,6%,None,18%,25%,50%,56%,12%,0%,100%,18%,43%,50%,0%,None,18%,31%,25%,25%,6%,62%,31%,12%,37%,50%,0%,None,12%,25%,6%,37%,25%,25%,0%,75%,31%,25%,31%,None,0%,43%,12%,0%,6%,12%,68%,56%,31%,37%,50%,None,12%,12%,12%,0%,25%,12%,37%,6%,37%,37%,31%,None,0%,0%,50%,0%,0%,6%,12%,50%,50%,31%,31%,None,12%,25%,18%,6%,0%,6%,6%,56%,18%,12%,18%,None,37%,0%,0%,18%,0%,0%,6%,0%,18%,31%,31%,None,6%,6%,12%,31%,6%,6%,0%,25%,25%,43%,0%,50%,6%,18%,43%,6%,12%,0%,12%,12%,18%,25%,25%,25%,12%,
