index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.
10,Vancity - ATM,"608 Main St, Vancouver, BC V6A 2V3",ATM,49.27938,-123.1175116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CIBC Branch with ATM,"1036 W Georgia St, Vancouver, BC V6E 3C7",Bank,49.2848159,-123.1401289,None,None,None,None,None,None,None,0%,0%,13%,None,71%,None,None,56%,75%,37%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,47%,28%,None,None,86%,None,54%,58%,0%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,43%,56%,62%,None,73%,84%,None,54%,0%,0%,None,0%,0%,None,0%,None,None,None,None,None,None,None,0%,0%,None,73%,66%,None,None,49%,56%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,None,0%,None,0%,26%,None,92%,None,100%,None,26%,28%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,33%,50%,None,None,58%,100%,None,16%,0%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,47%,62%,None,71%,62%,75%,None,0%,0%,None,0%,0%,0%,None,84%,77%,,81%,64%,88%,,,,,,,,,
12,RBC Royal Bank,"1025 W Georgia St, Vancouver, BC V6E 3N9",Bank,49.2848159,-123.1401289,None,None,None,None,None,None,None,0%,0%,32%,None,86%,None,None,78%,78%,52%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,36%,48%,None,None,90%,None,67%,58%,0%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,37%,57%,64%,None,98%,85%,None,48%,0%,0%,None,0%,0%,None,0%,None,None,None,None,None,None,None,0%,0%,None,57%,74%,None,None,91%,74%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,None,0%,None,0%,41%,None,74%,None,76%,None,73%,58%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,44%,63%,None,None,91%,74%,None,52%,0%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,68%,81%,None,83%,89%,67%,None,0%,0%,None,0%,0%,0%,None,95%,100%,,74%,88%,82%,,,,,,,,,
13,RBC Royal Bank,"685 W Hastings St, Vancouver, BC V6B 1N9",Bank,49.2848159,-123.1401289,None,None,None,None,None,None,None,0%,0%,19%,None,33%,None,None,80%,80%,100%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,9%,19%,None,None,47%,None,85%,76%,0%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,42%,23%,28%,None,80%,61%,None,80%,0%,0%,None,0%,0%,None,0%,None,None,None,None,None,None,None,0%,0%,None,52%,38%,None,None,100%,71%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,None,0%,None,0%,19%,None,52%,None,57%,None,85%,71%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,19%,42%,None,None,80%,71%,None,85%,0%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,19%,61%,None,90%,85%,90%,None,0%,0%,None,0%,0%,0%,None,71%,61%,,47%,57%,76%,,,,,,,,,
14,RBC Royal Bank,"1010 Hornby St, Vancouver, BC V6Z 1V6",Bank,49.2848159,-123.1401289,None,None,None,None,None,None,None,0%,0%,61%,46%,7%,None,None,38%,15%,23%,0%,30%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,30%,100%,30%,None,46%,None,38%,7%,0%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,38%,38%,84%,None,7%,38%,None,46%,0%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,69%,53%,None,15%,15%,30%,None,46%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,69%,None,69%,None,61%,38%,23%,38%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,38%,38%,None,None,76%,84%,15%,46%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,23%,23%,30%,None,61%,30%,38%,0%,53%,0%,None,0%,0%,0%,0%,38%,7%,23%,84%,46%,53%,,,,,,,,,
15,Scotiabank,"650 W Georgia St, Vancouver, BC V6B 4P6",Bank,49.2848159,-123.1401289,None,None,None,None,None,None,None,0%,0%,7%,None,52%,None,None,55%,57%,54%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,21%,8%,None,None,95%,None,65%,42%,0%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,24%,20%,22%,None,51%,87%,None,64%,0%,0%,None,0%,0%,None,0%,None,None,None,None,None,None,None,0%,0%,None,41%,20%,None,None,60%,68%,None,57%,0%,0%,None,0%,0%,None,None,None,None,None,None,None,0%,None,0%,18%,None,44%,None,61%,None,60%,48%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,61%,40%,None,None,60%,77%,None,78%,0%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,62%,84%,None,40%,52%,68%,None,70%,0%,None,0%,0%,0%,None,100%,58%,,45%,30%,34%,,,,,,,,,
16,RBC Royal Bank ATM,"351 Abbott St, Vancouver, BC V6B 0G6",ATM,49.282503,-123.1259062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,TD Canada Trust Branch and ATM,"1177 W Hastings St, Vancouver, BC V6E 2K3",Bank,49.2886276,-123.1392583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CWB Trust Services,"750 Cambie St #300, Vancouver, BC V6B 0A2",Bank,49.2886276,-123.1392583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,TD Canada Trust Branch and ATM,"1001 Hamilton St, Vancouver, BC V6B 5T4",Bank,49.2769853,-123.1379091,None,None,None,None,None,None,None,0%,0%,15%,12%,22%,None,None,56%,86%,74%,0%,37%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,18%,25%,22%,None,20%,None,60%,56%,68%,0%,34%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,46%,32%,39%,None,74%,48%,None,53%,36%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,53%,48%,None,74%,84%,87%,None,60%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,34%,None,44%,None,53%,86%,91%,100%,None,39%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,3%,29%,None,None,74%,60%,82%,68%,87%,None,32%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,8%,10%,18%,None,58%,77%,70%,0%,53%,0%,None,0%,0%,0%,0%,12%,48%,41%,43%,51%,53%,,,,,,,,,
20,RBC Royal Bank,"400 Main St, Vancouver, BC V6A 2T5",Bank,49.2811299,-123.1172144,None,None,None,None,None,None,None,0%,0%,11%,32%,47%,None,None,82%,35%,47%,0%,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,11%,29%,23%,None,61%,None,52%,32%,0%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,29%,32%,41%,None,32%,52%,None,23%,0%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,41%,32%,None,20%,23%,44%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,20%,None,64%,None,32%,20%,11%,26%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,23%,41%,None,None,32%,32%,8%,17%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,35%,58%,None,100%,38%,35%,0%,0%,0%,None,0%,0%,0%,0%,58%,44%,32%,41%,32%,79%,,,,,,,,,
21,Scotiabank,"510 Burrard St, Vancouver, BC V6C 3A8",Bank,49.2862319,-123.1355796,None,None,None,None,None,None,None,0%,0%,31%,None,53%,None,None,72%,84%,55%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,62%,50%,None,None,91%,None,62%,58%,0%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,30%,77%,72%,None,75%,100%,None,61%,0%,0%,None,0%,0%,None,0%,None,None,None,None,None,None,None,0%,0%,None,46%,84%,None,None,81%,77%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,None,0%,None,0%,35%,None,61%,None,84%,None,76%,65%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,17%,51%,None,None,81%,81%,None,69%,0%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,31%,68%,None,72%,84%,80%,None,0%,0%,None,0%,0%,0%,None,94%,71%,,84%,84%,74%,,,,,,,,,
22,Scotiabank,"1205 Robson St, Vancouver, BC V6E 1C2",Bank,49.286246,-123.1451281,None,None,None,None,None,None,None,0%,0%,44%,72%,56%,None,None,48%,84%,60%,0%,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,40%,68%,60%,None,48%,None,36%,100%,0%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,28%,36%,64%,None,60%,80%,None,40%,0%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,24%,40%,None,68%,40%,96%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,84%,None,20%,None,20%,68%,36%,80%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,20%,48%,None,None,48%,24%,28%,36%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,36%,40%,36%,None,60%,48%,28%,0%,0%,0%,None,0%,0%,0%,0%,40%,60%,84%,56%,28%,28%,,,,,,,,,
23,BMO Bank of Montreal,"455 W Georgia St, Vancouver, BC V6B 1B3",Bank,49.28115,-123.1335823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,RBC Royal Bank ATM,"489 Robson St, Vancouver, BC V6B 6L9",ATM,49.28115,-123.1335823,None,21%,17%,4%,17%,21%,13%,21%,30%,43%,21%,43%,None,4%,52%,4%,13%,34%,0%,82%,52%,34%,4%,30%,None,13%,43%,43%,0%,8%,17%,4%,4%,56%,43%,8%,None,13%,0%,30%,8%,4%,21%,0%,47%,26%,73%,13%,None,17%,0%,34%,60%,0%,34%,34%,0%,0%,30%,39%,None,73%,4%,4%,43%,13%,13%,17%,0%,52%,21%,34%,None,17%,13%,0%,82%,60%,8%,52%,34%,0%,8%,34%,None,34%,91%,8%,13%,30%,26%,26%,8%,0%,47%,21%,None,0%,26%,26%,21%,65%,56%,21%,100%,21%,0%,26%,None,69%,73%,39%,21%,30%,39%,17%,17%,21%,0%,34%,None,8%,0%,56%,8%,47%,34%,65%,43%,78%,21%,8%,None,26%,60%,47%,17%,60%,26%,17%,17%,17%,47%,0%,None,8%,4%,13%,39%,8%,43%,30%,95%,26%,65%,39%,None,39%,8%,30%,52%,0%,56%,30%,26%,4%,17%,65%,30%,65%,17%,91%,17%,56%,,30%,34%,26%,17%,26%,13%,8%,8%
25,CIBC Branch with ATM,"1096 Homer St, Vancouver, BC V6B 2W9",Bank,49.28115,-123.1335823,None,None,None,None,None,None,None,0%,0%,6%,57%,37%,None,None,20%,24%,51%,0%,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,15%,20%,57%,None,100%,None,15%,53%,0%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,28%,17%,42%,None,51%,77%,None,6%,0%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,42%,17%,None,46%,60%,97%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,8%,None,46%,None,51%,44%,35%,68%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,35%,24%,None,None,4%,73%,48%,37%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,48%,40%,57%,None,33%,13%,57%,0%,0%,0%,None,0%,0%,0%,0%,66%,64%,40%,62%,13%,55%,,,,,,,,,
26,TD Canada Trust Branch and ATM,"1200 Burrard St, Vancouver, BC V6Z 2C7",Bank,49.2786763,-123.1473459,None,None,None,None,None,None,None,0%,0%,69%,35%,89%,None,None,78%,63%,47%,0%,40%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,49%,73%,39%,None,95%,None,68%,46%,25%,0%,29%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,66%,62%,75%,None,92%,87%,None,54%,40%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,79%,77%,None,37%,92%,71%,None,40%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,79%,None,83%,None,91%,30%,88%,50%,None,23%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,78%,91%,None,None,80%,86%,22%,66%,25%,None,14%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,25%,88%,98%,None,80%,71%,68%,0%,55%,0%,None,0%,0%,0%,0%,100%,83%,40%,82%,78%,80%,,,,,,,,,
27,RBC Royal Bank,"996 Homer St, Vancouver, BC V6B 2W7",Bank,49.277366,-123.1377703,None,None,None,None,None,None,None,0%,0%,20%,48%,75%,None,None,96%,31%,68%,0%,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,10%,41%,62%,None,79%,None,100%,37%,0%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,34%,24%,62%,None,89%,86%,None,86%,0%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,55%,37%,None,79%,93%,62%,None,58%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,44%,None,72%,None,82%,93%,82%,31%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,41%,58%,None,None,48%,96%,82%,58%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,41%,65%,79%,None,79%,41%,93%,0%,0%,0%,None,0%,0%,0%,0%,82%,82%,75%,65%,41%,65%,,,,,,,,,
28,RBC Royal Bank,"885 W Georgia St #3, Vancouver, BC V6C 3E8",Bank,49.277366,-123.1377703,None,None,None,None,None,None,None,0%,0%,60%,None,89%,None,None,100%,64%,54%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,9%,64%,None,None,97%,None,75%,27%,0%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,23%,26%,80%,None,83%,73%,None,57%,0%,0%,None,0%,0%,None,0%,None,None,None,None,None,None,None,0%,0%,None,36%,57%,None,None,60%,60%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,None,0%,None,0%,39%,None,63%,None,71%,None,54%,46%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,45%,50%,None,None,89%,61%,None,47%,0%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,65%,69%,None,93%,90%,54%,None,0%,0%,None,0%,0%,0%,None,87%,91%,,84%,75%,78%,,,,,,,,,
29,CIBC Branch with ATM,"1720 Robson St, Vancouver, BC V6G 1E2",Bank,49.2907701,-123.1527195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,RBC Royal Bank ATM,"250 W Pender St, Vancouver, BC V6B 1S9",ATM,49.2816108,-123.1288302,None,20%,25%,20%,50%,20%,8%,0%,45%,20%,16%,0%,None,54%,41%,8%,0%,95%,87%,16%,62%,8%,0%,16%,None,20%,12%,16%,0%,54%,37%,8%,0%,45%,33%,8%,None,12%,54%,83%,8%,0%,45%,54%,29%,50%,4%,8%,None,16%,8%,20%,12%,0%,66%,29%,16%,0%,33%,54%,None,0%,8%,29%,45%,29%,0%,25%,16%,29%,29%,8%,None,4%,16%,4%,0%,25%,4%,41%,41%,8%,0%,29%,None,4%,0%,8%,20%,37%,50%,8%,16%,4%,37%,16%,None,37%,4%,8%,25%,4%,12%,16%,33%,45%,4%,0%,None,58%,0%,16%,20%,4%,29%,100%,20%,41%,8%,41%,None,41%,29%,4%,8%,12%,8%,8%,37%,8%,33%,8%,None,4%,25%,20%,41%,12%,16%,20%,50%,33%,45%,20%,None,54%,25%,33%,25%,8%,4%,20%,12%,37%,4%,33%,None,20%,0%,12%,45%,91%,20%,37%,12%,25%,16%,37%,25%,0%,8%,45%,12%,0%,,20%,29%,12%,16%,20%,41%,45%,25%
31,RBC Royal Bank - Meeting Place (Cash at ATM Only),"731 Homer St, Vancouver, BC V6B 1Z3",Financial institution,49.2816108,-123.1288302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,TD Canada Trust Branch and ATM,"1690 Davie St, Vancouver, BC V6G 1V9",Bank,49.285973,-123.1583178,None,None,None,None,None,None,None,0%,0%,26%,32%,26%,None,None,62%,86%,73%,0%,15%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,32%,37%,39%,None,100%,None,60%,92%,52%,0%,16%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,20%,47%,43%,None,13%,92%,None,45%,66%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,37%,54%,None,62%,28%,86%,None,47%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,7%,None,41%,None,66%,52%,33%,92%,None,37%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,39%,26%,None,None,77%,71%,30%,41%,81%,None,41%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,18%,43%,45%,None,45%,100%,86%,0%,20%,0%,None,0%,0%,0%,0%,86%,22%,66%,52%,64%,41%,,,,,,,,,
33,BMO Bank of Montreal,"601 Main St, Vancouver, BC V6A 2V4",Bank,49.2793469,-123.1180064,None,None,None,None,None,None,None,0%,0%,28%,57%,53%,None,None,42%,75%,7%,0%,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,35%,32%,39%,None,42%,None,39%,64%,0%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,57%,60%,42%,None,28%,46%,None,32%,0%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,82%,57%,None,25%,50%,39%,None,39%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,21%,None,60%,None,53%,28%,53%,35%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,35%,39%,None,None,82%,39%,46%,75%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,53%,35%,50%,None,46%,100%,21%,0%,0%,0%,None,0%,0%,0%,0%,50%,32%,28%,64%,75%,42%,,,,,,,,,
34,Canadian Western Bank,"1070 W Georgia St, Vancouver, BC V6E 2Y2",Bank,49.2851965,-123.1407438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
