index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times
17,CRAB Park at Portside,"101 E Waterfront Rd, Vancouver, BC",Park,49.2848114,-123.1200399,None,None,None,None,None,0%,28%,26%,21%,76%,78%,78%,None,84%,100%,47%,42%,55%,13%,47%,39%,5%,0%,None,None,None,None,None,None,0%,63%,15%,13%,28%,78%,50%,None,71%,84%,68%,34%,28%,57%,15%,44%,50%,0%,None,None,None,None,None,None,0%,55%,42%,21%,21%,28%,65%,None,42%,44%,73%,31%,31%,10%,52%,39%,71%,0%,None,None,None,None,None,None,0%,52%,78%,39%,15%,42%,26%,None,68%,39%,23%,65%,7%,31%,10%,44%,44%,0%,None,None,None,None,None,None,0%,60%,73%,76%,21%,26%,50%,None,42%,84%,26%,21%,73%,0%,50%,18%,55%,0%,None,None,None,None,None,None,0%,18%,78%,86%,89%,39%,52%,None,36%,50%,89%,34%,34%,57%,0%,55%,52%,0%,None,None,None,None,None,None,0%,31%,23%,81%,89%,73%,60%,None,92%,47%,57%,57%,15%,36%,68%,0%,42%,0%,None,89%,,60%,,,60%,,47%,21%,,78%,,,81%,
18,Sun Yat-Sen Park,"565 Columbia St #553, Vancouver, BC V6A 4H5",Park,49.2848114,-123.1200399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Andy Livingstone Park,"89 Expo Blvd, Vancouver, BC V6B 6N5",Park,49.2848114,-123.1200399,None,None,None,None,None,None,0%,6%,8%,33%,12%,13%,None,61%,31%,25%,62%,50%,52%,68%,16%,100%,19%,0%,None,None,None,None,None,None,0%,25%,10%,13%,41%,10%,None,25%,61%,35%,25%,61%,48%,47%,62%,13%,84%,0%,None,None,None,None,None,None,0%,3%,32%,12%,20%,47%,None,28%,35%,55%,33%,34%,56%,42%,42%,49%,17%,0%,None,None,None,None,None,None,0%,16%,3%,35%,11%,22%,None,22%,35%,36%,45%,35%,39%,55%,36%,30%,35%,0%,None,None,None,None,None,None,0%,9%,17%,6%,33%,11%,None,50%,31%,40%,47%,37%,41%,45%,51%,35%,20%,0%,None,None,None,None,None,None,0%,13%,11%,15%,8%,40%,None,32%,52%,41%,45%,53%,30%,56%,42%,37%,25%,0%,None,None,None,None,None,None,0%,8%,23%,10%,13%,12%,None,24%,31%,55%,43%,51%,65%,21%,81%,32%,25%,0%,17%,,20%,,,17%,,52%,32%,,16%,,,50%,
20,Sunset Beach Park,"1204 Beach Ave, Vancouver, BC V6E 1V3",Park,49.2794138,-123.1560955,None,None,None,None,None,None,0%,8%,9%,21%,17%,22%,None,51%,28%,36%,100%,44%,35%,29%,42%,13%,12%,0%,None,None,None,None,None,None,0%,6%,11%,13%,29%,24%,None,35%,60%,32%,41%,96%,43%,31%,20%,31%,11%,0%,None,None,None,None,None,None,0%,8%,11%,13%,22%,39%,None,28%,37%,68%,36%,43%,83%,39%,23%,13%,20%,0%,None,None,None,None,None,None,0%,6%,11%,18%,18%,27%,None,30%,29%,39%,72%,36%,42%,66%,29%,16%,9%,0%,None,None,None,None,None,None,0%,7%,9%,15%,26%,20%,None,70%,33%,30%,39%,70%,32%,33%,40%,21%,11%,0%,None,None,None,None,None,None,0%,9%,8%,13%,22%,35%,None,31%,85%,36%,32%,39%,64%,26%,23%,23%,14%,0%,None,None,None,None,None,None,0%,5%,14%,12%,18%,27%,None,25%,34%,97%,41%,35%,33%,56%,19%,16%,13%,0%,32%,,25%,,,28%,,55%,31%,,25%,,,43%,
21,Marina Square,"1675 Bayshore Dr., Vancouver, BC V6G 3H2",Park,49.2924531,-123.1490805,None,None,None,None,None,0%,14%,37%,33%,51%,37%,40%,None,22%,59%,74%,29%,29%,48%,33%,0%,37%,0%,None,None,None,None,None,None,0%,33%,40%,59%,14%,70%,44%,None,11%,18%,62%,77%,37%,29%,81%,40%,3%,0%,None,None,None,None,None,None,0%,0%,22%,70%,100%,14%,81%,None,18%,22%,18%,37%,44%,25%,37%,88%,37%,0%,None,None,None,None,None,None,0%,37%,11%,25%,85%,77%,18%,None,48%,7%,11%,11%,14%,14%,33%,59%,77%,0%,None,None,None,None,None,None,0%,25%,25%,33%,48%,62%,44%,None,55%,40%,3%,3%,18%,3%,0%,59%,33%,0%,None,None,None,None,None,None,0%,25%,29%,44%,55%,40%,40%,None,29%,59%,59%,11%,3%,7%,11%,0%,70%,0%,None,None,None,None,None,None,0%,29%,22%,25%,59%,55%,18%,None,59%,51%,29%,29%,22%,14%,3%,29%,3%,0%,None,7%,,44%,,,29%,,88%,29%,,33%,,,18%,
22,Victory Square,"200 W Hastings St, Vancouver, BC V6B 1G8",Memorial park,49.282238,-123.1281702,None,None,None,None,None,None,None,0%,33%,37%,None,56%,None,None,82%,81%,76%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,25%,40%,50%,None,None,75%,None,95%,80%,68%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,32%,52%,59%,None,91%,84%,None,98%,70%,0%,None,0%,0%,None,0%,None,None,None,None,None,None,None,0%,41%,None,40%,54%,None,None,92%,98%,None,95%,0%,0%,None,0%,0%,None,None,None,None,None,None,None,0%,None,35%,49%,None,58%,None,62%,None,88%,100%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,39%,56%,None,None,67%,75%,None,76%,93%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,29%,None,43%,65%,None,76%,77%,79%,None,59%,0%,None,0%,0%,0%,None,66%,,80%,,,,,65%,57%,,67%,,,,
23,Stanley Park,"Vancouver, BC V6G 1Z4",Park,49.3042584,-123.1622766,None,None,None,None,None,None,0%,0%,0%,24%,27%,25%,None,83%,38%,35%,88%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,12%,38%,36%,None,51%,90%,38%,33%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,17%,18%,56%,None,31%,51%,92%,35%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,32%,24%,25%,None,52%,32%,46%,85%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,17%,46%,30%,None,90%,55%,29%,39%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,14%,26%,60%,None,34%,100%,54%,25%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,17%,20%,37%,None,37%,35%,99%,50%,0%,0%,0%,0%,0%,0%,0%,46%,,29%,,,46%,,74%,30%,,34%,,,73%,
24,Yaletown Park,"901 Mainland St, Vancouver, BC V6B 1T2",Park,49.276991,-123.1369645,None,7%,40%,3%,3%,22%,77%,11%,0%,14%,29%,48%,None,22%,29%,33%,18%,3%,29%,37%,18%,22%,33%,0%,None,37%,7%,51%,14%,11%,33%,59%,3%,0%,18%,62%,None,11%,40%,33%,29%,7%,0%,37%,51%,7%,11%,37%,None,25%,59%,3%,11%,3%,3%,22%,70%,7%,14%,29%,None,33%,14%,40%,37%,25%,3%,3%,33%,25%,7%,0%,None,25%,51%,29%,18%,0%,0%,7%,22%,33%,18%,29%,None,100%,33%,25%,29%,40%,44%,0%,7%,22%,11%,18%,None,0%,22%,25%,55%,7%,3%,3%,14%,7%,33%,22%,None,7%,81%,11%,51%,33%,66%,55%,0%,22%,29%,0%,None,7%,7%,14%,22%,59%,3%,7%,7%,33%,7%,29%,None,51%,3%,48%,11%,29%,51%,48%,44%,0%,22%,22%,None,18%,0%,25%,29%,48%,29%,0%,18%,25%,33%,11%,None,33%,70%,7%,14%,18%,29%,29%,55%,59%,0%,33%,22%,29%,51%,11%,18%,70%,0%,14%,62%,18%,33%,3%,18%,14%,
25,Stanley Park Rose Garden,"610 Pipeline Rd, Vancouver, BC V6G 3E2",Garden,49.2987748,-123.1534887,None,None,None,None,None,0%,52%,71%,32%,16%,58%,54%,None,71%,64%,77%,60%,28%,7%,7%,30%,13%,0%,None,None,None,None,None,None,0%,3%,41%,64%,16%,18%,75%,None,66%,60%,37%,54%,56%,35%,1%,5%,24%,0%,None,None,None,None,None,None,0%,13%,13%,62%,56%,30%,39%,None,90%,45%,37%,20%,50%,45%,45%,0%,1%,0%,None,None,None,None,None,None,0%,75%,13%,26%,64%,50%,45%,None,92%,100%,26%,24%,7%,35%,43%,20%,1%,0%,None,None,None,None,None,None,0%,47%,69%,26%,50%,73%,47%,None,90%,86%,73%,20%,11%,9%,37%,35%,11%,0%,None,None,None,None,None,None,0%,41%,49%,45%,45%,77%,79%,None,94%,96%,73%,43%,26%,16%,5%,35%,24%,0%,None,None,None,None,None,None,0%,58%,28%,26%,49%,64%,81%,None,69%,94%,77%,39%,16%,11%,16%,9%,28%,0%,None,73%,,81%,,,79%,,83%,83%,,56%,,,79%,
26,Coopers' Park,"1020 Marinaside Crescent, Vancouver, BC V6Z 3A2",Park,49.2732243,-123.1318382,None,2%,1%,7%,10%,6%,9%,6%,17%,30%,50%,41%,None,39%,92%,30%,57%,69%,43%,42%,56%,20%,7%,9%,None,14%,6%,0%,2%,11%,12%,14%,18%,29%,30%,64%,None,30%,46%,100%,44%,59%,58%,34%,32%,52%,11%,6%,None,6%,6%,10%,21%,7%,17%,17%,28%,33%,41%,37%,None,52%,34%,53%,93%,53%,64%,51%,23%,24%,44%,11%,None,5%,11%,2%,7%,11%,14%,24%,22%,29%,42%,53%,None,80%,51%,45%,61%,69%,52%,52%,42%,15%,22%,32%,None,14%,4%,13%,0%,4%,13%,16%,33%,23%,27%,49%,None,41%,77%,57%,51%,63%,49%,37%,38%,32%,7%,20%,None,13%,7%,4%,4%,0%,4%,16%,23%,38%,31%,25%,None,47%,42%,77%,58%,52%,58%,37%,22%,28%,22%,4%,None,6%,6%,1%,2%,6%,1%,8%,25%,38%,37%,36%,None,79%,35%,46%,73%,54%,47%,56%,31%,10%,21%,19%,35%,14%,44%,5%,6%,73%,18%,39%,50%,20%,59%,14%,2%,30%,
27,Concord Community Park,"50 Pacific Blvd, Vancouver, BC V6Z 2R6",Park,49.2758336,-123.1218346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Oppenheimer Park,"400 Powell St, Vancouver, BC V6A 1G6",Park,49.28264,-123.1123713,None,None,None,None,None,None,0%,0%,0%,56%,80%,88%,None,81%,91%,75%,78%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,62%,69%,85%,None,80%,75%,92%,58%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,80%,87%,78%,None,95%,71%,62%,80%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,61%,86%,100%,None,83%,87%,61%,53%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,53%,72%,88%,None,84%,75%,78%,47%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,56%,65%,76%,None,87%,89%,67%,61%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,68%,75%,75%,None,87%,84%,86%,54%,0%,0%,0%,0%,0%,0%,0%,82%,,95%,,,83%,,79%,92%,,79%,,,80%,
29,Stanley Park Community Garden,"next to the Tennis Courts, Vancouver, BC V6G 2S1",Community garden,49.2935679,-123.1564875,None,50%,40%,20%,50%,0%,0%,0%,20%,40%,10%,0%,None,0%,0%,0%,20%,20%,60%,30%,70%,20%,80%,0%,None,10%,30%,40%,10%,20%,0%,20%,10%,20%,40%,30%,None,20%,0%,10%,0%,40%,10%,30%,10%,40%,50%,40%,None,30%,10%,30%,0%,10%,20%,0%,40%,0%,10%,20%,None,20%,30%,0%,20%,10%,40%,20%,30%,0%,10%,100%,None,30%,10%,20%,30%,40%,20%,20%,10%,50%,10%,0%,None,60%,50%,30%,0%,20%,30%,50%,50%,50%,0%,0%,None,40%,10%,0%,10%,30%,70%,10%,20%,20%,20%,0%,None,10%,70%,30%,20%,0%,20%,20%,30%,50%,20%,10%,None,0%,10%,10%,10%,0%,50%,100%,10%,20%,60%,10%,None,0%,30%,40%,50%,20%,10%,10%,20%,10%,70%,20%,None,40%,10%,0%,10%,0%,10%,20%,50%,0%,10%,60%,None,0%,0%,20%,30%,50%,30%,30%,0%,40%,0%,40%,40%,40%,10%,20%,30%,70%,90%,20%,0%,0%,0%,30%,30%,0%,
30,Lost Lagoon Park,"786 Gilford St, Vancouver, BC V6G 2N4",Park,49.2935679,-123.1564875,None,0%,0%,45%,9%,63%,36%,0%,0%,18%,9%,63%,None,0%,0%,18%,18%,9%,18%,9%,27%,18%,54%,0%,None,36%,0%,18%,36%,36%,27%,63%,0%,0%,18%,27%,None,0%,0%,0%,9%,45%,27%,45%,9%,54%,45%,63%,None,0%,36%,0%,18%,45%,54%,18%,54%,0%,9%,9%,None,45%,9%,0%,9%,9%,36%,36%,54%,9%,36%,45%,None,54%,0%,54%,36%,36%,18%,54%,0%,27%,0%,27%,None,27%,27%,27%,9%,18%,27%,18%,18%,27%,18%,27%,None,36%,27%,0%,63%,81%,45%,9%,36%,0%,9%,0%,None,27%,9%,36%,18%,0%,36%,36%,0%,18%,45%,18%,None,45%,27%,27%,27%,45%,54%,27%,0%,36%,9%,0%,None,63%,9%,0%,36%,27%,0%,27%,36%,0%,18%,27%,None,9%,100%,27%,45%,36%,18%,27%,27%,0%,36%,0%,None,0%,45%,9%,0%,9%,27%,9%,27%,36%,9%,9%,0%,9%,45%,0%,54%,54%,72%,9%,45%,27%,0%,18%,9%,0%,
31,Emery Barnes Park,"1170 Richards St, Vancouver, BC V6B 3M7",Park,49.2766833,-123.1420505,None,12%,11%,22%,7%,6%,9%,19%,16%,20%,58%,55%,None,51%,99%,55%,38%,81%,79%,59%,67%,54%,36%,17%,None,36%,11%,9%,18%,6%,9%,12%,28%,21%,37%,72%,None,59%,43%,90%,60%,42%,71%,64%,55%,59%,46%,30%,None,11%,30%,9%,12%,14%,11%,17%,21%,40%,32%,51%,None,67%,68%,54%,88%,66%,45%,68%,47%,48%,49%,31%,None,15%,16%,22%,21%,9%,18%,15%,22%,22%,49%,38%,None,85%,59%,70%,63%,92%,71%,37%,69%,33%,41%,31%,None,15%,18%,13%,8%,27%,6%,29%,13%,27%,35%,71%,None,46%,89%,59%,71%,68%,81%,65%,40%,68%,27%,32%,None,18%,14%,24%,17%,6%,21%,5%,40%,22%,35%,46%,None,49%,40%,92%,63%,65%,69%,71%,54%,36%,59%,20%,None,13%,23%,11%,9%,13%,12%,13%,13%,50%,33%,44%,None,100%,50%,37%,85%,76%,64%,64%,60%,40%,25%,46%,54%,39%,67%,13%,22%,78%,22%,51%,46%,22%,92%,22%,17%,53%,
32,Hadden Park,"1905 Ogden Ave, Vancouver, BC V6J 1A3",Park,49.277925,-123.1658681,None,None,None,None,None,0%,3%,3%,16%,9%,24%,39%,None,35%,42%,84%,45%,14%,17%,22%,12%,13%,0%,None,None,None,None,None,None,0%,1%,7%,5%,22%,14%,33%,None,89%,33%,33%,64%,35%,12%,12%,9%,9%,0%,None,None,None,None,None,None,0%,6%,3%,15%,16%,43%,22%,None,39%,97%,29%,25%,52%,30%,13%,13%,7%,0%,None,None,None,None,None,None,0%,1%,8%,7%,22%,30%,60%,None,33%,43%,100%,24%,24%,48%,16%,10%,7%,0%,None,None,None,None,None,None,0%,0%,3%,16%,13%,28%,51%,None,46%,34%,49%,85%,17%,18%,33%,13%,7%,0%,None,None,None,None,None,None,0%,13%,1%,9%,22%,29%,29%,None,92%,54%,24%,44%,61%,11%,14%,18%,10%,0%,None,None,None,None,None,None,0%,8%,9%,3%,13%,33%,56%,None,56%,92%,53%,22%,27%,36%,11%,11%,14%,0%,None,77%,,39%,,,36%,,32%,76%,,55%,,,32%,
33,Thornton Park,"1166 Main St, Vancouver, BC V6A 4B6",Park,49.2739463,-123.1172843,None,None,None,None,None,0%,28%,28%,39%,25%,17%,28%,None,3%,10%,7%,14%,14%,21%,64%,35%,25%,0%,None,None,None,None,None,None,0%,7%,42%,42%,42%,17%,53%,None,50%,10%,7%,7%,0%,14%,14%,39%,39%,0%,None,None,None,None,None,None,0%,25%,3%,32%,25%,21%,7%,None,46%,21%,21%,7%,7%,0%,3%,10%,42%,0%,None,None,None,None,None,None,0%,14%,32%,0%,39%,25%,10%,None,89%,53%,28%,10%,14%,21%,7%,0%,17%,0%,None,None,None,None,None,None,0%,53%,21%,17%,10%,35%,28%,None,28%,42%,21%,57%,3%,14%,21%,35%,0%,0%,None,None,None,None,None,None,0%,32%,35%,10%,21%,25%,14%,None,3%,57%,32%,14%,92%,3%,17%,32%,78%,0%,None,None,None,None,None,None,0%,32%,28%,32%,10%,17%,60%,None,14%,3%,28%,21%,10%,100%,14%,32%,14%,0%,None,53%,,60%,,,57%,,14%,7%,,28%,,,3%,
34,Nelson Park Community Garden,"1203 Comox St #1165, Vancouver, BC V6E 1J2",Community garden,49.2828903,-123.1485578,None,15%,0%,15%,60%,5%,45%,10%,100%,20%,10%,35%,None,15%,100%,85%,45%,45%,45%,75%,40%,70%,55%,25%,None,55%,40%,0%,30%,35%,15%,20%,0%,55%,60%,20%,None,95%,5%,85%,75%,45%,50%,65%,90%,15%,35%,25%,None,30%,35%,40%,20%,15%,30%,10%,10%,10%,30%,60%,None,5%,80%,15%,45%,40%,20%,15%,30%,55%,0%,30%,None,0%,25%,35%,0%,45%,5%,20%,10%,10%,25%,5%,None,35%,0%,40%,30%,15%,30%,5%,5%,15%,25%,15%,None,15%,5%,5%,70%,0%,75%,5%,25%,5%,25%,45%,None,35%,30%,0%,20%,75%,0%,15%,5%,0%,5%,10%,None,45%,20%,0%,20%,55%,25%,35%,20%,50%,0%,10%,None,15%,20%,35%,0%,25%,55%,20%,25%,10%,15%,10%,None,5%,20%,35%,0%,45%,40%,60%,25%,20%,35%,20%,None,75%,40%,20%,55%,20%,65%,70%,40%,35%,15%,35%,55%,65%,20%,55%,10%,40%,30%,80%,0%,35%,45%,15%,10%,10%,
35,Gordon Park,"549 W Pender St, Vancouver, BC V6B 1V5",Garden,49.2838167,-123.1311744,None,3%,40%,20%,6%,66%,16%,53%,56%,23%,10%,40%,None,56%,50%,23%,6%,3%,0%,0%,10%,10%,33%,3%,None,20%,3%,36%,0%,13%,60%,30%,56%,46%,13%,20%,None,13%,26%,76%,20%,3%,0%,3%,3%,0%,6%,50%,None,20%,10%,3%,50%,0%,6%,30%,16%,30%,36%,10%,None,36%,10%,13%,100%,20%,3%,6%,10%,13%,0%,6%,None,20%,50%,3%,30%,26%,0%,6%,20%,13%,16%,33%,None,76%,60%,6%,6%,60%,40%,6%,13%,20%,36%,10%,None,6%,20%,73%,20%,53%,6%,0%,6%,26%,3%,3%,None,10%,76%,30%,0%,16%,56%,30%,16%,30%,10%,56%,None,30%,6%,20%,26%,40%,80%,3%,0%,26%,20%,13%,None,30%,10%,50%,13%,0%,36%,40%,23%,13%,23%,6%,None,56%,26%,13%,56%,16%,40%,70%,10%,3%,33%,23%,None,13%,50%,16%,16%,0%,0%,23%,30%,36%,6%,36%,13%,23%,30%,3%,30%,43%,13%,16%,23%,23%,3%,56%,10%,26%,
36,Jervis St Park,"1304 Jervis St #1318, Vancouver, BC V6C 3P8",Park,49.2819032,-123.154331,None,41%,16%,0%,0%,8%,8%,16%,25%,58%,16%,8%,None,16%,58%,25%,25%,25%,16%,25%,16%,41%,16%,58%,None,0%,33%,8%,0%,0%,8%,0%,0%,25%,58%,8%,None,8%,41%,41%,50%,8%,25%,16%,16%,8%,16%,8%,None,66%,0%,16%,0%,8%,0%,16%,8%,0%,16%,33%,None,25%,8%,83%,41%,25%,8%,33%,25%,16%,8%,33%,None,8%,25%,0%,0%,0%,25%,0%,8%,25%,0%,33%,None,0%,33%,41%,100%,16%,8%,16%,16%,25%,16%,16%,None,75%,16%,8%,25%,0%,0%,8%,0%,0%,58%,8%,None,8%,8%,75%,50%,75%,16%,8%,8%,8%,8%,25%,None,0%,50%,8%,0%,58%,0%,8%,0%,0%,0%,33%,None,25%,8%,16%,33%,58%,41%,41%,25%,16%,0%,8%,None,41%,8%,33%,16%,0%,41%,16%,33%,8%,0%,0%,None,33%,16%,8%,33%,25%,58%,41%,41%,16%,33%,8%,0%,8%,16%,41%,0%,0%,33%,25%,33%,8%,25%,58%,16%,33%,
